أ	a
القليل	a little
كثيراً	a lot
كتيير من	a lot of
يتخلى عن	abandon
تم التخلي عنه	abandoned
يلتزم	abide
مقدرة	ability
قادر	able
عن	about
أعلاه	above
خارجاً	abroad
غياب	absence
غائب	absent
إطلاقا	absolutely
امتص	absorb
ملخص	abstract
سخيف	absurd
وفرة	abundance
وفير	abundant
إساءة	abuse
نبذ	abuse
لهجة	accent
يقبل	accept
يصل	access
وصول	access
حادث	accident
سكن	accommodation
ينجز	accomplish
مُتَفَوِّق	accomplished
وفقاً	according
حساب	account
الدقة	accuracy
دقيق	accurate
المتهم	accused
يكتئب	ache
ألم	ache
ينجز	achieve
إنجاز	achievement
يعترف	acknowledge
علم	acquaintance
يكسب	acquire
مكتسب	acquired
ربح	acquisition
عبر	across
يمثل	act
فعل	action
نشيط	active
أنشطة	activities
نشاط	activity
الممثل	actor
فِعلي	actual
حقيقيةً	actually
خطير	acute
ذكي	acute
يعتاد	adapt
يتكيف	adapt
أضف	add
مدمن	addicted
إضافة	addition
إضافي	additional
عنوان	address
يوجه	address
مناسب	adequate
مجاور	adjacent
صفة	adjective
يتكيف	adjust
يرغب	admire
يعترف	admit
يتبنى	adopt
محبوب	adorable
يتقدم	advance
مقدماً	advance
متقدم	advanced
ميزة	advantage
مفامرة	adventure
ظرف	adverb
إعلان	advertisement
دعاية	advertising
نصيحة	advice
ينصح	advise
محامي	advocate
يؤيد	advocate
من ناحية جمالية	aesthetic
شأن	affair
يؤثر	affect
عاطفة	affection
يعطي	afford
بسعر معقول	affordable
خايف	afraid
بعد	after
بعد الظهر	afternoon
بعد ذلك	afterwards
مرة تانية	again
ضد	against
عمر	age
عصر	age
وكالة	agency
عميل	agent
عنيف	aggressive
رشيق	agile
قديماً	ago
يوافق	agree
اتفاق	agreement
زراعة	agriculture
للأمام	ahead
مساعدة	aid
هدف	aim
هواء	air
مطار	airport
ممر	aisle
إنذار	alarm
كحول	alcohol
يُحذًِر	alert
عايش	alive
كل	all
حسنًا	all right
أتمنى لك كل خير	all the best
يسمح	allow
مسموح	allowed
تقريبا	almost
لوحده	alone
جنب	along
سلفاً	already
طيب	Alright
برضو	also
بديل	alternative
بالرغم من	although
دائماً	always
أنا	am
مدهش	amazing
غامض	ambiguous
طموح	ambition
طموح	ambitious
يعدل	amend
وسط	amid
وسط	among
بيننا	among us
كمية	amount
مسلي	amusing
تحليل	analysis
أجداد	ancestors
مِرسَاة	anchor
قديم	ancient
و	and
وأنت	and you
ملاك	angel
الغضب	anger
زاوية	angle
غضبان	angry
حيوان	animal
كاحل	ankle
ذكرى	anniversary
إعلان	announcement
يزعج	annoy
متضايق	annoyed
مزعج	annoying
سنوي	annual
مجهول	anonymous
آخر	another
إجابة	answer
يجيب	answer
يتوقع	anticipate
توتر	anxiety
متشوق	anxious
أي	any
بعد كدا	anymore
أي واحد	anyone
أي حاجة	anything
على أي حال	anyway
على أي حال	anyways
منفصل	apart
شقة	apartment
يعتذر	apologize
واضح	apparent
يبدو وأن	apparently
يكشف	appeal
يظهر	appear
ظهور	appearance
ظهر	appeared
شهية	appetite
تفاحة	apple
تطبيق	application
يطبق	apply
يقدم	apply
ميعاد	appointment
توظيف	appointment
تقدير	appreciate
تقدير	appreciation
يقرب	approach
أسلوب ونهج	approach
مناسب	appropriate
موافقة	approval
يوافق	approve
موافقة	approved
تحديدا	approximately
أبريل	april
بشكل عبيط	arbitrary
مهندس معماري	architect
معمار	architecture
أرشيف	archive
ملفات قديمة	archive
نكون	are
هل أنت	are you
هل أنت مشغول	are you busy
أنت متزوج	are you married
انت متزوج ولا اعزب	are you married or single
أنت لسة هنا؟	Are you still there?
هل أنت هناك	are you there
منطقة	area
يناقش	argue
نقاش	argument
تنشأ	arise
ذراع	arm
سلاح	arm
جيش	army
حول	around
ينظم	arrange
ترتيب	arrangement
وصول	arrival
يصل	arrive
وصل	arrived
مغرور	arrogant
سهم	arrow
فن	art
مقال	article
صناعي	artificial
فنان	artist
زي	as
طالما	as long as
أيضًا	as well
إلى جانب	as well as
رماد	ash
خجلان	ashamed
أسأل	ask
سأل	asked
نائما	asleep
جانب	aspect
اللغة الأسامية	Assamese
يغلط	assault
جمع	assembly
تأكيدي	assertive
يقيم	assess
تقييم	assessment
مدخرات	asset
أصول	asset
أصول	assets
تعيين	assign
واجب منزلي	assignment
يساعد	assist
مساعد	assistant
شريك	associate
عندو علاقة ب	associated
جمعية	association
أفرض	assume
افتراض	assumption
على	at
على الأقل	at least
أكل	ate
رياضي	athlete
يربط	attach
مرتبط	attached
مرفق	attachment
هجوم	attack
محاولة	attempt
يحاول	attempt
يحضر	attend
حضور	attendance
أنتبه	attention
سلوك	attitude
يجذب	attract
جاذبية	attraction
جذاب	attractive
يصف	attribute
مشاهدين	audience
جمهور	audience
أغسطس	august
عمة	aunt
خالة	aunt
عمتي	aunty
أصلي	authentic
كاتب	author
سلطة	authority
الخريف	autumn
موجود	available
متوسط	average
إتجنب	avoid
يقظ	awake
جائزة	award
وعي	aware
وعي	awareness
بعيد	away
وجيه	awesome
مخيف	awful
خطر	awkward
فاضح	awkward
لغة ايمارا	Aymara
طفل	baby
بكالوريوس	bachelor
خلف	back
ضهر	back
خلفية	background
سيء	bad
شنطة	bag
طعم	bait
خبز	bake
مخبز	bakery
باكنج بودر	baking soda
يوزن	balance
رصيد	balance
كرة	ball
لغة البامبارا	Bambara
موز	banana
شريط	band
فرقة	band
انفجار	bang
بنك	bank
فاصل	bar
حانة	bar
بصراحة	barely
صفقة	bargain
نباح	bark
يغطي	bark
الشعير	barley
حاجز	barrier
قاعدة	base
قائم على	based
بدروم	basement
أساسي	basic
أساسًا	basically
نبات الرَيحان	basil
خسيس	bastard
حزمة	batch
حمام	bath
حمام	bathroom
بطارية	battery
معركة	battle
خليج	bay
نبح	bay
يكون	be
أحذر	be careful
شاطيء	beach
يشع	beam
بيم	beam
عارضة	beam
فول	beans
يتحمل	bear
دب	bear
دقن	beard
طريقة مشي	bearing
تحمل	bearing
وحش	beast
نبضات	beat
يهزم	beat
جميل	beautiful
جمال	beauty
أصبح	became
لأنو	because
يصبح	become
سرير	bed
غرفة نوم	bedroom
نحلة	bee
لحم بقر	beef
كان	been
بيرة	beer
قبل	before
بدأ	began
يبدأ	begin
البداية	beginning
نيابةً عن	behalf
يتصرف	behave
سلوك	behavior
سلوك	behaviour
خلف	behind
وجود	being
يؤمن	belief
يؤمن	believe
بطن	belly
ملك ل	belong
محبوب	beloved
بالأسفل	below
حزام	belt
مقاعد البدلاء	bench
يلوي	bend
أسفل	beneath
يستفيد	benefit
ربح	benefit
فوائد	benefits
بجانب	beside
بجانب	besides
الأفضل	best
حظا سعيد	best of luck
أطيب التحيات	best regards
أحسن	better
بين	between
مشروب	beverage
عدا	beyond
لغة البوجبوري	Bhojpuri
انحياز	bias
متحيز	biased
دراجة	bicycle
رهان	bid
كبير	big
عجلة	bike
فاتورة	bill
ربط	bind
طائر	bird
عيد ميلاد	birthday
قليل	bit
يعض	bite
لدغة	bite
مر الطعم	bitter
أسود	black
مكنة حلاقة	blade
عتاب	blame
يلوم	blame
فارغ	blank
بطانية	blanket
انفجار	blast
تبييض	bleach
يخلط	blend
يرحم	bless
مبارك	blessed
أعمى	blind
نعيم	bliss
بلوكة	block
حي	block
دم	blood
يزدهر	bloom
مصيبة	blow
أزرق	blue
صريح	blunt
لوحة	board
سبورة	board
مركب	boat
جسم	body
يغلي	boil
جريء	bold
علاقة	bond
عظم	bone
كتاب	book
يحجز	book
معزّز	boost
يعزّز	boost
معزِّز	booster
حذاء طويل	boot
أحذية	boots
حدود	border
مزعج	bore
حفرة	bore
ممل	bored
ممل	boring
وُلِدّ	born
يستعير	borrow
زعيم	boss
الأتنين	both
يزعج	bother
زجاجة	bottle
أسفل	bottom
إشترى	bought
ارتداد	bounce
مرتبط ب	bound
حدود	boundaries
قَوس	bow
مزهرية	bowl
صندوق	box
ولد	boy
حبيب	boyfriend
إسورة	bracelet
المخ	brain
فرع	branch
ماركة	brand
شجاع	brave
يخرق	breach
رغيف	bread
فترة راحة	break
يكسر	break
فطور	breakfast
صدر	breast
يتنفس	breath
يتنفس	breathe
يربي	breed
طوبة	brick
عروس	bride
جسر	bridge
مختصر	brief
ساطع	bright
ذكي	brilliant
يُحضر	bring
أخي	bro
عريض	broad
إذاعة	broadcast
كسر	broke
مكسور	broken
مكنسة	broom
أخ	brother
أخ الزوج	brother in law
أحضر	brought
بني	brown
فرشة	brush
مقدار كبير	bucket
دلو	bucket
زميل	buddy
ميزانية	budget
حشرة صغيرة	bug
يبني	build
مبنى	building
بنى	built
ضخم	bulk
ثور	bull
تنمر	bully
صدم	bump
حزمة	bunch
حزمة	bundle
يتحمل	burden
إحراج	burden
مدفون	buried
يحرق	burn
ينفجر	burst
يدفن	bury
بص	bus
حافلة	bus
إعلان	bush
شتلة	bush
أعمال	business
مفلس	bust
إعتقال	bust
مشغول	busy
لكن	but
زبدة	butter
فراشة	butterfly
زر	button
يشتري	buy
عن طريق	by
على فكرة	by the way
مع السلامة	bye
ملفوف	cabbage
كرنب	cabbage
خزانة	cabinet
قفص	cage
كيك	cake
عجل	calf
مكالمة	call
يتصل	call
اتصل بي	call me
يسمى	called
هاديء	calm
وصل	came
حملة	campaign
علبة	can
قادر	can
لا يستطيع	can't
يلغي	Cancel
سرطان	cancer
قادر على	capable
سعة	capacity
رأس مال	capital
عاصمة	capital
توضيح	caption
يقبض على	capture
عربية	car
حياة مهنية	career
حذِر	careful
بعناية	carefully
مهمل	careless
رعاية	caring
النجار	carpenter
سجادة	carpet
جزر	carrot
يحمل	carry
يحمل	carry on
يكتشف	carry out
غطاء	case
قضية	case
نقدي	cash
يصب	cast
قلعة	castle
غير رسمي	casual
قطة	cat
يقبض	catch
فئة	category
ماشية	cattle
قبض	caught
يسبب	cause
سبب	cause
حذر	caution
حذر	cautious
كهف	cave
انقطع	cease
سقف	ceiling
احتفل	celebrate
خلية	cell
مركز	center
قرن	century
حبوب الذرة	cereal
احتفال	ceremony
محدد	certain
تحديدا	certainly
شهادة	certificate
سلسلة	chain
كرسي	chair
يتحدى	challenge
منافسة	challenge
فرصة	chance
يغير	change
فكة	change
فوضى	chaos
شخصية	character
صفات	characteristics
غرامة	charge
يشحن	charge
صدقة	charity
جذاب	charming
جدول	chart
يطارد	chase
يدردش	chat
دردشة	chat
رخيص	cheap
يغش	cheat
غش	cheating
فحص	check
يختبر	check
خدّ	cheek
يشجع	cheer
مبسوط	cheerful
هتاف	cheers
نخب	cheers
جبنة	cheese
كيمياء	chemistry
يعتز	cherish
شطرنج	chess
صدر	chest
مضغ	chew
دجاج	chicken
رئيس	chief
طفل	child
طفولة	childhood
أطفال	children
يرتجف	chill
برد قارس	chill
بارد	chill
مداخن	chimneys
ذقن	chin
شوكولاتة	chocolate
خيار	choice
يختار	choose
يقطع	chop
واجبات منزلية	chores
سمين	chubby
كنيسة	church
القرفة	cinnamon
دائرة	circle
ظروف	circumstances
مواطن	citizen
مدينة	city
يطالب	claim
شكوى	claim
يوضح	clarify
فصل	class
فخار	clay
نضيف	clean
يفسر	clear
واضح	clear
موظف	clerk
ذكي	clever
عميل	client
منحدر	cliff
مناخ	climate
يتسلق	climb
لزج	clingy
ساعة	clock
أقفل	close
خزانة	closet
قماش	cloth
ملابس	clothes
سحاب	cloud
غائم	cloudy
سحابي	cloudy
مهرج	clown
دليل	clue
أخرق	clumsy
جماعة	cluster
مدرب	coach
يدرب	coach
فحم	coal
شاطئ	coast
جاكت	coat
سيوتر	coat
قهوة	coffee
مقرب	cognitive
صدفة	coincidence
نزلة برد	cold
بارد	cold
ينهار	collapse
طوق حديد	collar
زميل	colleague
زملاء	colleagues
يجمع	collect
مجموعة	collection
كلية	college
لون	color
نامت الأفكار الخضراء عديمة اللون غاضبة	colorless green ideas slept furiously
لون	colour
عمود	column
مشط	comb
مزيج	combination
يجمع	combine
تعال	come
تعال هنا	come here
تعال	come on
راحة	comfort
مرتاح	comfortable
يأتي	coming
قريباً	coming soon
يأمر	command
تعليق	comment
تجاري	commercial
عمولة	commission
يرتكب	commit
التزام	commitment
ملتزم	committed
بضاعة	commodity
شائع	common
سيء الخلق	common
يتواصل	communicate
تواصل	communication
المجتمع	community
استبدل	commute
يداوم ي مكان بعيد	commute
مرافق	companion
شركة	company
يقارن	compare
مقارنة	comparison
إشفاق	compassion
حنون	compassionate
متناسق	compatible
ينافس	compete
مؤهل	competent
منافسة	competition
تنافسي	competitive
يشتكي	complain
شكوى	complaint
مديح	complement
أكمل	complement
يكمل	complete
بالكامل	completely
معقد	complex
طاعة	compliance
معقد	complicated
مديح	compliment
أطاع	comply
تعبير	composition
مُجَمَّع	compound
فهم	comprehension
شامل	comprehensive
تضحية	compromise
يضحي	compromise
إلزامي	compulsory
حاسوب	computer
يركز	concentrate
فكرة	concept
توتر	concern
يتعلق	concern
قلقان	concerned
حفلة موسيقية	concert
ختام	conclusion
يتماسك	concrete
خرسانة	concrete
صلب	concrete
ظرف	condition
شروط	conditions
يقود	conduct
يتصرف	conduct
مؤتمر	conference
اعترف	confess
ثقة	confidence
واثق من نفسه	confident
يؤكد	confirm
تناقض	conflict
متحير	confused
تشويش	confusion
مبروك	congrats
مبروك	congratulation
مبروك	congratulations
توصيل	conjunction
إكمال	conjunction
يتصل	connect
يغزو	conquer
واعي	conscious
الوعي	consciousness
يقبل	consent
موافقة	consent
عواقب	consequences
صيانة	conservation
معتدل	conservative
إعتبر	consider
معتبر	considered
يتكون	consist
تناسق	consistency
ثابت	consistent
ثابت	constant
باستمرار	constantly
إمساك	constipation
بناء وتشييد	construction
يستهلك	consume
