а	a
чанго	a little
дагьаб	a little
дагь	a little
гӀемер	a lot
гӀемер	a lot of
рехун тезе	abandon
жахӀабго тезе	abandon
рехун тараб	abandoned
чӀунтизе тараб	abandoned
цӀунизе	abide
кӀванагӀан	ability
рес бегьарабгӀан	ability
кӀвейи	able
долда тӀасан	about
тӀад	above
къватӀисел улкабазда	abroad
гьечӀолъи	absence
ургъел гьечӀеб	absent
тӀубанго	absolutely
къурчӀизе	absorb
чӀван къотӀараб гуреб	abstract
абстрактный	abstract
магӀна гьечӀеб	absurd
тӀокӀлъи	abundance
гьарзаяб	abundant
бечедаб	abundant
инжит гьавизе	abuse
акцент	accent
босизе	accept
нух	access
ракӀалдаго гьечӀого ккей	accident
жинди-жиндир бакӀалда лъун рекъезаби	accommodation
тӀубазабизе	accomplish
кӀвараб	accomplished
рекъон	according
рикӀкӀен	account
хӀисаб	account
мухӀканлъи	accuracy
мухӀканлъи	accurate
гӀайиб гӀунтӀизабурав	accused
унти	ache
щвезе	achieve
щвей	achievement
бахин	achievement
бичӀчӀизе	acknowledge
лъай-хъвай	acquaintance
щвезе	acquire
гьабизе	acquire
щвараб	acquired
мустахӀикълъи	acquisition
букӀинаби	acquisition
щвей	acquisition
боси	acquisition
бати	acquisition
гьоркьосан	across
иш билълъинабизе	act
иш гьаби	action
активный	active
жигар	activities
хӀаракат	activities
жигарлъи	activity
хӀаракатчилъи	activity
хӀаракат бахъи	activity
актер	actor
хӀакъикъияб	actual
унго-унгояб	actual
битӀараб жо	actually
бегӀераб	acute
бухӀараб	acute
хисулел къватӀисел шартӀазде черх ругьунлъизабизе	adapt
жубазе	add
дагьабги базе	add
кьезе	add
рагӀиятлъиялда вукӀаго	addicted
тӀаде цӀикӀкӀинаби	addition
тӀаде жубай	addition
тӀадеги гьабулеб	additional
адрес	address
данд рекъон кколеб	adequate
мадугьалихъ бугеб	adjacent
прилагательное	adjective
нухда тӀами	adjust
низамалде ккезабизе	adjust
хӀайранлъизе	admire
гьабураб гӀаданлъи-лъикӀлъиялъул къимат лъай	admit
васлъун гьавизе	adopt
гьайбатаб	adorable
хӀайранлъизарулеб	adorable
цебетӀей	advance
бищунго гӀакъилаб	advanced
тӀокӀлъи	advantage
лъугьа-бахъараб иш	adventure
лъугьа-бахъин	adventure
наречие	adverb
реклама	advertisement
реклама	advertising
маслихӀат	advice
гӀакълу кьезе цӀодор гьавизе	advise
маслихӀатаб жо бицине	advise
судалъул ишалъе божилъи гьабурав чи	advocate
эстетический	aesthetic
роман	affair
зулму-хӀалалдалъун гьабизе тӀами	affect
тӀолареб гьудуллъи	affection
щулияб бухьен	affection
изну кьезе	afford
ихтияр кьезе	afford
ине нух бугеб	affordable
хӀинкъун	afraid
цинги	after
къалъулгӀуж	afternoon
цинги	afterwards
нахъа	afterwards
хадуб	afterwards
цӀидасан	again
дандбитӀун	against
сон	age
агентство	agency
агент	agent
тушманаб къасд букӀин	aggressive
квешаб	aggressive
бигьаго гьетӀизабизе кӀолеб	agile
хьетӀулеб	agile
нахъехун	ago
нахъе	ago
изну	agree
разилъи	agree
рекъей	agree
рекъезаби	agreement
данде ккезаби	agreement
росдал магӀишат	agriculture
цебе бугеб	ahead
цебе чӀараб	ahead
цебе чӀун бугеб	ahead
кумек	aid
ишан	aim
гӀуж	aim
гьава	air
аэропорт	airport
кьер	aisle
мухъ	aisle
ракӀхӀинкъи	alarm
рахӀатхвей	alarm
гӀаракъи	alcohol
ракӀхӀинкъи	alert
рахӀатхвей	alert
чӀагояб	alive
рухӀ бугеб	alive
сахабго	all
кинабго лъикӀ буго	all right
кинабниги лъикӀаб	all the best
изну кьезе	allow
ихтияр кьезе	allow
изну кьезе	allowed
гӀага-шагарго	almost
живго	alone
гӀебеде	along
цебего	already
агьа	Alright
гьебги	also
кӀиго хӀукмуялъул цояб бищичӀого чара гьечӀолъи	alternative
кин бугониги	although
кидаго	always
эм	am
гӀажаибаб	amazing
магӀна бахчараб	ambiguous
чӀухӀдари	ambition
цебе тӀамурав	ambitious
цо хӀалалдаса цогиялде унев	ambitious
битӀизабизе	amend
бакьулъ	amid
бакьулъ	among
нилъеда гъорлъ	among us
рикӀкӀен	amount
гъира ккезабулеб	amusing
эн	an
анализ	analysis
умумул	ancestors
лангар	anchor
некӀсияб	ancient
и	and
ва мунги	and you
малаик	angel
ццидаллъи	anger
цили	angle
ццидалав	angry
ццидалай	angry
ццидалаб	angry
рухӀчӀаголъи	animal
хӀайван	animal
анат. хӀатӀихинкӀ	ankle
лъагӀел тӀубай	anniversary
игӀлан	announcement
баян кьей	announcement
лъазаби	announcement
рахӀат хун лъугьине	annoy
ццин бахъарав	annoyed
ццин бахъинабизе	annoying
щибаб лъагӀалилаб	annual
санайилаб	annual
анонимияб	anonymous
цогияб	another
жаваб	answer
цебеккунго лъазе	anticipate
рахӀат гьечӀого	anxiety
рахӀат хвараб	anxious
бокьараб	any
цӀикӀкӀун	anymore
гӀемер	anymore
бокьараб	anyone
щибниги гуро	anything
кинбугонаниниги	anyway
кин бугониги	anyways
батӀаго	apart
батӀа тӀун	apart
квартира	apartment
тӀаса лъугьине	apologize
берда бихьулеб	apparent
якъинаб	apparent
дагӀба гьечӀеб	apparent
батила	apparently
буссинаби	appeal
хьвадизаби	appeal
баккизе	appear
тӀасияб рахъ	appearance
къватӀисеб рахъ	appearance
сипат	appearance
тӀаде балагьун бихьулеб рахъ	appearance
куц	appearance
баккана	appeared
кваниде хьул	appetite
квен бокьи	appetite
кваниде гъира	appetite
гӀеч	apple
баян кьей	application
хӀалтӀизабизе	apply
тӀамизе	appointment
къимат кьола	appreciate
къимат лъай	appreciation
рекъей	approach
рекъолеб	appropriate
лъикӀаблъун	approval
битӀараблъун рикӀкӀин	approval
тасдикъ гьабизе	approve
ритӀухъ гьабизе	approve
къабул гьабизе	approve
лъикӀаблъун	approved
мисалияб куцалъ	approximately
апрель	april
эркенаб	arbitrary
проект бахъулев специалист	architect
архитектура	architecture
идара	archive
буго	are
мун?	are you
нуж регӀун руги?	are you busy
мун росасе ун йигейи-for girls	are you married
дуца чӀужу ячун йигейи -for boys	are you married
мун рукъалда вусун вуги или жеги мунгойищ вуге	are you married or single
мун жеги гьениваищ?	Are you still there?
мун гъоваищ	are you there
бутӀа	area
дагӀбадизе	argue
къацандизе	argue
далил	argument
хӀужжа	argument
баккизе	arise
квер	arm
армия	army
серун бугеб	around
гӀуцӀизе	arrange
гьабизе	arrange
къотӀи-къай	arrangement
бачӀин	arrival
тӀаде щвей	arrival
бачӀине	arrive
бачӀине	arrived
гӀамал кӀодолъи	arrogant
чӀорил сурат	arrow
гьунар	art
махщел	art
макъала	article
тӀубазабулев чи	artificial
суратал рахъулев чи	artist
эз	as
гьабсагӀат	as long as
гьединго	as well
гьединго	as well as
мухӀур	ash
нечон вуго	ashamed
гьикъизе	ask
гьикъана	asked
кьижараб	asleep
бербалагьи	aspect
Ассамес	Assamese
гьужум гьабизе	assault
сундениги тӀаделъизе	assault
бакӀари	assembly
дандбай	assembly
таваккалаб	assertive
багьа чӀезабизе	assess
багьа гьаби	assessment
багьа чӀезаби	assessment
къимат кьей	assessment
хӀажатаб	asset
гьечӀого гӀолареб	asset
къваригӀараб	asset
ресурсы	assets
хъвайзе	assign
чӀезаби	assignment
кумек гьабизе	assist
кумекчи	assistant
хурхен бугеб	associate
хурхен букӀине	associated
цого тайпаялъул хӀалтӀул гӀадамазул цолъи	association
ракӀалда букӀине	assume
гьадин батилилан ракӀалъ хӀисаб гьаби	assumption
в	at
дагьго	at least
кванана	ate
даимго спорталда тӀад чӀарав чи	athlete
рекӀинабизе	attach
чӀвана	attached
тӀад лъей	attachment
гьужум	attack
жигар бахъизе	attempt
хӀал бихьизе	attempt
щвезе	attend
ине	attend
рачӀен	attendance
пикру кьей	attention
бербалагьи	attitude
привлекать	attract
аскӀове цӀай	attraction
ракӀ балеб	attractive
бихьизе берцинаб	attractive
ракӀ тӀаде цӀалеб	attractive
атрибут	attribute
халкъ	audience
август	august
ункъгӀал	aunt
тетка	aunty
аутентичный	authentic
автор	author
авторитет	authority
хасалихълъи	autumn
кӀолеб	available
авар мацӏ	Avar
гьоркьобисеб	average
цӀунизе	avoid
кьижичӀого чӀун вугев	awake
шапакъат	award
лъай букӀин	aware
баян букӀин	aware
лъалеб букӀин	awareness
баян букӀин	awareness
добегӀан	away
цӀакъ лъикӀ	awesome
хӀинкъизабулеб	awful
санагӀат гьечӀлъи	awkward
Эймара	Aymara
лъимер	baby
болозан	bachelor
лъади ячинчӀев чи	bachelor
нахъе	back
тӀон	background
фон	background
квешаб	bad
сумка	bag
къвача	bag
приманка	bait
выпекать	bake
пекарня	bakery
кванил сода	baking soda
баланс	balance
торгӀо	ball
Бамбара	Bambara
банан	banana
ъокъа	band
тӀелr	band
къвагьизе	bang
банк	bank
бар	bar
хӀалица	barely
багьакъадаралъул къотӀи-къай гьабизе	bargain
хӀапдезе	bark
пурчӀун	barley
чали	barrier
къед	barrier
архит. кьучӀ	base
эхебе	based
гӀодобе	based
гъоркье	based
подвал	basement
аслияб	basic
хӀакъикъаталсан	basically
бэзил	basil
угъраш	bastard
партия	batch
ванна	bath
ванна	bathroom
батарея	battery
рагъулаб	battle
мацӀ	bay
ралъдал квачӀ	bay
йигоӀвуго	be
цӀодор вукӀа	be careful
ралъдал рагӀлад	beach
чӀор	beam
бобы	beans
if it is animal it is - ци	bear
if it means to bear - ккойзе	bear
мегеж	beard
босулеб	bearing
жанавар	beast
бергьине	beat
берцинавӀберцинай	beautiful
берцинлъи	beauty
лъана	became
щайгурелъидал	because
лъугьана	become
манги	bed
тах	bed
кьижулеб рукъ	bedroom
най	bee
панзил гьан	beef
букӀана	been
пиво	beer
цебе	before
байбихьи	began
байбихьизе	begin
жубай	beginning
цӀаралдасан	behalf
хьвада-чӀвади	behave
гӀамал	behavior
хьвада-чӀвади	behaviour
нахъа	behind
биинг	being
ракӀчӀей	belief
божел	belief
божи	belief
божи	believe
чехь	belly
бетӀергьанаблъун букӀине	belong
бокьулеб	beloved
гъоркьа	below
рачел	belt
гьитӀинаб тукен	bench
к	bend
ич	bend
изабизе	bend
под	beneath
тӀокӀлъи	benefit
тӀокӀлъи	benefits
аскӀоб	beside
гьеб хутӀизегӀан	besides
бищунго лъикӀаб	best
сахлъи	best of luck
лъикӀаб гьаригун	best regards
лъикӀ гьаби	better
гьоркъоблъи	between
гьекъолеб	beverage
нахъа	beyond
Бовджпури	Bhojpuri
цебеккун	bias
сундулгунниги-лъилгунниги лъай-хъвай гьабилалде	bias
хӀакъикъиял хӀужжабиги хӀисабалде росичӀого	bias
бижараб пикру	bias
мекъав вугониги жиндие вокьулесул рахъ кколев	biased
хӀатӀимашин	bicycle
гьоркьоб жо лъезе	bid
кӀудияб	big
хӀатӀимашин	bike
рикӀкӀен	bill
хӀисаб	bill
бухьине	bind
хӀинч	bird
гьаби	birthday
бутӀа	bit
хӀанчӀизе	bite
кьогӀаб	bitter
чӀегӀераб	black
бал	blade
гӀайиб чӀвазе	blame
чӀобогояб	blank
юргъан	blanket
кьвагьизаби	blast
кьвагьун щущазаби	blast
кьвагьи	blast
хъахӀ гьабизе	bleach
жуба-гъубзе	blend
пурман кьей	bless
изну	bless
Алагьасде аманат	blessed
канлъи бихьуларев	blind
бецав	blind
тӀубараб талихӀ	bliss
блок	block
би	blood
тӀегьазе	bloom
пузе	blow
хъахӀилаб	blue
бал хвараб	blunt
свараб	blunt
тӀехӀараб	blunt
къоно	board
хъарщи	board
гама	boat
къаркъала	body
гьалдезабизе	boil
тӀехӀаб	bold
бухьен	bond
хурхен	bond
ракьа	bone
тӀехь	book
гӀилла-сабаб букӀина	boost
кумекжо	booster
лъит	boot
чакмаби	boots
гӀурхъи	border
бухъизе	bore
бизарлъизе	bored
чӀалгӀараб	boring
вижарав	born
тӀад гьабизе	borrow
бекӀеда къезе	borrow
босс	boss
кӀиябго	both
рахӀат хвезабизе	bother
шиша	bottle
тӀину	bottom
босана	bought
кӀанцӀезе	bounce
гӀурхъи	bound
гӀурхъи	boundaries
бетӀер къули	bow
икрам гьаби	bow
суркӀа	bowl
къали	box
гъутухъ	box
вас	boy
гьудулав чи	boyfriend
браслет	bracelet
гӀадалнах	brain
гӀаркьел	branch
гӀаламат	brand
маркӀа	brand
гӀуж	brand
бахӀарчияв	brave
бер къаларев	brave
къвакӀарав	brave
биххизаби	breach
хвезаби	breach
чед	bread
бекана	break
радалквен	breakfast
керен	breast
хӀухӀел цӀазе	breath
хӀухьел цӀазе	breathe
тайпа	breed
кирпич	brick
бахӀарай	bride
кьо	bridge
къокъаб	brief
гвангъараб	bright
кунчӀараб	brilliant
гвангъараб	brilliant
босе	bring
вацако	bro
гӀатӀидаб	broad
гӀебаб	broad
транслировать	broadcast
векарав	broke
бекана	broken
жул	broom
вац	brother
чӀужуялъул вац	brother in law
босана	brought
сурмияб	brown
щетка	brush
ведро	bucket
гьудул	buddy
бюджет	budget
хатӀа	bug
гъалатӀ	bug
гӀуцӀизе	build
мина	building
ригь	building
гӀуцӀи	built
шгӀемераб	bulk
оц	bull
зулмуялдалъун	bully
гучалдалъун хӀинкъи кьезе	bully
кьабизе	bump
бухьин	bunch
квацӀи	bundle
бакӀаб юк	burden
букъизе	buried
цӀа рекӀине	burn
къваизе	burst
букъизе	bury
автобус	bus
хьуй	bush
хъарахъ	bush
Бизнес	business
щущазабизе	bust
гъуризе	bust
гъуризабизе	bust
noun -керен	bust
бекизабизе	bust
verb -  бекизе	bust
тӀетӀезабизе	bust
регӀел гьечӀо	busy
амма	but
масло	butter
кӀалкӀучӀ	butterfly
кнопка	button
босизе	buy
бай	by
кинбугонаниниги	by the way
къо-мех лъикӀ	bye
капуста	cabbage
кабинет	cabinet
хьури	cage
торт	cake
гӀакаялъул тӀинчӀ	calf
бече	calf
къуризе	call
ахӀизе	call
диде кьуре	call me
кьурана	called
сабру	calm
вачӀине	came
кампания	campaign
кӀола	can
кӀуларго	can't
къайзе	Cancel
ралъдал гарц	cancer
бажари	capable
гъварилъи	capacity
капитал	capital
гъолбас гьаби	caption
ккойзе	capture
машина	car
карьера	career
цӀодорав	careful
цӀодорго	carefully
ургъел гьечӀеб	careless
ургъел гьабулев	caring
цӀулал устар	carpenter
тӀанса	carpet
ламадур	carrot
ккой	carry
иш чӀезе течӀого яги заманалдасан цебе бачине	carry on
гьабизе	carry on
тӀубазе	carry out
лъугьа-бахъин	case
наличные	cash
речӀчӀизе	cast
хъала	castle
щулалъи	castle
чӀараб	casual
ругьунаб	casual
кидаго гӀадаб	casual
кету	cat
ккуна	catch
категория	category
чӀегӀербоцӀи	cattle
ккуна	caught
гӀилла	cause
цеве валагьи	caution
цӀодорлъи	caution
дица балагьула буго	cautious
нохъо	cave
къотӀизабизе	cease
мокърукьбакӀ	ceiling
байрам гьабизе	celebrate
хьури	cell
бакьулъбакӀ	center
гӀасру	century
нусго сон	century
тӀоролал	cereal
могьолал	cereal
церемония	ceremony
къвакӀго	certain
узухъда	certainly
сертификат	certificate
шагьатнама	certificate
синжир	chain
рахас	chain
бакӀу	chair
хӀал бихьи	challenge
шартӀ	chance
хисизе	change
дунялалъул низам биххи	chaos
кинабго жо жуба-гъубан	chaos
персонаж	character
гӀамал	character
хасият-гӀамал бихьизаби	characteristics
цӀезе	charge
кумек гьаби	charity
хӀикмалъизаризе гьабулеб	charming
хӀайранлъизаризе	charming
план	chart
хадулъизе	chase
гаргадулеб бакӀ	chat
учузаб	cheap
хисизабизе	cheat
хӀалихьалъи	cheating
нахъегӀанлъи	cheating
къадарлъи	cheating
гьерсихъанлъи	cheating
цӀех-рехизе	check
кӀаркьен	cheek
рохел	cheer
ракӀ гӀанчӀав	cheerful
ракӀ регьарав	cheerful
аваданав	cheerful
сахлъиялъе	cheers
хӀан	cheese
химия	chemistry
багьа чӀвазе	cherish
шахматал	chess
керен	chest
чӀамизе	chew
гӀанкӀу	chicken
аслияб	chief
бетӀераб	chief
лъимер	child
лъимерлъи	childhood
гьитӀинаб мех	childhood
