mä	a
jaytaña	abandon
jaytanukuta	abandoned
phuqhaña	abide
maña	ability
kapasa	able
ukxata	about
alaya	above
anqaxa	abroad
chhaqhata	absent
ukhampuni	absolutely
ch'amsuña	absorb
qhana	abstract
walja	abundance
jilarkiri	abundant
phiskasi	abuse
asintu	accent
iyawsaña	accept
aksisu	access
chiji	accident
jikxataña	accomplish
jikxatata	accomplished
iyawaña	according
kuñta	account
ukhapuni	accuracy
qhana	accurate
juchachata	accused
usu	ache
jikxataña	achieve
jikxatata	achievement
nayra achil awichanaka	ancestors
muxsa achu	fruit
ch'uxña achunaka	vegetable
ch'uxña achunaka	vegetables
uñt'aña	acknowledge
uñt'ata	acquaintance
mayisiña	acquire
jikxatata	acquired
katuwi	acquisition
ukana	across
aktu	act
luraña	action
aktiwu	active
lurawinaka	activities
wakichawi	activity
uñt'ayiri	actor
jichha	actual
chiqansa	actually
jichuntaña	adapt
yapxataña	add
jichuntata	addicted
suma	addition
yapxata	additional
tiriksyuna	address
ukatjama	adequate
thiyanakana	adjacent
aruchiri	adjective
tantiyaña	adjust
muspaña	admire
ch'amanchaña	admit
aruptaña	adopt
yupaychata	adorable
aski	advance
nayrankaña	advanced
aski	advantage
awintura	adventure
mayjachiri	adverb
yatiyawi	advertisement
uñacht'awi	advertising
ixwa	advice
amuyt'awi	advise
arxatiri	advocate
istitiku	aesthetic
asuntu	affair
aphiktaña	affect
aphiktu	affection
yanapaña	afford
asikiwli	affordable
asxarayata	afraid
ukatxa	after
jayp'u	afternoon
ukata	afterwards
wasitampi	again
kuntra	against
irara	age
ajinsya	agency
ajinti	agent
nuwasiri	aggressive
jank'aki	agile
qhipa	ago
iyawsaña	agree
amta	agreement
yapuchawi	agriculture
nayraru	ahead
yanapa	aid
chiqapt'ayaña	aim
ayri	air
pasillu	aisle
anchhitax akan kunsa luraskta	what are you doing right now
kunasa akaxa	what is this
jutam akharu	come here
alarma	alarm
alkula	alcohol
amuyumpi	alert
jan aliqt'a	concern
jakawi	alive
kumistiwl aljañ uta	grocery
juk'at aljiri	retail
taqini	all
iyawsaña	allow
pirmititanawa	allowed
walikiwa	all right
niya	almost
sapa	alone
ya	already
walikiwa	Alright
kipkaraki	also
yaqha	alternative
ukhamipansa	although
sinti alwa	earlier
aski alwakipana	good morning
aski alwapan munata	good morning my love
ukhamapuni	always
nayatwa	am
musparkaña	amazing
muniri	ambition
munañani	ambitious
chiqachaña	amend
ukapura	amid
pura	among
jiwasanakkama	among us
qawqha	amount
Jiwasan amtasaxa: taqichiqan uraqpach uñjapaxañapa ukatx taqi aruts arst'asipxañapa ukar ch'amanchañawa.	Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.
janiw amukti	I don't understand you
jan amuyasita	neglect
jumaw amuyata	up to you
jan amuykaya	vague
parap amuykipawi	interaction
janiw amuykti	I do not understand
janiw amuykti	I don't understand
janawi amuykti	I don’t understand
arsu amuyt'anaka	criteria
qhana amuyu	ideal
ch'iqhi amuyu	intelligence
ch'uxña amuyunakax jasakiw ikipxanxa	colorless green ideas slept furiously
jan amuyuni	foolish
jan amuyuni	unconscious
chiqa amuyu	rational
qhana amyu	specific
mä	an
amuykipawi	analysis
pilut anatawi	football
ankla	anchor
nayrja	ancient
ukat	and
jumasti	and you
anjila	angel
phiñasita	anger
q'iwt'a	angle
phiñasita	angry
Aerodeslizadorajax anguil challwamp phuqhantatawa	My hovercraft is full of eels
uywa	animal
yatiyawi	announcement
q'inasiña	annoy
phiñasita	annoyed
phiñasita	annoying
mara	annual
ch'amanchasiña	anonymous
yaqha	another
uta anqaxa	yard
jaysawi	answer
nayrst'ayaña	anticipate
qarita	anxiety
muniri	anxious
kawniri	any
walja	anymore
kawkirisa	anyone
kawnirisa	anything
ukhamtsa	anyway
ukatsipansa	anyways
yaqha	apart
tipartamintu	apartment
jamuqam apayanita	send me your picture
Walik aplikasyunax apnaqtaxa	Thanks for using our app
awyun apnaqiri	pilot
p'apachasiña	apologize
ukhamäña	apparent
ukhampuni	apparently
mayiña	appeal
uñstaña	appear
aparinsya	appearance
uñstiri	appeared
awtjata	appetite
mansana	apple
mayiwi	application
apnaqaña	apply
sita	appointment
yäqaña	appreciate
munasiña	appreciation
uñta	approach
ukarjama	appropriate
jaysaña	approval
jaysaña	approve
jaysata	approved
niyapuni	approximately
qasawi	april
pacha apt'aña	hang out
jach'a apxatatanaka	beam
jani aqtata	idle
arwitraryu	arbitrary
arkitiktu	architect
arkitiktura	architecture
imata	archive
ukanakawa	are
arya	area
ukatawa	are you
jaqichatatati	are you married
ukankasktati	Are you still there?
ukankasktati	are you there
arxataña	argue
arsu	argument
amuyt'aña	arise
ampara	arm
ijirsitu	army
ukathiya	around
askichaña	arrange
amtata	arrangement
puriwi	arrival
puriña	arrive
purini	arrived
wakt'ayiri	arrow
juch'us arsu	acute
qhana arsuña	sincere
arti	art
t'aqa	article
artista	artist
aski arumaki	good evening
aski arumakipana	good night
aski arumakipana	goodnight
chika aruma	midnight
jan aruni	speechless
chapar aru	poem
chapar aru	poetry
kunjama	as
qhilla	ash
p'inqasita	ashamed
jiskhiña	ask
jiskt'iwa	asked
jan aski	disposal
jan aski	invalid
jan aski kuriyu	spam
jan askinaka	crap
ikita	asleep
ukhakama	as long as
kunjamasa	aspect
Assamese	Assamese
usuchjaña	assault
tantachasiwi	assembly
chiqt'aña	assertive
uñjaña	assess
yant'awi	assessment
aktiwu	asset
akiwunaka	assets
chhijllaña	assign
chhijllata	assignment
chikanchasiña	assist
asistinti	assistant
mayachata	associate
tamachata	associated
tama	association
katxaruña	assume
amuyunaka	assumption
kipkaraki	as well
akjama	as well as
jan asxarañani	sassy
ukana	at
manq'iwa	ate
t'ijuri	athlete
jan atiri	unable
janiw atkti	can't
janiw atkti	I can't
juk'aki	at least
apthapiña	attach
mayachata	attached
taqpacha	attachment
chhukt'aña	attack
yant'aña	attempt
atintiña	attend
chikanchasita	attendance
ist'aña	attention
ukhamäña	attitude
munayaña	attract
munkaya	attraction
musparkaya	attractive
chimpu	attribute
awrinsya	audience
llumpaqa	august
tiya	aunt
tiya	aunty
chiqa	authentic
awtura	author
p'iqinchiri	authority
wañapacha	autumn
utjiri	available
prumiryu	average
jark'aña	avoid
uñanakata	awake
waxt'a	award
amuyasiskiri	aware
chuymankiwa	awareness
jaya	away
musparkaya	awesome
phiru	awful
Munat awkinaka	Dear Parents
mayjt'asiña	awkward
manq'at awtjayasiña	starving
waka aycha	beef
Aymara	Aymara
asu	baby
wachillir	bachelor
qhipa	back
manqha	background
qhuru	bad
wayaqa	bag
lik'i	bait
urniyaña	bake
t'ant'aniwja	bakery
