یک	a
کمے	a little
باز زیات	a lot
بازین ئے	a lot of
یل کنگ	abandon
یل دات	abandoned
نندگ	abide
بودناکی	ability
لائک	able
بابت ءَ	about
بُرز ءِ	above
درمُلک	abroad
ساڑی نہ بوگ ءَ	absence
ساڑی نہ بوک	absent
بلکل	absolutely
چِنت ئے	absorb
گْونڈگری	abstract
بے ہودگ	absurd
گیشی	abundance
مزنیں کساس	abundant
رَدیں تب	abuse
بولی	accent
منّگ	accept
رسائی	access
ویل	accident
رہائش	accommodation
سرجم	accomplish
سرجم	accomplished
رِدا	according
کھاتہ	account
تچکی	accuracy
راستیں	accurate
ڈوھدار	accused
پریشتگ	ache
حاصل کنگ	achieve
سوبمندی	achievement
منّگ	acknowledge
سرپد	acquaintance
گرگ	acquire
گپت	acquired
گرگ	acquisition
آ دست	across
کرد	act
کار	action
کارءَ	active
کاراں	activities
کار	activity
کارست	actor
چوناہا	actual
اسل ءَ	actually
سکّیں	acute
زورگ	adapt
وتی کنگ	adapt
ہوارکن	add
عادی	addicted
گیشیں	addition
گیشیں	additional
ڈس	address
نشان	address
باز	adequate
نزیکیں	adjacent
ستا	adjective
ہوار کن	adjust
ستا کنگ	admire
داخل	admit
وتی کنگ ءِ	adopt
دلکش	adorable
اربون	advance
دیمروی کرتگیں	advanced
پائدگ	advantage
مُہم جوئی	adventure
جاورگال	adverb
اشتہار	advertisement
اشتہار	advertising
شئور	advice
شئور	advise
وکیل	advocate
زیبائی	aesthetic
معاملہ	affair
ساندار	affect
نزیکی	affection
سگّگ	afford
ارزنیں	affordable
تُرس	afraid
چہ پد	after
نیمروچ	afternoon
رندا	afterwards
پدا	again
ھلاپ	against
اُمر	age
ایجنسی	agency
ایجنٹ	agent
زوراکیں	aggressive
تکڑا	agile
پیسرا	ago
تپاک	agree
منّگ نامہ	agreement
کشت و کشاری	agriculture
دیما	ahead
کُمک	aid
مراد	aim
گوات	air
بالی پٹ	airport
رُنگراہ	aisle
گھنٹی	alarm
الکول	alcohol
شیوار	alert
زندگ	alive
دُرست	all
شر اِنت	all right
اللہ مہروان بات	all the best
موکل دیگ	allow
موھ دات	allowed
کساس	almost
تہنا	alone
گوں	along
چوناہا	already
شر اِنت	Alright
ہم	also
اوں	also
بدل	alternative
چوکہ	although
ہر وھد ءَ	always
آں	am
ھیرانیں	amazing
اڑاند	ambiguous
واہشت	ambition
بُرز نگاہ	ambitious
بدلی	amend
مراد	amid
میان	among
مئے میان ءَ	among us
زَر	amount
دل	amusing
لگگ	amusing
یک	an
تپّاس	analysis
پُشت	ancestors
لنگر	anchor
کوہن	ancient
ءُ	and
و	and
ءُ تو	and you
ملائیک	angel
زہرگرگ	anger
زاویہ	angle
دِلگران	angry
دلوت	animal
گُپی	ankle
پاد	ankle
سالروچ	anniversary
جارانک	announcement
دلگران	annoy
دلگران	annoyed
بہمانگ کنوک	annoying
سالیگی	annual
گُمنام	anonymous
یک دگہ	another
پسّو	answer
گمانی ایں	anticipate
بے تاھیر	anxiety
فکر مند	anxious
کجام یک	any
دگہ	anymore
کسے ہم	anyone
ہر شئے	anything
چوناہائی ءَ	anyway
برھال	anyways
جُتا	apart
اپارٹمنٹ	apartment
پہلی	apologize
لوٹ	apologize
پیداکی	apparent
ودیگی	apparent
گندگ ءَ	apparently
گُزارش	appeal
پدّر بوگ	appear
پیداک	appearance
اتکگ	appeared
گژن	appetite
شُد	appetite
سروپ	apple
دَزبندی	application
دزبندی بہ دے	apply
دارگ	appointment
ستا	appreciate
توسیپ	appreciation
لیکہ	approach
جْوانین	appropriate
شریں	appropriate
منّگ	approval
منگ	approve
منّتگیں	approved
کساس	approximately
اپریل	april
وت دل ءِ	arbitrary
جوڑ کنوک	architect
ہُنر	architecture
ماڑی بندگ	architecture
پہمیان کرتگیں کاگد	archive
ایں	are
اِت	are
اَنت	are
تو ئے	are you
آیا تو دزگٹ ئے	are you busy
تو سور کرتگ	are you married
تو سور کرتگ یا ناں	are you married or single
شما انگت ہمودا ئے؟	Are you still there?
آیا شما ساڑی یے	are you there
رقبہ	area
تران	argue
دلیل	argument
پاد آیگ	arise
دست	arm
لشکر	army
کروکشاں	around
بکس و بند	arrange
بست و بند	arrangement
سربوگ	arrival
سر بوگ	arrive
سر بِوتاں	arrived
مغرور	arrogant
تیر	arrow
ہُنر	art
نبشتانک	article
