asiki	a
abedik	a little
akéh pesan	a lot
liyu pesan	a lot of
sing ngerunguang	abandon
sing ade ngerunguang	abandoned
nuutin	abide
kamampuan	ability
ngidaang	able
indik	about
beduur	above
dura negara	abroad
ten hadir	absence
ten masuk	absent
pasti	absolutely
nyerep	absorb
abstrak	abstract
ten masuk akal	absurd
liyuné	abundance
liyu pesan	abundant
ngina	abuse
nyiksa	abuse
logat	accent
terima	accept
akses	access
kacelakaan	accident
genah nginep	accommodation
mencapai	accomplish
tercapai	accomplished
manurut	according
akun	account
katepatan	accuracy
beneh gati	accurate
kapituduh	accused
sakit	ache
polih	achieve
prestasi	achievement
ucapan suksma	acknowledge
ngakuin	acknowledge
kenalan	acquaintance
ngemilikin	acquire
memperolih	acquired
akuisisi	acquisition
ring samian	across
ngalakuin	act
aksi	action
aktip	active
kagiatan	activities
kagiatan	activity
aktor	actor
sané benehné	actual
sebenehne	actually
akut	acute
menyesuaiang	adapt
nambahang	add
kacanduan	addicted
tambahan	addition
tambahan	additional
alamat	address
acukupan	adequate
paek	adjacent
raos sipat	adjective
nyesuaiang	adjust
kagum	admire
ngakuin	admit
ngadopsi	adopt
ngaé kagum	adorable
mejalan maju	advance
maju	advance
ngarayu	advance
sampun maju	advanced
kauntungan	advantage
patualangan	adventure
raos keterangan	adverb
iklan	advertisement
pariklanan	advertising
pengajah	advice
saran	advise
panyokong	advocate
estetik	aesthetic
hubungan gelap	affair
urusan	affair
ngakibatang	affect
kasih	affection
ngidaang polih	afford
dadi kapolihang	affordable
takut	afraid
usan	after
sanja	afternoon
usan ipun	afterwards
buin	again
ngelawan	against
yusa	age
agénsi	agency
agén	agent
bes bani	aggressive
tangkas	agile
pidan	ago
setuju	agree
kasepakatan	agreement
pertanian	agriculture
ring malu	ahead
bantuan	aid
sasaran	aim
tatujon	aim
angina	air
bandara	airport
gang	aisle
alarem	alarm
alkohol	alcohol
paringatan	alert
idup	alive
samian	all
oké	all right
dumogi beruntung	all the best
ngijinang	allow
baanga ijin	allowed
ampir	almost
padidian	alone
ring sapanjang	along
sampun	already
Nah	Alright
masi	also
alternatip	alternative
meskipun	although
terus	always
jani adalah	am
hebat	amazing
sipatné ambigu	ambiguous
ambisi	ambition
merasa berambisi	ambitious
ngubah	amend
ring kalangan	amid
ring antara	among
ring antara ragané samian	among us
jumlah	amount
ngranaang seneng	amusing
asiki	an
analisis	analysis
keléwaran	ancestors
jangkar	anchor
kuno	ancient
miwah	and
lan idané	and you
malékat	angel
kapedihan	anger
sudut	angle
gedeg	angry
buron	animal
gagelangan bais	ankle
dina paringatan	anniversary
pangumuman	announcement
ngranaang sebet	annoy
gedeg	annoyed
ngedegin	annoying
sabilang warsa	annual
ten misi adan	anonymous
ané besikan	another
pasaut	answer
ngantisipasi	anticipate
masa cemas	anxiety
jejeh	anxious
sinamian	any
buin	anymore
nyén dogén	anyone
apapun	anything
lamun kéto	anyway
lamun kéto	anyways
mapisah	apart
apartemén	apartment
ngidh pelih	apologize
ngenahné	apparent
ngenahné	apparently
menék banding	appeal
daya tarik	appeal
ngenah	appear
pangenah	appearance
ngenah	appeared
selera medaar	appetite
apel	apple
aplikasi	application
nerapang	apply
janji	appointment
ngargain	appreciate
pengargaan	appreciation
ngemaakin	approach
ané genah	appropriate
persetujuan	approval
nyetujuin	approve
kasetujui	approved
kuang lebih	approximately
bulan april	april
maubah-ubah	arbitrary
arsiték	architect
arsitéktur	architecture
arsip	archive
adalah	are
apa idané	are you
idané sibuk	are you busy
idané sampun ngantén	are you married
idané nu bajang utawi sampun ngantén	are you married or single
Nu ditu?	Are you still there?
idané derika	are you there
daerah	area
miyegan	argue
gagerengan	argument
bangkit	arise
lengen	arm
tentera	army
ring genah sekitar	around
ngatur	arrange
pangaturan	arrangement
katibaan	arrival
rauh	arrive
ampun rauh	arrived
sombong	arrogant
panah	arrow
seni	art
artikel	article
buatan	artificial
seniman	artist
sebagai	as
dugas	as
salama	as long as
masi	as well
né masi	as well as
abu	ash
masa lek	ashamed
ngidih	ask
metakon	ask
metakon	asked
pules	asleep
aspek	aspect
Basa Assam	Assamese
serangan	assault
paum gedé	assembly
teges	assertive
ngenilai	assess
panilaian	assessment
asét	asset
asét	assets
nugasang	assign
tugas	assignment
nulung	assist
asistén	assistant
timpal kantor	associate
maubungan tekén	associated
aosiasi	association
nganggep	assume
anggepan	assumption
ring	at
satidakné	at least
medaar	ate
atlit	athlete
ngelampirang	attach
kalampirang	attached
lampiran	attachment
serangan	attack
utsaha	attempt
hadir	attend
kahadiran	attendance
perhatian	attention
pawakan	attitude
manarik	attract
atraksi	attraction
ngenah menarik	attractive
atribut	attribute
penonton	audience
bulan agustus	august
bibik	aunt
bibik	aunty
oténtik	authentic
panulis	author
sané berwenang	authority
musim gugur	autumn
kari tersedia	available
rerata	average
biase	average
ngindarin	avoid
tondén mesaré	awake
pangargaan	award
sadar	aware
kasadaran	awareness
ngoyong joh	away
hebat	awesome
berek gati	awful
canggung	awkward
Basa Aymara	Aymara
raré mare lekad	baby
nak muani bajang	bachelor
kembali	back
latar belakang	background
jelé	bad
tas	bag
umpan	bait
manggang	bake
tukang ngae jaje	bakery
bubuk pangembang jaje	baking soda
seimbang	balance
