sa	a
sada	a
saotik	a little
bahat	a lot
bahat	a lot of
manadinghon	abandon
naung ditadinghon	abandoned
maringanan	abide
hagogoon	ability
gogo	able
anggo	about
di ginjang	above
ruar negeri	abroad
dang ro	absence
dang adong	absence
nda ro	absent
sasudena	absolutely
mangonsop	absorb
atakan pikkiran	abstract
ndang ra	absurd
Marhuarar	abundance
mararar	abundant
sungar	abuse
ondok	accent
manjalo	accept
manjalahi	access
sitaonon	accident
pangurupion	accommodation
bongka na diparade	accommodation
pasidunghon	accomplish
malo	accomplished
pandok	according
akun	account
hatingkoson	accuracy
topet	accurate
dituhas	accused
hancit	ache
mandapot	achieve
dungdungon	achievement
manjangkon	acknowledge
tandaan	acquaintance
mandapothon	acquire
didapot	acquired
panjaloan	acquisition
taripar	across
mambolus	across
mangalulushon	act
parulan	action
ringgas	active
hasiputon	activities
ulahonon	activity
artis	actor
sasintongna	actual
satutuna	actually
borat	acute
leleng	acute
parumbukhon	adapt
manambai	add
katagian	addicted
panambahan	addition
panamba	additional
inganan	address
singkop	adequate
pajonokjonok	adjacent
parange	adjective
mangatur	adjust
mangalongangi	admire
marhatingkoshon	admit
mangalap	adopt
birak	adorable
pahatophon	advance
sanggih	advanced
hagulsakon	advantage
mangaoti	adventure
pardalanan	adventure
hata hatorangon	adverb
iklan	advertisement
iklan	advertising
poda	advice
mangalehen poda	advise
pangondian	advocate
estetik	aesthetic
pangalangkupion	affair
mangangor	affect
bunga ni holong	affection
mangalehon	afford
tardungdung	affordable
biar	afraid
nungga	after
potang	afternoon
dung i	afterwards
muse	again
tu	against
umur	age
agen	agency
perusahaan na spesial	agency
parutusan	agent
tagi manaroso	aggressive
hibas	agile
naung salpu	ago
satahi	agree
parpadanan	agreement
parumaon	agriculture
di jolo	ahead
pangurupion	aid
sipareakan	aim
alogo	air
bandara	airport
liang	aisle
alarm	alarm
tuak	alcohol
borsi	alcohol
mangalumbahon	alert
ngolu	alive
luhut	all
sasude	all
gabe ma	all right
sude na umdenggan	all the best
paloashon	allow
paloashon	allowed
naeng	almost
sasada au	alone
rap	along
nunga	already
Dengganma	Alright
pe	also
pililitan	alternative
nang pe	although
tongtong	always
mansai jeges	amazing
rambon	ambiguous
hagiot ni roha	ambition
hagiot natutu	ambitious
patinda	amend
ditonga	amid
parsitongaan	among
diholang holang hita	among us
lonsam	amount
madingin	amusing
rimangi	analysis
ompunta sijolo jolo tubu	ancestors
sao	anchor
buruk	ancient
dohot	and
dohot ho	and you
surusuruan	angel
muruk	anger
sogi	angle
muruk	angry
binatang	animal
mata ni pat	ankle
ari saut	anniversary
boaboa	announcement
manggugai	annoy
jengkel	annoyed
manghaori	annoying
martaontaon	annual
dang binoto	anonymous
alit	another
mangalusi	answer
alusan	answer
parhiraon	anticipate
holsoan	anxiety
lomos	anxious
ganup	any
muse	anymore
ise pe	anyone
aha pe	anything
boha pe	anyway
dok	anyways
tarsirang	apart
jabu	apartment
jabu nagodang	apartment
marsantabi	apologize
tarida	apparent
natarida	apparently
mangelek	appeal
mullop	appear
tompa	appearance
mullop	appeared
pangimbung	appetite
apel	apple
pamangke	application
mamangke tu	apply
padan	appointment
pasangaphon	appreciate
hapianhapian	appreciation
padonokhon	approach
topet	appropriate
patupahon	appropriate
tolopan	approval
sahata	approve
dioloi	approved
hira hira	approximately
april	april
manghalahala	arbitrary
pangarangrangion	architect
pangarangrang	architecture
partinggal	archive
manang ho	are you
sobu do ho	are you busy
nunga marbogas do ho	are you married
nunga marbogasma ho manang sasada dope	are you married or single
Manang di san dope ho?	Are you still there?
i sadun do ho	are you there
huta	area
ngali	argue
dalian	argument
juljul	arise
botohon	arm
tentara	army
humaliang	around
paturehon	arrange
partordingon	arrangement
haroroan	arrival
ro	arrive
ro	arrived
ginjang roha	arrogant
sior	arrow
hiasan	art
artikel	article
lipe	artificial
parende	artist
tagan	as
ansiat	as
sarupo	as
saleleng	as long as
boti tong	as well
sadengganna	as well as
orbuk	ash
maila	ashamed
manyungkun	ask
dijalo	asked
tarpodom	asleep
jambar	aspect
manaroso	assault
parlugutan	assembly
poran	assertive
manile	assess
pamuntenan	assessment
pongkot	asset
parserean	assets
manontuhon	assign
siulaon	assignment
mangurupi	assist
pangurupi	assistant
dongan	associate
bulbulan	associated
sarikkat	association
pahamat	assume
sura sura	assumption
di	at
pinomat	at least
mangan	ate
atelit	athlete
mandalhop	attach
tarlampir	attached
bukti panambai	attachment
manaroso	attack
manubo	attempt
mandohoti	attend
haroro	attendance
boa boa	attention
pangalaho	attitude
manarik	attract
dayo tarik	attraction
lagak	attractive
sabangunan	attribute
loloan	audience
agustus	august
namboru	aunt
inang uda	aunt
nantulang	aunt
inang uda namboru	aunty
autentik	authentic
panurat	author
panurat	authority
tingki marurus	autumn
adong	available
somalna	average
pataishon	avoid
ngot	awake
maniluahon	award
mamboto	aware
paimahon	awareness
dao	away
bagak hian	awesome
mansai jorbut	awful
hurang tabo	awkward
dakdanak menek	baby
siampudan	baby
hasian	baby
sarjana	bachelor
pudi	back
mulak	back
atakan patar	background
jorbut	bad
hadanghadangan	bag
taontaonan	bait
mamanggang	bake
lapo roti	bakery
bubuk soda kue	baking soda
maralo	balance
sarupo	balance
bola	ball
pisang	banana
ben	band
suara na gogo	bang
palumean ni hepeng	bank
beng	bank
lapo tuak	bar
giot nda	barely
lago mangarga	bargain
sisik bona ni hayu	bark
jelai	barley
pangambati	barrier
tondolan	base
marmula	based
ruang toru tano	basement
parjolo	basic
marna dasorna	basically
bulung kemangi	basil
najungkat	bastard
Batak Toba	Batak Toba
houm	batch
maridi	bath
bilut maridi	bathroom
batere	battery
parbadaan	battle
londut	bay
sai salamat mai	be careful
tapian laut	beach
boroti	beam
hassang polong	beans
gompul	bear
janggut	beard
lahar ni ban	bearing
pinahan na jugul	beast
pataluhon	beat
uli	beautiful
bagak	beauty
manjadi	became
alani	because
gabe	become
parpodoman	bed
bilut podoman	bedroom
loba	bee
juhut ni lombu	beef
holsoan	beef
