a	a
Drus	a little
aṭas	a lot
aṭṭas n	a lot of
as-yeǧǧ	abandon
yettwaǧǧan	abandoned
Aqader	abide
tizmar	ability
yezmer	able
azal n	about
nnig	above
deg tmurt n berra	abroad
Agdal	absence
iɣab	absent
s tidet	absolutely
Ytessu	absorb
tasleḍt	abstract
azulal	absurd
lɛewla	abundance
yesɛan aṭas	abundant
aẓekkeṛ	abuse
ẓekker	abuse
weɣdebbu	accent
yeqbel	accept
akcem	access
akeccum	access
laksida	accident
asmeckiked	accommodation
afen	accomplish
Ykemmel	accomplished
Ɣef leḥsab	according
amiḍan	account
iṣeḥḥa	accuracy
d tin n tidet	accurate
Yetthem	accused
leqriḥ	ache
yeqreḥ	ache
ad yaweḍ	achieve
Yuweḍ s iswi	achievement
Yesteɛṛef	acknowledge
tamusni	acquaintance
ad d-tawiḍ	acquire
yeṭṭfen	acquired
Ajnaw	acquisition
deg tama	across
asagber	act
tigawt	action
yezwer	active
Leqdicat	activities
leqdic	activity
asegbar	actor
Tura	actual
s tidet	actually
Anamsad	acute
d-temyezg	adapt
rrnu	add
Yemlek-ik	addicted
asnerni	addition
yerna	additional
azen	address
yessefken	adequate
tajaṛet	adjacent
Arbib	adjective
Iqeɛɛed	adjust
Tḥemmel	admire
qbel	admit
yettwasmemmi	adopt
d amehbal	adorable
azwer	advance
zwir	advance
tizwirt	advanced
tagnit	advantage
asurif	adventure
amernu	adverb
adellel	advertisement
adellel	advertising
anṣaḥ	advice
Yenṣeḥ	advise
amsedday	advocate
icbeḥ	aesthetic
temsalt	affair
sikec	affect
tayri	affection
as-yefk	afford
yesɛan azal	affordable
yugad	afraid
deffir	after
tameddit	afternoon
sakkin	afterwards
ɛawed	again
mgal	against
leɛmer	age
tasemsert	agency
ameggi	agent
yesseḍ	aggressive
Icrir	agile
zik	ago
qbel	agree
amtawa	agreement
Taffelaḥet	agriculture
sdat	ahead
ɛiwen	aid
iswi	aim
aḍu	air
anafag	airport
amḍiq	aisle
Asakay	alarm
ssker	alcohol
nebbeh	alert
yedder	alive
akk	all
Ulac aɣilif	all right
ayen yelhan akk	all the best
ǧǧet	allow
yettunefk	allowed
qrib	almost
awḥid	alone
s ttul	along
yakan	already
bxir	Alright
ula d	also
afran	alternative
Lameɛna	although
dima	always
nekk	am
yessewhamen	amazing
timsullest	ambiguous
tilisa	ambition
yesεan asirem	ambitious
beddel	amend
Gar	amid
gar	among
gar-anaɣ	among us
azal	amount
yesdehha	amusing
d	an
asekkuḍ	analysis
imawlan	ancestors
Agelzim	anchor
aqdim	ancient
akk-d	and
I kecc	and you
lmelk	angel
urfan	anger
Tiɣmert	angle
ifeqeɛ	angry
iɣersiwen	animal
taweṭzit	ankle
amuli	anniversary
Aberriḥ	announcement
naqem	annoy
yettqelliq	annoyed
yetǧini	annoying
Yal aseggas	annual
Udrigen	anonymous
wayeḍ	another
Err	answer
tiririt	answer
heggi iman-ik	anticipate
leɣṣeb	anxiety
yettḥebbiṛ	anxious
kra yellan	any
nnig waya	anymore
kra n yiwen	anyone
ula yiwen	anything
Akken yebɣu yili	anyway
aken yebɣu yili	anyways
Menɣir	apart
Axxam	apartment
ssuref fell-as	apologize
azedi	apparent
iban-d	apparently
asuter	appeal
ad d-iban	appear
udem	appearance
yetban	appeared
tilisa	appetite
tteffaḥ	apple
aseqdec	application
aseqdec	apply
asebded	appointment
ḥemmel	appreciate
ackar	appreciation
iqerreb	approach
lqrib	approach
igwulmen	appropriate
Yeqbel	approval
yeqbel	approve
iwufeq	approved
azal n	approximately
Yebrir	april
Ddreε	arbitrary
Amasdag	architect
Tasegda	architecture
amyag	archive
llan	are
d kečč	are you
Tceɣleḍ	are you busy
tezweǧeḍ ?	are you married
Tzewǧeḍ neɣ ur tzewǧeḍ ara?	are you married or single
mazal-ik din?	Are you still there?
Tellaḍ din?	are you there
tamnaḍt	area
Ttnaɣeɣ s wawal	argue
ajadel	argument
Nulfu	arise
selaḥ	arm
Tazemmalet	army
zzin - d	around
iṣeggem	arrange
assemsawi	arrangement
Aggad	arrival
aweḍ	arrive
yewweḍ-d	arrived
zuxx	arrogant
tneccabt	arrow
taẓuri	art
amagrad	article
takellaxt	artificial
anaẓur	artist
am	as
anect	as long as
ula d	as well
am akken	as well as
aɣed	ash
yettsetḥi	ashamed
steqsi	ask
Yseqsa	asked
tnafa	asleep
udem	aspect
Asams	Assamese
yemmeɣ	assault
agraw	assembly
Sentem	assertive
ad d-tḥesseḍ	assess
aseɣti	assessment
Ameskar	asset
cci	assets
efk	assign
asebter	assignment
Allel	assist
amalal	assistant
arfiq	associate
imeddukal	associated
tiddukla	association
ad as-tiniḍ	assume
asali	assumption
deg	at
meqqar	at least
yečča	ate
anaddal	athlete
Yeqqen	attach
yettwaṭṭfen	attached
Asbad	attachment
Aẓdam	attack
yeεreḍ	attempt
taεreḍt	attempt
ad d-yawi	attend
Tilin	attendance
afad	attention
addud	attitude
d-jebdeɣ lwelha	attract
yetɛeǧǧben	attraction
d ayen icebḥen	attractive
Ayla	attribute
agdud	audience
ɣuct	august
ɛemmi	aunt
xali	aunty
d tin n tidet	authentic
amaru	author
adabu	authority
lexrif	autumn
illa	available
amḍan	average
xḍu	avoid
yuki	awake
arraz	award
yesnen	aware
tamusni	awareness
yebɛed	away
yessewhamen	awesome
d ayen n diri	awful
Ur yesɛi lmeɛna	awkward
Aymara	Aymara
agrud	baby
ambur	bachelor
ɣer deffir	back
Tazrawt	background
yir	bad
asga	bag
tceṛkeţ	bait
Yesseway	bake
taḥanut	bakery
soda n lɣella	baking soda
amennekna	balance
semnekni	balance
takurt	ball
Bambara	Bambara
tabanant	banana
tarabbut	band
azlam	bang
Lbanka	bank
lbaṛ	bar
ɣas kan	barely
amennuɣ	bargain
Yesseglef	bark
taẓegwa	barley
Zzerb	barrier
ireṣṣan	base
ters	based
aderbuz	basement
agejdan	basic
Deg llsas	basically
leḥbeq	basil
Aɛeṭṭay	bastard
taffa	batch
abduz	bath
elhmam	bathroom
iẓra	battery
Amennuɣ	battle
tamda-nni.	bay
ili	be
s ttawil	be careful
lebḥar	beach
aberg	beam
tadlaxt	beans
Ursu	bear
yebib	bear
tamart	beard
Asebdad	bearing
aɣersiw	beast
acala	beat
awwet	beat
icbeḥ	beautiful
cbaḥa	beauty
yuɣal	became
axaṭar	because
yuɣal	become
usu	bed
taxxamt n yiḍes	bedroom
Tizizwit	bee
aksum	beef
i yellan	been
tabyirt	beer
uqbel	before
yebda	began
yebda	begin
tazwara	beginning
S yisem	behalf
Seggem	behave
ḍḍbiɛa	behavior
tikli	behaviour
deffir	behind
d win yellan	being
Ayen yettamen	belief
amneɣ	believe
Aεebbuḍ	belly
d ayla	belong
ɛziz	beloved
ddaw	below
tabagust	belt
Aɣalad	bench
ikennu	bend
ddaw	beneath
rez	benefit
abaɣur	benefit
yesfayden	benefits
ɣer tama	beside
ar tama	besides
ayen yelhan	best
afud igerzzen	best of luck
azul aḥmayan	best regards
axir	better
gar-asen	between
tissit	beverage
deffir	beyond
Bhojburi	Bhojpuri
neḥwaz	bias
Yezga	biased
asnasɣal	bicycle
Ssarameɣ	bid
ameqqran	big
Tasnasɣalt	bike
tafatuṛt	bill
Tuqna	bind
Afrux	bird
amuli	birthday
cwiṭ	bit
kerrec	bite
akerric	bite
Rẓag	bitter
aberkan	black
Tazzit	blade
εezzer	blame
aεezzer	blame
d ilem	blank
tacuct	blanket
Ifelɛes	blast
Asemlal	bleach
Xleḍ	blend
ibarek	bless
yettwaberken	blessed
d aderɣal	blind
Tumert	bliss
yergel	block
idammen	blood
yeǧǧuǧeg	bloom
suf	blow
azegzaw	blue
Sseḥfa	blunt
tafelwit	board
taflukt	boat
tafekka	body
Sserkem	boil
idammen	bold
akmas	bond
iɣes	bone
adlis	book
snegmed	book
antag	boost
njeε	boost
amsedday	booster
asenduq n tkeṛṛust.	boot
ibuzgen	boots
tilisa	border
abruj	bore
yeɛyat	bored
yessexlaε	boring
ilul	born
ad t-reḍḍleṭ	borrow
amεellem	boss
isin	both
yecɣeb	bother
tqerɛunt	bottle
daw	bottom
yuɣ	bought
Neggez	bounce
yeqqnen	bound
Aymir	boundaries
tanzed	bow
aqessul	bowl
Asenduq	box
aqcic	boy
amdakel	boyfriend
Tamesyast	bracelet
allaɣ	brain
ufurk	branch
azemz	brand
yesɛan tabɣest	brave
Taruzi	breach
aɣrum	bread
yerrez	break
taruzi	break
imekli n tṣebḥit.	breakfast
tedmart	breast
tneffes	breath
ad tneffsed	breathe
igellu	breed
Lajjur	brick
tislit	bride
Tileggit	bridge
ssewzel	brief
yeṣfa	bright
d amellal	brilliant
awi-d	bring
A gma	bro
hraw	broad
Brudkast	broadcast
Yerrez	broke
yerẓen	broken
tamedwazt	broom
