a	a
céddé'	a little
maéga	a lot
maéga	a lot of
salai	abandon
kosong	abandoned
risalai	abandoned
tunru'	abide
monro	abide
pakkullé	ability
ullé	able
ri asé'	above
luar negeri	abroad
dégaga	absence
dé nahadéré'	absent
manessa	absolutely
mangiso	absorb
dé na-ala akkaleng	absurd
temmaka éga	abundance
polé	abundant
mappeddiri	abuse
loga'	accent
tarima	accept
mabbéré laleng	access
laleng tama'	access
kecelakaang	accident
rirapi	accomplished
naseng	according
akun	account
acocokeng	accuracy
coco'	accurate
riteppu	accused
mapeddi	ache
peddi	ache
rapi	achieve
wassélé'	achievement
mangaku	acknowledge
sisseng	acquaintance
lolongeng	acquire
rilolongeng	acquired
mallétto	across
gau'	act
gau'	action
aktif	active
gau'-gau'	activities
gau'	activity
tongeng	actual
sitongenna	actually
mappasicoco'	adapt
mattamba	add
kecanduang	addicted
pattamba	addition
pattamba	additional
alama'	address
bicara	address
genne'	adequate
sideppé	adjacent
mappasicoco'	adjust
kagum	admire
mangaku	admit
mappakarennu-rennu	adorable
mangolo	advance
kemajuang	advance
canggi	advanced
macua	advanced
saro	advantage
makkaja	adventure
ada mappanessa	adverb
iklang	advertisement
iklang	advertising
papparéngngerang	advice
pangaja	advise
pangacara	advocate
makessing	aesthetic
urusang	affair
selingku	affair
kasih sayang	affection
pakkullé	afford
riullé melli	affordable
mitau	afraid
pura	after
arawéng	afternoon
purana yaro	afterwards
paimeng	again
umuru'	age
wettu	age
agen	agent
majuru'	aggressive
litta	agile
riolo	ago
situju	agree
assijancingeng	agreement
uma	agriculture
ri olo	ahead
bantuang	aid
akkatta	aim
udara	air
bandara	airport
lorong	aisle
takkelle'-kelle'	alarm
wékér	alarm
alkohol	alcohol
sadia	alert
tuo	alive
iyya maneng	all
iyé'	all right
salama' topada salama'	all the best
palalo	allow
rialloreng	allowed
céddé'	almost
alé-alé	alone
sibawa	along
pura	already
Iyé'	Alright
laing	alternative
namu mani	although
toli	always
héba' ladde'	amazing
minasa	ambition
roba	amend
ri tengnga-tengngana	amid
pada idi'	among us
bilangeng	amount
mappaddicawa	amusing
séddi	an
neneta' riolo	ancestors
balango	anchor
riolo	ancient
sibawa	and
ritamba	and
nappa	and
na idi'	and you
maléka'	angel
cai	anger
sudu'	angle
macai	angry
olokolo'	animal
paggellangeng ajé	ankle
ulang tahung	anniversary
pappallebba	announcement
magganggu	annoy
tagganggu	annoyed
magganggu	annoying
tahunan	annual
dé napaké aseng	anonymous
lainna	another
mabbali	answer
pappébali	answer
jaga-jaga	anticipate
nenneng	anxiety
manenneng	anxious
paimeng	anymore
niga-niga	anyone
sembarang	anything
namu maga	anyway
massarang	apart
méllau addampeng	apologize
manessa	apparent
tappita	apparent
collong	appear
tappa	appearance
cumpa	appeared
apel	apple
aplikasi	application
paké	apply
assijancingeng	appointment
mattarima kasi'	appreciate
maddeppé	approach
cara	approach
coco'	appropriate
ising	approval
situju	approve
risitujui	approved
kira-kira	approximately
April	april
élo-élona	arbitrary
arsitek	architect
arsip	archive
iyanaritu	are
sibu'ki'	are you busy
purani' botting	are you married
purani' botting atau dépa	are you married or single
Engkamuki' kutu?	Are you still there?
engkamaki'	are you there
wilaya	area
mabbali	argue
mappangéwang	argue
pabbali	argument
mompo	arise
lima	arm
tentara	army
seddé	around
makkuro	around
atoro'	arrange
taratté'	arrangement
lettu'	arrival
lettu'	arrive
lettu'	arrived
sombong	arrogant
ana' pana	arrow
seni	art
passaleng	article
barita	article
palessu	artificial
artis	artist
nasaba'	as
padai	as
assaleng	as long as
makkutoparo	as well
padato	as well as
awu	ash
masiri	ashamed
méllau	ask
makkutana	ask
makkutana	asked
éllau	asked
matinro	asleep
basa Assamese	Assamese
mappeddiri	assault
mattasséré'	assess
agaga	asset
waramparang	assets
rijello'	assign
jamang	assignment
mabbantu	assist
asisténg	assistant
siajjamang	associate
sihubungeng	associated
waseng	assume
pikkiri'	assumption
ri	at
sicéddé'-céddé'na	at least
manré	ate
témpélé'	attach
maddekké	attached
lampiran	attachment
ampe'	attack
serang	attack
puraga	attempt
mappuraga	attempt
hadéré'	attend
hadéré'	attendance
perhatiang	attention
sipa'	attitude
mattaré'	attract
pattaré'	attraction
magello irita	attractive
sipa'	attribute
panontong	audience
Agustus	august
inauré	aunt
inauré	aunty
aselli	authentic
pakkébbu bobbo'	author
pamarénta	authority
tassadia	available
rata-rata	average
biasa-biasa	average
massala	avoid
moto'	awake
hadia	award
mainge'	aware
kesadarang	awareness
mabéla	away
héba' ladde'	awesome
liwe' kaja	awful
makalallaing	awkward
basa Aymara	Aymara
ana' lolo	baby
sarjana	bachelor
monri	back
lésu	back
lekke'	back
makaja	bad
tase'	bag
pattang	bait
tunu	bake
toko roti	bakery
potase'	baking soda
timbangang	balance
léwa	balance
mattimbang	balance
golo'	ball
