кӀеззиг	a little
дукха	a lot
дукха	a lot of
дӀатесна	abandon
дӀатесна	abandoned
лелор	abide
хьуьнар	ability
хьуьнаре	able
лаьцна	about
лакхахь	above
дозанал дехьа	abroad
цахилар	absence
ца хила	absent
билггал бакъ долуш	absolutely
шеко йоццуш	absolutely
дӀахьулдан	absorb
абстрактехь	abstract
тӀехула гар	abstract
гӀурт	absurd
шорталла	abundance
шортта	abundant
зулам Ӏорадаккха	abuse
акцент	accent
тӀеэца	accept
схьаэца	accept
тӀекхочийла	access
бохам эккхар	accident
дӀасанисдар	accommodation
кхочушдар	accomplish
кхочушдинарг	accomplished
цхьаьна догӀуш	according
хьесап	account
бух	account
чот	account
хила ма-дезза	accuracy
нийсаниг	accuracy
билггал	accurate
нийсса	accurate
бехкевийриг	accused
лазар	ache
дӀакхача	achieve
кхиам	achievement
лара	acknowledge
гергало	acquaintance
хила	acquire
хила	acquired
дола кхачар	acquisition
дола дерзар	acquisition
пурх	across
чекх	across
дар	act
дар	action
хӀоттор	action
хӀоттам	action
жигара	active
гӀуллакх	activities
жигаралла	activity
гӀуллакх	activity
актер	actor
фактически	actual
карарчу хенахь	actually
ма-дарра аьлча	actually
нийсса аьлча	actually
ирха	acute
дӀадола	adapt
тӀетохар	add
дозуш долу	addicted
тӀетохар	addition
тӀетохар	additional
адрес	address
цхьаьнадогӀу	adequate
тӀетевжа	adjacent
билгалдош	adjective
дӀанисдан	adjust
тодан	adjust
дозалла дан	admire
доккхаде	admire
тамаша хета	admire
къардала	admit
тӀелацар	adopt
дагадохар	adorable
хьалхататта	advance
хьалхара	advanced
гӀоле хилар	advantage
хилларг	adventure
куцдош	adverb
реклама	advertisement
реклама	advertising
хьехам	advice
хьехам	advise
лардархо	advocate
эстетикан	aesthetic
гӀуллакх	affair
Ӏаткъам бан	affect
схьаийна хилар	affection
магийтар	afford
тӀекхочу	affordable
кхерадала	afraid
кхоьру	afraid
тӀаьхьа	after
делкъе	afternoon
цул тӀаьхьа	afterwards
юха	again
дуьхьал	against
хан	age
кхаьчна	age
агентство	agency
агент	agent
мостагӀаллин	aggressive
каде	agile
цул хьалха	ago
реза ву	agree
къобалдо	agree
барт	agreement
юьртан бахам	agriculture
хьалха	ahead
вон	aid
Ӏалашо	aim
хӀаваъ	air
аэропорт	airport
чекхдалар	aisle
орца	alarm
алкоголь	alcohol
малар	alcohol
сагатдар	alert
дийна	alive
дерриг	all
массо	all
дериг дика ду	all right
диканиг хуьлда шуна	all the best
пурба дала	allow
пурба дала	allowed
хила торуш	almost
гергга	almost
цхьалха	alone
дохалла	along
хӀинцале	already
Мегар ду	Alright
дика ду	Alright
цул сов	also
иштта	also
альтернатива	alternative
мукъане а	although
даима	always
ву	am
тамаше	amazing
