un	a
didde'	a little
bula	a lot
meggai	a lot
meggai na	a lot of
abandona	abandon
ma abandona	abandoned
osgui	abide
nina'sina	ability
sinia	able
pot	about
pot i	about
hulo'	above
i san hilo'	above
gi san hilo'	above
chagu'	abroad
tinaigui	absence
taigui	absent
taimanu	absolutely
chopchup	absorb
Abstraktu	abstract
Konsedat	absurd
abundansia	abundance
abundansia	abundant
abusu	abuse
inapling	accent
aksepta	accept
asesu	access
aksidenti	accident
ina'sintadu	accommodation
kompli	accomplish
guinaiya	accomplished
sigun	according
sigun gi	according
kuenta	account
Prisisu	accuracy
estrikto	accurate
kabales	accurate
umaya	accurate
ma akusa	accused
ha akusa	accused
puti	ache
ganna	achieve
kinompli	achievement
Magof	acknowledge
atungo'	acquaintance
kingkista	acquire
ha chuli'	acquired
ma chuli	acquired
Adquisisión	acquisition
gi	across
aktu	act
aksion	action
macho'cho'chu'	active
brabu	active
aktibidat siha	activities
aktibidat	activity
aktot	actor
muna'hasso	actual
gi minagahet	actually
agupa'	acute
adapta	adapt
na dania	add
tanaksi	addicted
adision	addition
adisionat	additional
kodigu	address
nahung	adequate
Lajon	adjacent
Adjetibu	adjective
na dinanchi	adjust
estima	admire
atmiti	admit
adopta	adopt
adorabli	adorable
abansa	advance
tatfena	advanced
bentåhi	advantage
Piniestran	adventure
Justifikå	adverb
Anunsio	advertisement
advertising	advertising
abisu	advice
abisa	advise
gumapas	advocate
Estetikon	aesthetic
ina'tungo'	affair
afeita	affect
afekson	affection
mafanåta	afford
baratu	affordable
ma'anao	afraid
dispues	after
talu'ani	afternoon
dispues	afterwards
talu	again
kontra	against
idat	age
ahensia	agency
mankuentatayi	agent
Guinayek	aggressive
Mahålang	agile
mapos	ago
konsenti	agree
konsentimientu	agreement
agrikuttura	agriculture
mofona	ahead
ayuda (verb)	aid
ayudu (noun)	aid
punta	aim
airi	air
puetton batkun airi	airport
pasajen	aisle
alarma	alarm
atkohot	alcohol
listu	alert
lalala'	alive
todu	all
todu puengi	all right
todu i maolek	all the best
sedi	allow
masedi	allowed
ti apman	almost
maisa	alone
para	along
esta	already
Pues esta	Alright
lokkue	also
alternatibu	alternative
sipudera	although
sesso	always
guaha	am
gupot	amazing
ti klaru	ambiguous
ambision	ambition
Matto' mañaina	ambitious
amenda	amend
entri	amid
entre	among
entre hita	among us
monton	amount
Ha'åni	amusing
un	an
manmaʼgas	analysis
ansestro siha	ancestors
ankla	anchor
antigu	ancient
yan	and
yan hagu	and you
anghet	angel
binibu	anger
ti tunas	angle
lalalo'	angry
animat	animal
gaga'	animal
tomun adding	ankle
komplianios	anniversary
anunsiu	announcement
estotba	annoy
stinotba	annoyed
atburotu	annoying
kada sakkan	annual
anoneymous	anonymous
otro	another
ineppe	answer
ninangga	anticipate
metbius	anxiety
pinalala'	anxious
algun	any
Ti kuentos	anymore
maseha hayi	anyone
maseha hafa	anything
sipudera	anyway
sipudera	anyways
apatao	apart
Pasusu	apartment
gagao dispensa	apologize
