efou	a
efoch	a
eu	a
ekis	a little
chommong	a lot
chommong	a lot of
nikiti	abandon
peutano	abandoned
fit ennukun	abide
tongeni	ability
tongeni	able
porousan	about
fanitan	about
asanapan	above
me nukun	abroad
apsen	absence
ese nomw	absence
ese war	absent
ewer	absolutely
oofi	absorb
masowan ekiek	abstract
mwakenekich	absurd
etinnúk	abundance
wachemukken	abundant
efeiengawa	abuse
ngingin	accent
etiwa	accept
anen	access
akseten	accident
neni	accommodation
awesi	accomplish
awesi	accomplished
anongonong	according
account	account
pwung	accuracy
pwung	accurate
tipingeni	accused
meter	ache
tori	achieve
angangeoch	achievement
etiwa	acknowledge
chiechian	acquaintance
meeni	acquire
angei	acquire
meeni	acquired
moni	acquisition
epek	across
angangen mwekutukut	act
mwekutun	action
achocho angang	active
angang ika mwekutukut	activities
angang	activity
mwekutukut	activity
actor	actor
wesewesan	actual
Ita fen	actually
ekis weweiti	acute
eoreni	adapt
kapach	add
umwesiti	addicted
kapacheta	addition
kapacheta	additional
neni	address
naf	adequate
pachengeni	adjacent
no translation	adjective
ekkesiwi	adjust
ingeiti	admire
fangeta	admit
mwuuti	adopt
mwirino	adorable
mweteno	advance
emwúrinnééw	advanced
anamwota	advantage
saai	adventure
adverb	adverb
aporousa	advertisement
ameme	advertising
eureur	advice
emweni	advise
chon chumani	advocate
nioch	aesthetic
wor nefiner	affair
angngawa	affect
memmefin	affection
tongeni moni	afford
tongeni moni	affordable
nuwokus	afraid
niw	afraid
mwirin	after
esopw ran	afternoon
mwirinon	afterwards
sefan	again
uu ngeni	against
ier	age
ofes ika nenien angang	agency
chon angang	agent
pochokun non angang	aggressive
mwitir me mecheres ne mwekut	agile
non ekkewe fansoun	ago
tipeeu	agree
etipeeu	agreement
atake	agriculture
me mwan	ahead
ánisi	aid
awena	aim
asepwan	air
airport	airport
tenin	aisle
ámááirú	alarm
arokon	alcohol
sakaw	alcohol
esinesin	alert
manaw	alive
meinisin	all
iwe ina	all right
anean kopwe fetaneoch	all the best
mwut ngeni	allow
mwuutata	allowed
arapakkan	almost
anamon	alone
fiti	along
aa fen	already
Iwe ina	Alright
Mei eoch	Alright
pwan	also
pwan eu anen	alternative
ika mwo	although
iteitan	always
mei	am
amwaarar	amazing
achocho	ambiguous
ekita	ambition
epinúkúnúkééch	ambitious
ekkesiwini	amend
nomw nein	amid
nein	among
neich	among us
ukukun	amount
amwarar	amusing
eu	an
epa	an
apééw	analysis
newo	ancestors
angke	anchor
minen nomw	ancient
me	and
me en	and you
chonnang	angel
song	anger
wenan	angle
song	angry
maan	animal
apachapachei	ankle
achechem	anniversary
apio	announcement
amangawa	annoy
nopwa	annoyed
ámáángngaw	annoying
iteitan ier	annual
ese fat	anonymous
pwan eu	another
penuweni	answer
ésúkú	anticipate
osukosuk memmefin netip	anxiety
mweteres	anxious
ese pwan nifinifin	any
ese chiwen wor	anymore
ese pwan nifinifin ion	anyone
met chek	anything
iwe ina	anyway
nge ina mwa	anyways
imwufesen	apart
apartmen	apartment
omusomus	apologize
weweoch	apparent
fatafateoch	apparent
iwe ita	apparently
pwaano	appeal
pwaa	appear
foutan	appearance
pwa	appeared
memmefin echik iak met	appetite
apen	apple
application	application
mina	apply
sossot	apply
pwonan	appointment
kinisou	appreciate
kinisou	appreciation
chuuri	approach
itiiteoch	appropriate
mwuutata	approval
mwuutata	approve
mwutata	approved
arapakan	approximately
eprein	april
finiomw won winikapomw	arbitrary
emon mei nipwakeoch non pekin taiku	architect
angangen keu imw	architecture
nenien isois	archive
mei	are
en ewe	are you
en mei osukosuk	are you busy
ka pwupwunu	are you married
ka pwupwunu ika kese mwo pwupwunu	are you married or single
En mei chiwen nomw?	Are you still there?
en mei nomw	are you there
neni	area
áániimaaw	argue
anini	argument
feitan	arise
pau	arm
mwiichen sounfiu	army
nukun	around
etetteni	arrange
etippeu	arrangement
wareto	arrival
war	arrive
war	arrived
ngaw	arrogant
foun pek	arrow
chunga	art
porousan	article
esapw wesewesan	artificial
chon chunga	artist
usun	as
ika pwe	as long as
pwan	as well
pwan usun chek	as well as
charan	ash
saw	ashamed
eis	ask
eis	asked
mour	asleep
pisekin	aspect
porousan	aspect
afeiengawa	assault
emweicha	assembly
pworachcho	assertive
katoneoch	assess
tes	assessment
pisekin	asset
pisekin	assets
áwiisa	assign
angang	assignment
wiisan	assignment
ánisii	assist
chon aninnis	assistant
chiechiean	associate
pache ngeni	associated
mwichen aramas	association
eumeum	assume
eumeum	assumption
ikewe	at
aseyiro ayeewi	at least
ani	ate
sensu	athlete
pachengeni	attach
efiyef	attached
sopwusopwun	attachment
ouskosuka	attack
sossot	attempt
fiti	attend
otun war me no	attendance
eusening	attention
nuwenuwan	attitude
arongoronga	attract
mettoch mei amwarar	attraction
mwirino	attractive
popunapan	attribute
chon katon	audience
aakos	august
tettenin iin	aunt
tettenin iin	aunty
ennetin	authentic
chon makkei	author
chon nemenem	authority
fansoun me mwirin summer me mwen winter	autumn
mei wor	available
keukun	average
erikirk seni	avoid
neno	awake
niffang	award
apareni	aware
osukuna	awareness
imwuseni	away
mwurino	awesome
ngaw	awful
assau	awkward
mwonukon	baby
emon mwan epwe epwupwunu	bachelor
nesokur	back
mwirin	back
masowan sasing	background
ngaw	bad
pwotou	bag
paa	bait
uumw	bake
bakery	bakery
baking soda	baking soda
ineteoch	balance
pwor	ball
uuch	banana
band	band
ochopwu	bang
nenien mwoni	bank
par	bar
ekis	barely
etipeeu	bargain
sopwun ira	bark
barley	barley
kianin	barrier
nenien winipwos	base
anongonong won	based
neni epin ewe imw	basement
nepoputan	basic
Usun nge	basically
eoch sokkun chen ira	basil
notukupwin	bastard
pinuk	batch
tutu	bath
imwen tutu	bathroom
pattiri	battery
mwoun	battle
aroset	bay
upwe	be
epwe	be
tumwuneoch	be careful
pich	beach
uur	beam
beans	beans
uwei	bear
enis	beard
nounatiw	bearing
awora	bearing
maan	beast
okkufu	beat
nioch	beautiful
nieoch	beauty
winiti	became
pwokiten	because
winiti	become
bed	bed
nenien mour	bedroom
achi	bee
pif	beef
no translation	been
sakaw	beer
pio	beer
me mwan	before
poputa	began
pwoputa	begin
nepwoputan	beginning
fanitan	behalf
fofforeoch	behave
mwekutukutun	behavior
mwekutukutun	behaviour
nukunupan	behind
nonnomwun	being
nukuu	belief
nukuu	believe
nuuk	belly
pisekin	belong
áchengicheng	beloved
faan	below
penit	belt
koskake	bench
pworei	bend
faan	beneath
namotan	benefit
namwotan	benefits
me nukun	beside
me nukun	besides
unukun	besides
eochunon	best
aneaneoch fanitomw	best of luck
kapong	best regards
eoch seni	better
nefinen	between
minen uun	beverage
pekinoon	beyond
uungeni	bias
epwungawno nonnomwun emon seni ngawen omw ekiek	biased
pasiken	bicycle
pet	bid
watte	big
pasiken	bike
men	bill
ochufengeni	bind
machang	bird
upwutiw	birthday
kuu	bit
kuu	bite
tipengaw	bitter
chchon	black
sar	blade
emwmwen	blame
emwmweni	blame
peon	blank
panangket	blanket
epungu	blast
sarasko	bleach
nofiti	blend
epini	bless
feioch	blessed
chuun	blind
pwapwa	bliss
eppet	block
chcha	blood
uwa	bloom
usi	blow
araw	blue
pochokun	blunt
board	board
mwota	boat
inis	body
opwuru	boil
no translation	bold
riri ngeni	bond
chuu	bone
puk	book
epechekuna	boost
eyineffengenniiy	booster
suus	boot
suus	boots
kianin	border
echipwanga	bore
chipwang	bored
echipwang	boring
upwutiw	born
aia	borrow
meinap	boss
me ruu	both
ousukosuka	bother
pen konik	bottle
epin	bottom
uwei	bought
mwet	bounce
fetan ngeni	bound
kianin	boundaries
pworotiw	bow
pwon	bowl
pwor	box
aat	boy
chienan aat	boyfriend
nana	bracelet
tupwu	brain
panan	branch
intenapan	brand
pwara	brave
atai	breach
pinawa	bread
atai	break
mwengin nesossor	breakfast
oupw	breast
ngasangas	breath
ngasangas	breathe
sokkun man	breed
foun simen	brick
chon epwupwunu	bride
piris	bridge
mennap	brief
saram	bright
tipachem	brilliant
uwei	bring
pwii	bro
mennapan	broad
appio	broadcast
atai	broke
ta	broken
pirumw	broom
pwipwi	brother
mongeian pwunuwei	brother in law
pwiin pwunuwei	brother in law
uwei	brought
kung	brown
piros	brush
pwekit	bucket
chiechian	buddy
tumwunun mwoni	budget
man te	bug
fori	build
iimw	building
fori	built
pinnuk	bulk
ekkewe maan ussun kou	bull
emon chon kawet aramas	bully
fochuuku	bump
epwii	bunch
pinukun	bundle
akkara	burden
epwichikkara	burden
peias	buried
keni	burn
chopw	burst
peiaseni	bury
irei	bury
paas	bus
petewon	bush
angang	business
afonu	bust
osukosuk	busy
nge	but
pwete	butter
pungke	butterfly
pwaten	button
foun	button
kamo	buy
unukun	by
Nge mwa	by the way
kone nomw	bye
kone no	bye
kapich	cabbage
kapet	cabinet
tit	cage
cake	cake
man	calf
koori	call
koriei	call me
itan	called
kori	called
mwosonoson	calm
war	came
campein	campaign
tiin	can
tongeni	can
ese tongeni	can't
Eukano	Cancel
kanser	cancer
tongeni	capable
ukukun epwe kuch	capacity
nenian	capital
makkan	caption
supwuri	capture
tarakku	car
angaang	career
tumwuneoch	careful
apwetete	carefully
tumwunungaw	careless
tongei	caring
taiku	carpenter
carpet	carpet
karoch	carrot
pwiki	carry
eki	carry
feino	carry on
ekiewu	carry out
nenian	case
chen mwoni	cash
simen	cast
castle	castle
ese kon fiffis iteitan	casual
kinamwe	casual
kattu	cat
supwuri	catch
kinikin	category
siip	cattle
pwa	caught
efisi	cause
tumwuneoch	caution
forochuu	cautious
tumwuneoch	cautious
pwokungo	cave
akounoi	cease
áneefiina	ceiling
apwaapwa	celebrate
cell	cell
nukanapan	center
ipwuku ier	century
cereal	cereal
apwapwan	ceremony
ekkoch	certain
ewer	certainly
setifiket	certificate
sein	chain
seia	chair
ekkemis	challenge
eu fansoun	chance
siwini	change
fitikoko osukosuk	chaos
nikinikin	character
