ah	a
likke bit	a little
meny	a lot
ole heep	a lot of
abandan	abandon
leff	abandoned
stay	abide
can duh	ability
able	able
bout	about
above	above
farin	abroad
nuh deh yah	absence
absent	absent
difinately	absolutely
suck up	absorb
empty	abstract
crazy	absurd
abundance	abundance
plenty	abundant
lik dung	abuse
accent	accent
aksep	accept
akcess	access
aksident	accident
place fi stay	accommodation
finish	accomplish
accomplish	accomplished
accaadin	according
account	account
accuracy	accuracy
carreck	accurate
did accuse	accused
pain	ache
achieve	achieve
gains	achievement
aknalij	acknowledge
acquaintance	acquaintance
get	acquire
get	acquired
sitn weh yuh get	acquisition
cross	across
play	act
movement	action
staat	active
activity dem	activities
activity	activity
acta	actor
akchwal	actual
actually	actually
trait	acute
get use tuh	adapt
add aan	add
addictid	addicted
addition	addition
additional	additional
address	address
enuf	adequate
beside	adjacent
adjective	adjective
ajuss	adjust
luv up	admire
canfess	admit
tek een	adopt
nice	adorable
step up	advance
move up	advanced
advantij	advantage
advencha	adventure
adverb	adverb
advatisment	advertisement
a advatise	advertising
advice	advice
tell	advise
advocate	advocate
nuff beauty	aesthetic
a cheat	affair
affeck	affect
affeckshan	affection
afford	afford
affordible	affordable
fraid	afraid
afta	after
midday	afternoon
lata	afterwards
again	again
gainst	against
years	age
agency	agency
agent	agent
angry	aggressive
frisky	agile
aguh	ago
gree	agree
agreement	agreement
agriculcha	agriculture
bifore	ahead
elp	aid
goal	aim
breeze	air
airport	airport
aile	aisle
alaam	alarm
alkwol	alcohol
active	alert
kickin	alive
all	all
arite	all right
gud luck	all the best
allow	allow
did allow	allowed
likkle mos'	almost
by miself	alone
wid	along
aready	already
Awrite	Alright
also	also
to	also
adda	alternative
aldough	although
always	always
amazin'	amazing
two way	ambiguous
ambishan	ambition
hav shame	ambitious
amen'	amend
wile	amid
among	among
amung wi	among us
amount	amount
funny	amusing
an	an
undastanin	analysis
ancesta dem	ancestors
fassen	anchor
ol'	ancient
an	and
an yuh	and you
angel	angel
madniss	anger
angle	angle
mad	angry
animal	animal
ankle	ankle
anniversry	anniversary
announcement	announcement
annay	annoy
did annoy	annoyed
annoyin'	annoying
evry 'ear	annual
secrit	anonymous
aneda	another
ansa	answer
anticipate	anticipate
anxiaty	anxiety
ankshus	anxious
eny	any
nuh mo'	anymore
enybadi	anyone
enyting	anything
eny which way	anyway
enyway	anyways
a paat	apart
apartment bildin	apartment
apalajiz	apologize
evident	apparent
mo' dan likely	apparently
appeal	appeal
luk	appear
luks	appearance
did appear	appeared
feel fi eat	appetite
apple	apple
application	application
apply	apply
appointment	appointment
apprecilove	appreciate
luv	appreciation
approach	approach
appropriate	appropriate
approval	approval
bless up	approve
agree tuh	approved
bout	approximately
april	april
random	arbitrary
architeck	architect
arckitecha	architecture
archive	archive
a yuh	are you
yuh busy	are you busy
yuh marrid	are you married
yuh marrid ar single	are you married or single
Yuh deh deh still	Are you still there?
yuh deh deh	are you there
place	area
cuss	argue
cussin	argument
get up	arise
han'	arm
army	army
round	around
orda	arrange
arrangement	arrangement
