އެކަހެރިކުރުން	abandon
ފަޅު	abandoned
ތަބާވުން	abide
ކުޅަދާނަކަން	ability
ކުރެވޭނެ	able
ގުޅިގެން	about
މަތި	above
ބޭރުޤައުމެއްގައި	abroad
ހާޒިރުނުވުން	absent
ފޯވުން	absorb
އެބްސްޓްރެކްޓް	abstract
ތާކުންތާކުނުޖެހޭ	absurd
ބައިވަރު	abundance
ބައިވަރު	abundant
އަނިޔާ	abuse
ބަސްކޮށާރު	accent
ޤަބޫލުކުރުން	accept
އެކްސަސް	access
އެކްސިޑެންޓް	accident
އެކަމަޑޭޝަން	accommodation
ޙާޞިލްވުން	accomplish
ނިމިފައި	accomplished
އޭގައިވާގޮތުން	according
އެކައުންޓު	account
ޞައްޙަކަން	accuracy
ޞައްޙަ	accurate
ދަޢުވާލިބޭ	accused
ތަދު	ache
ކާމިޔާބުވުން	achieve
ޙާޞިލުވުން	achievement
ބަލައިގަތުން	acknowledge
ލިބިގަތުން	acquaintance
ލިބިގަތުން	acquire
ލިބިފައިވުން	acquired
ލިބިގަތުން	acquisition
ހުރަސް	across
ޢަމަލު	act
ޢަމަލު	action
އެކްޓިވް	active
ހަރަކާތްތައް	activities
ހަރަކާތް	activity
އެކްޓަރު	actor
އަސްލު	actual
އަސްލުގައި	actually
އެކިއުޓް	acute
އެޑަޕްޓް	adapt
އެއްކުރުން	add
އެޑިކްޓްވެފައި	addicted
އެއްކުރުން	addition
އިތުރު	additional
އެޑްރެސް	address
އެކަށީގެންވާ	adequate
އެޖޭސަންޓް	adjacent
ނަންއިތުރު	adjective
ހަމަޖެއްސުން	adjust
ހިތްއެދޭ	admire
އެއްބަސްވުން	admit
އެޑޮޕްޓް	adopt
އެޑްވާންސް	advance
އެޑްވާންސްޑް	advanced
ފައިދާ	advantage
އެޑްވެންޗަރ	adventure
ކަންއިތުރު	adverb
އިޝްތިހާރު	advertisement
އިޝްތިހާރު	advertising
ނަޞޭޙަތް	advice
ނަޞޭޙަތްދިނުން	advise
އެހީތެރިން	advocate
