ɖo aba	laid
anᴐ abe	approximately
wᴐ abe	pretend
dze abe	seems
xɔ abi	hurt
xɔ abi	injured
ŋutete	ability
ɖe abla	hurry
ablotsi	abroad
aƒetsitsi	absence
blibo	absolutely
no	absorb
totoɖeme	abstract
gbetete	accent
mᴐnu	access
afɔku	accident
nᴐƒe	accommodation
akᴐnta	account
ɖoɖonunɔnɔ	accuracy
de	accurate
sedzidala	accused
vevesese	ache
dzidzedzekpɔkpɔ	achievement
ƒle	acquire
xɔ	acquired
nuwɔwɔ	action
nuwɔnawo	activities
nuwɔna	activity
fefewɔla	actor
wɔ adã	fierce
trɔ	adapt
kpekpeɖeŋu	addition
adrɛs	address
da ade	hunt
nyaɖɔnya	adjective
xᴐ	admit
xɔ	adopt
ŋusẽkpᴐkpᴐ	advantage
numetoto	adventure
dɔwɔnyaɖɔnya	adverb
boblododo	advertisement
aɖaŋu	advice
nyaxɔɖeakɔla	advocate
ɖe adzɔgbe	pledge
ɖo aɖaŋu	advise
wɔa aɖaŋu	creative
ɖo aɖaŋu	recommend
dze aɖaʋa ɖe eme	obsessed
dze aɖaʋa	mad
le aɖe asi	keep
ele aɖe	delicious
ʋɛ aɖe	fewer
ame aɖeke o	nobody
ame aɖe	somebody
ame aɖe	someone
le aɖe	spicy
le aɖe	tasty
nye aɖi	toxic
tugbedzedze	aesthetic
nya	affair
lɔlɔ̃ɖeɖefia	affection
va afi	come here
èle afi ma	are you there
le afima	over there
Mele afi sia	I'm here
ɖo afɔ afɔta	warn
fia afɔɖoƒe	guide
do afɔ	follow up
tu afɔ	kick
vɔvɔm	afraid
emegbe	after
ŋdᴐ	afternoon
emegbe	afterwards
tsi aƒe	absent
ake	again
ɖe agba	discharge
dze agbagba	endeavor
dze agbagba	tried
dze agbagba	try
dze agbagba	venture
de agba	load
le agbe	alive
dɔ agbe	good night
dɔ agbe	goodnight
nɔ agbe	live
le agbe	lives
tsi agbe	survive
le agbe tim	thrive
do agbogbo	abundance
le agbɔsɔsɔ me	bulk
ƒe	age
alɔdze	agency
dɔla	agent
do age	score
zã	agile
dze aglã	arrogant
dze aglã	rude
dze aglã	stubborn
dze agᴐ	guilty
medze agᴐ	I'm sorry
nublabla	agreement
agbledede	agriculture
mu aha	drunk
da ahe	poor
wɔ ahiã	flirt
kpeɖeŋu	aid
taɖodzi	aim
ya	air
yameʋudzeƒe	airport
gawɔe ake	repeat
kpɔ aklama	lucky
le akogo	lonely
bu akɔnta	evaluate
de akpa ɖeka dzi	biased
le akpe dam	grateful
ƒe alafa ɖeka	century
le alakpa dam	lying
gbeɖiɖi	alarm
ahasesẽ	alcohol
ŋute	alert
zi ale si	as long as
ʋee	a little
katã	all
enyo	all right
kloẽ	almost
akogo	alone
geɖe	a lot
geɖe	a lot of
dɔ alɔ̃	asleep
le alɔ̃dɔm	sleeping
dᴐ alɔ̃	sleep
Enyo	Alright
hã	also
nye	am
didi	ambition
ba ame	cheat
kpɔ ame dzi	depend
xᴐ ame dzi se	loyal
abe ame ɖeka	particularly
wo ame eve la	both
ɖia ame nu	offensive
ɖia ame nu	tease
bua ame	polite
bu ame	respect
dze ame	seem
si ame sia ame xɔ	mutual
ɖia ame	stalk
wodome	amid
da ami	fat
nye amlima	mysterious
miadome	among us
home	amount
numedzodzro	analysis
tɔgbeawo	ancestors
seke	anchor
xoxo	ancient
kple	and
mawudɔla	angel
dziku	anger
gɔglɔƒe	angle
dze ani	decent
lã	animal
afɔkpodzui	ankle
dzigbezã	anniversary
gbeƒãɖeɖe	announcement
kuadzi	annoying
bubu	another
ŋuɖoɖo	answer
toa anukuarɛ	faithful
dzitsitsi	anxiety
aɖe	any
nɔ anyi	abide
manᴐ anyi adidi o	temporary
dze anyi	collapse
yi anyi	decline
yi anyi	decrease
nᴐ anyi didi	last
ɖoe anyi	establish
ɖoe anyi	established
dze anyi	fail
dze anyi	failed
dze anyi	fall
dze anyi	fell
ɖoe anyi	install
ɖoe anyi	launch
ɖoe anyi	lay
mlɔ anyi legbe	prone
tsi anyi	outstanding
tsi anyi	remain
nɔ anyi	sat
dze anyi	settle
ɖo anyi	set up
nɔ anyi	sit
nᴐ anyi	stay
xɔhaya	apartment
kukuɖeɖe	appeal
dze	appear
dzedzeme	appearance
dze	appeared
nudzroame	appetite
apel	apple
mᴐbibia	application
gbeɖoɖi	appointment
ŋudzedzekpɔkpɔ	appreciation
afɔfie	april
xɔtala	architect
xɔtata	architecture
nudzraɖoƒe	archive
enye	are
teƒe	area
èle	are you
nyahehe	argument
tso	arise
abɔ	arm
aʋakɔ	army
ɖo	arrange
ɖoɖo	arrangement
ɖoɖo	arrival
ɖo	arrived
aŋtrɔe	arrow
nutata	art
nu	article
nutala	artist
abe	as
dzofi	ash
kpla asi akᴐ	embrace
kplᴐ asi akᴐ	hug
ɖe asi	allowed
ƒo asi	bargain
da asi ɖe edzi	approve
da asi ɖe edzi	approved
xᴐ asi	expensive
ɖe asi	give up
ɖe asi le dɔ ŋuti	resign
ɖe asi le eŋu	allow
ɖe asi le eŋu	dismiss
ɖe asi le eŋu	ignore
ɖe asi le	release
ƒo asi	negotiate
le asinye	I have
mexᴐ asi o	cheap
xɔ asi	prime
ka asi	touch
xɔ asi	worth
bia	ask
bia	asked
akpa	aspect
Assamese	Assamese
ƒo	assault
ƒuƒoƒo	assembly
dodokpᴐ	assessment
nunɔamese	asset
nunɔamesiwo	assets
dᴐdeasi	assignment
kpeɖeŋu	assist
kpeɖeŋutɔ	assistant
habɔbɔ	association
bui	assume
hã	as well
le	at
ka atam	swear
ɖu	ate
si ate ŋu adzɔ	likely
si ate ŋu anɔ anyi	sustainable
duƒula	athlete
kpeɖeŋu	attached
de	attend
teƒedede	attendance
ŋuɖoɖo	attention
nɔnɔme	attitude
he	attract
nuhehe	attraction
ŋutinu	attribute
nuselawo	audience
dasiamime	august
tasi	aunt
tasi	aunty
atsiatsia	authentic
nuŋlɔla	author
ŋusẽ	authority
nuŋeɣi	autumn
eli	available
fa avi	cry
dze avu	attack
wᴐ avu	fight
le avu	resolve
le avu wɔm	hostile
wɔ aʋa	fought
nyɔ	awake
nunana	award
nya	aware
nyanya	awareness
na	away
ɖo awu	get dressed
de axa	adjacent
de axa	avoid
le aye me	subtle
dze ayɛ	cunning
Aymara	Aymara
ɖu azã	celebrate
nu babla	package
vidzĩ	baby
tre	bachelor
megbe	back
gbegblẽ	bad
kotoku	bag
ƒunulã	bait
me	bake
abolomeƒe	bakery
na	baking soda
bɔl	ball
Bambara	Bambara
de ba mo	disguise
akɔɖu	banana
hadziha	band
gadzraɖoƒe	bank
ahanoƒe	bar
wò	bark
na	barley
mɔxexe	barrier
teƒe	base
gɔmedzenu	basic
na	basil
gbɔmeya	bastard
hatsotso	batch
tsileƒe	bathroom
batri	battery
aʋa	battle
na	bay
enye	be
ƒuta	beach
togbɔ be	although
xɔgbãti	beam
ayi	beans
sisiblisi	bear
ge	beard
vevienyenye	bearing
gbemelã	beast
ƒo	beat
tugbedzedze	beauty
elabena	because
wᴐe be	cause
zu	become
aba	bed
xɔgãme	bedroom
anyi	bee
nyilã	beef
nye	been
biya	beer
togbɔ be	even though
ŋlᴐe be	forget
ŋlɔ be	forgot
gɔmedzedze	beginning
tsɔe be	granted
nuwᴐna	behavior
nuwɔna	behaviour
emegbe	behind
nenye be	if
mebui be	I think
dzixɔse	belief
ƒodo	belly
lɔlɔ̃tɔ	beloved
été	below
alidziblaka	belt
medi be makpɔ wò	I want to see you
enyo be míedo go	nice to meet you
dze be	must
zikpuilegbe	bench
bɔ	bend
viɖe	benefit
viɖe	benefits
Akpe be nègbɔ dzi ɖi na mí le esime míenɔ nugɔmekuku la wɔm	Thank you for your patience while we investigate shipment
Akpe be nèzã app sia	Thanks for using our app
si be	obscure
dze be	ought
kpɔe be	realize
nyuietᴐ	best
bui be	suppose
bui be	supposed
bui be	thought
titina	between
nunono	beverage
di be	wanna
Bhojpuri	Bhojpuri
le biabiam	demanding
gasɔ̃	bicycle
asidodo	bid
lolo	big
gasɔ̃	bike
febugbalẽ	bill
bla	bind
xe	bird
dzigbe	birthday
ɖu	bit
ɖu	bite
yibᴐ	black
nulãnu	blade
avɔtsɔtsɔ	blanket
le blanui	gloomy
le blanui	moody
gbã	blast
tsaka	blend
yra	bless
de blibo	comprehensive
de blibo	perfect
dzidzeme	bliss
ʋu	blood
kᴐ	blow
bluᴐ	blue
tɔdziʋu	boat
le boblodom	advertising
ŋutilã	body
fie	boil
kalẽtᴐe	bold
kpe	bond
ƒu	bone
agbalẽ	book
afɔkpa	boot
afɔkpawo	boots
liƒo	border
amegã	boss
