a little	qunxaama
a lot	mangom
a lot of	mangom
abandon	cab
abandoned	cabbimteh
abide	madqat amrimiyya
abide	raamoysimiyya
ability	duddala
able	xiqtò le
about	ama caagidih
above	daga
above	fayya
abroad	iro baaxo
absence	anewayti
absence	raqti
absent	mayana
absolutely	inkih tanuuk
absorb	fuuqtah
absorb	taaqubeh
abstract	kutbeh cibu
abstract	mayxaaxa
absurd	egeri
absurd	qajiibik taniimi
abundance	manga
abundant	mangali
abuse	uncusiyyat
accent	anxaca
accept	oggoliyya
access	gudduyso
accident	daqdaqu
accommodation	araca
accommodation	madaba
accomplish	agdaaabe
accomplished	tungudduubeh
according	ta gurral
account	cisab loowo
accuracy	asmata
accurate	numma lem
accused	baatil elle heeh
accused	malkimeh
ache	lakimu
achieve	arcis
achievement	arcisiino
acknowledge	mamaxxaga yaceenimi
acquaintance	ixxigaagi
acquaintance	aaxigehan num/barra
acquire	geyiyya
acquired	geeh
acquisition	geyiyya
acquisition	bukkusiyya
across	exxaak exxa fan
act	ab
act	celsis
action	maaqatta
action	abina
active	fakut yan
active	ugutut yani
activities	abtooti
activities	uguugutitte
activity	uguugutu
activity	agxe
actor	doklise
actual	asmat leemi
actually	immay
actually	asmatah
acute	cubbi le
adapt	ansamaamaq
add	osiyya
addicted	kaaribiteh
addition	osiyya
additional	ossotinah
address	sugmenta
address	guub
address	raceyna
adequate	xiqtah
adjacent	garit taniimi
adjective	weelò qangooru
adjust	missoysiyya
admire	assakaatiyya
admit	oggol
admit	culsa
adopt	assanabbiyya
adorable	rufto leemi
advance	aysukum
advanced	tookomeh
advanced	bisoh iyye
advantage	kulsa
adventure	qellaaama
adverb	abni gurra
advertisement	maysaxxaga
advertising	aysaxaaxagiyya
advice	fayu
advise	faysiyya
advocate	gaaroysa
aesthetic	bilhada le
Afar	Qafar
affair	caagidi
affect	tu baahu
affect	biyaakiyya
affection	kacanu
affection	fayxi
afford	meklaamih dudda
affordable	ceela mellebì
afraid	meesi
after	lakal
after	wadiri
afternoon	carra
afterwards	wohuk lakal
again	wixih
again	kaadu
against	saduh tani
age	karma
agency	awlaytu
agent	awlaytu
aggressive	naqboytiyyo
agile	sissikih
ago	naharat
agree	ittingeyi
agree	oggoliyya
agreement	ittin-geyi
agriculture	buqrè
ahead	foocah
aid	catò
aim	qalaamisiyya
air	silaytu
air	hawal tatrusiyya
airport	tayyaara booxa
aisle	toloyla
alarm	qawwalayla seeco
alcohol	kamri
alcohol	gocoyu
alert	garci kaliyya
alive	manol taniimi
all	inkih
all right	inkih nagaya
all the best	meqe saami
allow	idnisso
allowed	idnimteemi
almost	too caddò fan takku
alone	dubuk
along	lih
already	dumaak
already	naharal elle
Alright	nagaya
Alright	meqeh!
also	tohukkalah
also	kaadu
alternative	dooriti
although	kinnih immay
although	takkay immay
always	kulli waqdi
am	kinniyoh
amazing	kaxxam meqe
amazing	caakuumut
ambiguous	qaddoowewayteemi
ambition	qaago
ambitious	hanbareeri
ambitious	qaago li
amend	milaagiyya
amend	aysaasiyya
amid	fanat
among	fanat
among us	ni addat
amount	gide
amusing	tasuuluseemi
analysis	makeelo
ancestors	kaxxa abboobiti
anchor	boroysi
ancient	awwalih imi
and	kee
and you	atuu hay?
angel	malayka
anger	naqabu
angle	gonà
angry	naqabuli
animal	bahaahimi
ankle	xukcuno
anniversary	liggidi madaarah ayro
announcement	maysaxxaga
annoy	naqbisiyya
annoyed	bakcarriteh
annoying	bakcarrissaama
annual	kulli sanat
anonymous	migaq mali
another	ossotinah
another	gersiimi
answer	gacsa
anticipate	qambaala sug
anxiety	bohoy
anxious	bohoy li
anxious	ceenitiyya
any	akkinnnaan
any	faxe
anymore	ahaksa
anyone	faxe num
anything	faxe caagid
anyway	faxe caalatal
anyways	faxennalay
apart	xaquh
apart	baxsinteh
apartment	roysan qari
apologize	qafuutah essero
apparent	qadoh
apparently	akah tambullennah
appeal	yok-mataxca
appear	ubmbulliyya
appearance	weelo
appeared	yumbulle
appetite	maaqo fayxi
apple	tuffaaca
application	antifiqiyya
application	tadeera
apply	antafaqa
apply	essero xayyoysa
appointment	reeda
appointment	xagana
appreciate	raabit
appreciate	ossokoot
appreciation	gadda gacsa
appreciation	raabitiyya
approach	xayyowiyya
approach	xayna
appropriate	abaanam faxximtam
appropriate	akah taguude
approval	idini
approve	oggolu
approve	faaticisiyya
approved	idniseh
approximately	akkalah
approximately	edde xayuh
april	qasa dirri
arbitrary	annaak
arbitrary	nammaafiyyoh
architect	xisò mahandis
architecture	xisò handasata
archive	maysarraqa goli
are	kinnoonuh
are you	atu kinnitoo
are you busy	atu agxe maay lito?
are you married	atu maay digibteeh?
are you married or single	atu digibteh innaa dubuk tan?
Are you still there?	Atu uxih wokkel tantoo?
are you there	wokkel tantoo?
are you there	wokke guftee?
area	araca
area	caafata
argue	qaduwwutiyya
argument	qaduwwi
arise	ugtiyya
arm	atkiyiyya
arm	gaba
army	ibi qande
around	dariifa
arrange	massoysiyya
arrangement	gulgulu
arrival	gufoyya
arrive	gufne
arrived	gufeh
arrogant	kaxxiina li
arrow	gaysebaxa
art	fanni
article	maasayya
artificial	sinam bicisse
artist	fannaan
as	innaah
as	wak
as long as	wohim ennatam fan
as well	tonnah kaadu
as well as	tonnah kaadu
ash	gommodu
ashamed	wacarriyeh
ask	esser
asked	essereh
asleep	xiineh
aspect	ceelo
Assamese	Assam afa
assault	agra
assault	atka
assembly	gaaboyna
assertive	asmatle
assertive	diggale
assess	kusaaqis
assess	mohoodisiyya
assessment	mohoodisiyya
asset	ikoyta
assets	ikoytiit
assets	midiri
assign	mixxagis
assignment	mixxaagisiyyo
assignment	buxà taama
assist	catiyya
assistant	catoh lon num
associate	ramaddoysiyya
associated	angaaraw le
association	egla
assume	akkala
assume	fayramo
assumption	akkala
at	fanah
at	al
at least	akim raqtu
ate	yokmeh
athlete	qanxaffe diikaysè
attach	xakbis
attached	xakbimteh
attachment	xakbitiyya
attachment	xakbo
attack	atka
attempt	gibbatu
attend	geyto
attendance	yemeete marih loowo
attendance	tuhtemeeti
attention	hangi
attitude	caalat
attitude	ascab
attract	hirgo
attraction	hirgiyya
attraction	ruffa hayti
attractive	hirgo le
attribute	acayiyya
audience	gaaboyna
audience	kattaate
august	ximoli
aunt	anna'
aunty	ina
aunty	yanna
aunty	abba maqanxa
authentic	numma le
author	kutbe-abe
authority	reedantu
authority	saqoolinna
autumn	sugumu
available	geytimtaama
available	taniimi
average	fantiita
avoid	edder
avoid	kalti
awake	ambada
awake	nidibu
award	acwa
award	bilimi
aware	ixxigi
awareness	cedsiyya
awareness	maysaxxaga
away	baxxo
away	xer ikke
awesome	cakkumuk taniimi
awesome	kaxxam meqe
awful	kaxxam umaama
awkward	amqè sinniimi
Aymara	Aymarah afa
baby	alqi
bachelor	rihim mali
back	diironu
back	derre
back	wadir
background	darreh aydaadu
bad	umah
bag	borsa
bait	kullum edde yabbixeenuh yaceen maaqo
bake	alas
bakery	gaqammoh alaysoh buxa
balance	miizaana
balance	qeedalisso
ball	koqso
Bambara	Bambarah afa
banana	muuzu
band	gaddi dokonu
bang	dubto
bang	bombi qawta
bank	banki
bar	maqab buxa
barely	dagoomuh
bargain	mabbalo
bark	kutikaaya
barley	caffali
barley	ilaawa
barrier	gexekala
base	rakiibo
based	rakiiboh elle tan
based	.ik temeete
basement	guba raaqa baaxà
basic	rakiiboh taniimi
basically	rakiiboh taniimi
basil	caxa sifà
bastard	ilmoyta
batch	inki uddurih uwwa
bath	dagar kaqaylo
bathroom	kaqaylo qari
battery	batri
battle	carbi
battle	qeebi
bay	baddi caraata
be	tik
be careful	magarcitin
be careful	caatih ab
beach	baddi qaxa
beam	qamiddu
beam	diifu
beans	baakeelaali
bear	esseed
bear	xiq
beard	debeni
bearing	quuka
bearing	gexgexiti
beast	sinam giqa
beast	ala
beat	mayso
beat	ugur
beautiful	qax meqe
beauty	qaxa
became	tekkeh
because	kinniimih sabbatah
become	yakkeenimi
bed	kaqaada
bedroom	ximtimà qari
bee	diidaale
beef	laahi cado
been	sugeh
beer	khamri
beer	biira
before	dumal
before	naharal
began	qimmisseh
begin	qimmis
beginning	qembo
beginning	qimmo
behalf	afto
behave	caalat emeq
behavior	caalata
behaviour	cibaara
behind	widiri
behind	derre
being	kinnaane
being	yakkeenimi
belief	kibala
belief	aamanto
believe	eemen
belly	garba
belong	addat
beloved	yinkicinne
below	guba
belt	qarumu
bench	xer korsi
bend	xammaq
bend	qunun
beneath	gubat
benefit	tuxxiq leemi
benefit	maksab
benefits	tuxxiq
beside	xaqut
besides	wohuk kalah
best	muxxò leemi
best of luck	meqe saami
best regards	meqaane luk
better	taysi
better	kaxxam meqe
between	fana
beverage	maqaba
beyond	wohuk bisoh
Bhojpuri	Bhojpurih afa
bias	adda-baxsa
bias	hawa
biased	gabbise
bicycle	saykili
bid	anaakam limò
big	nabah
big	kaxxah
bike	saykili
bill	tadiira
bind	xakbis
bird	kimmiro
birthday	ubukyah ayro
bit	dagom
bit	rike
bite	ariyya
bite	aroowu
bitter	qeero
black	datah
blade	mulaada
blame	essecek
blank	foyya
blank	faxo
blanket	guula
blast	bombi bakaqa
bleach	wado bisuh korsiyys
blend	asgalliyya
bless	barka dooqa ab
blessed	barkatooweh
blind	inti mali
bliss	kaxxa rufto
block	waaso
blood	qabala
bloom	qoborti ubukya
blow	bakqisiyya
blue	kulcin bisu
blunt	bacudu
blunt	celsis mayaaxigi
board	luucu
boat	huuri
body	xagar
boil	facis
boil	kubuqu
bold	yalliili
bond	qalla
bond	xakabu
bone	lafa
book	kitab
boost	agiiris
booster	agiirisa num
boot	xukcuno gufta kabella
boots	xukcuno gufa kabeeli
border	cuduudu
bore	laclaacu
bored	coteh
bored	laclaceh
boring	nakur leemi
boring	laclac leemi
born	yoobokeh
borrow	mago bey
boss	saqala
both	nammayak
bother	agxe
bottle	karaarata
bottom	ragidi
bottom	gubat
bought	xaameh
bounce	xifris
bound	tumoxxeeh
boundaries	maadu
boundaries	caydu
bow	qunun
bowl	sacana
box	sanduugu
boy	awka
boyfriend	mereyta
bracelet	gaba dahaba
brain	misinkacà
branch	ludda
brand	bedu
brand	asta
brave	agiru
breach	madqah iqta
bread	gaqambo
break	afto
break	iggil
breakfast	miidi kalo
breast	angu
breath	ufuyu
breathe	ufuy rub
breed	aydariyya
brick	kalla xaa
bride	qibna'
bridge	holholu
brief	ux baxxaqisso
bright	ifu leemi
