a	یک
a little	کمے
a lot	باز زیات
a lot of	بازین ئے
abandon	یل کنگ
abandoned	یل دات
abide	نندگ
ability	بودناکی
able	لائک
about	بابت ءَ
above	بُرز ءِ
abroad	درمُلک
absence	ساڑی نہ بوگ ءَ
absent	ساڑی نہ بوک
absolutely	بلکل
absorb	چِنت ئے
abstract	گْونڈگری
absurd	بے ہودگ
abundance	گیشی
abundant	مزنیں کساس
abuse	رَدیں تب
accent	بولی
accept	منّگ
access	رسائی
accident	ویل
accommodation	رہائش
accomplish	سرجم
accomplished	سرجم
according	رِدا
account	کھاتہ
accuracy	تچکی
accurate	راستیں
accused	ڈوھدار
ache	پریشتگ
achieve	حاصل کنگ
achievement	سوبمندی
acknowledge	منّگ
acquaintance	سرپد
acquire	گرگ
acquired	گپت
acquisition	گرگ
across	آ دست
act	کرد
action	کار
active	کارءَ
activities	کاراں
activity	کار
actor	کارست
actual	چوناہا
actually	اسل ءَ
acute	سکّیں
adapt	زورگ
adapt	وتی کنگ
add	ہوارکن
addicted	عادی
addition	گیشیں
additional	گیشیں
address	ڈس
address	نشان
adequate	باز
adjacent	نزیکیں
adjective	ستا
adjust	ہوار کن
admire	ستا کنگ
admit	داخل
adopt	وتی کنگ ءِ
adorable	دلکش
advance	اربون
advanced	دیمروی کرتگیں
advantage	پائدگ
adventure	مُہم جوئی
adverb	جاورگال
advertisement	اشتہار
advertising	اشتہار
advice	شئور
advise	شئور
advocate	وکیل
aesthetic	زیبائی
affair	معاملہ
affect	ساندار
affection	نزیکی
afford	سگّگ
affordable	ارزنیں
afraid	تُرس
after	چہ پد
afternoon	نیمروچ
afterwards	رندا
again	پدا
against	ھلاپ
age	اُمر
agency	ایجنسی
agent	ایجنٹ
aggressive	زوراکیں
agile	تکڑا
ago	پیسرا
agree	تپاک
agreement	منّگ نامہ
agriculture	کشت و کشاری
ahead	دیما
aid	کُمک
aim	مراد
air	گوات
airport	بالی پٹ
aisle	رُنگراہ
alarm	گھنٹی
alcohol	الکول
alert	شیوار
alive	زندگ
all	دُرست
all right	شر اِنت
all the best	اللہ مہروان بات
allow	موکل دیگ
allowed	موھ دات
almost	کساس
alone	تہنا
along	گوں
already	چوناہا
Alright	شر اِنت
also	ہم
also	اوں
alternative	بدل
although	چوکہ
always	ہر وھد ءَ
am	آں
amazing	ھیرانیں
ambiguous	اڑاند
ambition	واہشت
ambitious	بُرز نگاہ
amend	بدلی
amid	مراد
among	میان
among us	مئے میان ءَ
amount	زَر
amusing	دل
amusing	لگگ
an	یک
analysis	تپّاس
ancestors	پُشت
anchor	لنگر
ancient	کوہن
and	ءُ
and	و
and you	ءُ تو
angel	ملائیک
anger	زہرگرگ
angle	زاویہ
angry	دِلگران
animal	دلوت
ankle	گُپی
ankle	پاد
anniversary	سالروچ
announcement	جارانک
annoy	دلگران
annoyed	دلگران
annoying	بہمانگ کنوک
annual	سالیگی
anonymous	گُمنام
another	یک دگہ
answer	پسّو
anticipate	گمانی ایں
anxiety	بے تاھیر
anxious	فکر مند
any	کجام یک
anymore	دگہ
anyone	کسے ہم
anything	ہر شئے
anyway	چوناہائی ءَ
anyways	برھال
apart	جُتا
apartment	اپارٹمنٹ
apologize	پہلی
apologize	لوٹ
apparent	پیداکی
apparent	ودیگی
apparently	گندگ ءَ
appeal	گُزارش
appear	پدّر بوگ
appearance	پیداک
appeared	اتکگ
appetite	گژن
appetite	شُد
apple	سروپ
application	دَزبندی
apply	دزبندی بہ دے
appointment	دارگ
appreciate	ستا
appreciation	توسیپ
approach	لیکہ
appropriate	جْوانین
appropriate	شریں
approval	منّگ
approve	منگ
approved	منّتگیں
approximately	کساس
april	اپریل
arbitrary	وت دل ءِ
architect	جوڑ کنوک
architecture	ہُنر
architecture	ماڑی بندگ
archive	پہمیان کرتگیں کاگد
are	ایں
are	اِت
are	اَنت
are you	تو ئے
are you busy	آیا تو دزگٹ ئے
are you married	تو سور کرتگ
are you married or single	تو سور کرتگ یا ناں
Are you still there?	شما انگت ہمودا ئے؟
are you there	آیا شما ساڑی یے
area	رقبہ
argue	تران
argument	دلیل
arise	پاد آیگ
arm	دست
army	لشکر
around	کروکشاں
arrange	بکس و بند
arrangement	بست و بند
arrival	سربوگ
arrive	سر بوگ
arrived	سر بِوتاں
arrogant	مغرور
arrow	تیر
art	ہُنر
article	نبشتانک
artificial	وت ساچیں
artist	عکسکار
as	انچو
as long as	تاں وھدیکہ
as well	ایشی
as well	ہمرائی ءَ
