a	sa
a	sada
a little	saotik
a lot	bahat
a lot of	bahat
abandon	manadinghon
abandoned	naung ditadinghon
abide	maringanan
ability	hagogoon
able	gogo
about	anggo
above	di ginjang
abroad	ruar negeri
absence	dang ro
absence	dang adong
absent	nda ro
absolutely	sasudena
absorb	mangonsop
abstract	atakan pikkiran
absurd	ndang ra
abundance	Marhuarar
abundant	mararar
abuse	sungar
accent	ondok
accept	manjalo
access	manjalahi
accident	sitaonon
accommodation	pangurupion
accommodation	bongka na diparade
accomplish	pasidunghon
accomplished	malo
according	pandok
account	akun
accuracy	hatingkoson
accurate	topet
accused	dituhas
ache	hancit
achieve	mandapot
achievement	dungdungon
acknowledge	manjangkon
acquaintance	tandaan
acquire	mandapothon
acquired	didapot
acquisition	panjaloan
across	taripar
across	mambolus
act	mangalulushon
action	parulan
active	ringgas
activities	hasiputon
activity	ulahonon
actor	artis
actual	sasintongna
actually	satutuna
acute	borat
acute	leleng
adapt	parumbukhon
add	manambai
addicted	katagian
addition	panambahan
additional	panamba
address	inganan
adequate	singkop
adjacent	pajonokjonok
adjective	parange
adjust	mangatur
admire	mangalongangi
admit	marhatingkoshon
adopt	mangalap
adorable	birak
advance	pahatophon
advanced	sanggih
advantage	hagulsakon
adventure	mangaoti
adventure	pardalanan
adverb	hata hatorangon
advertisement	iklan
advertising	iklan
advice	poda
advise	mangalehen poda
advocate	pangondian
aesthetic	estetik
affair	pangalangkupion
affect	mangangor
affection	bunga ni holong
afford	mangalehon
affordable	tardungdung
afraid	biar
after	nungga
afternoon	potang
afterwards	dung i
again	muse
against	tu
age	umur
agency	agen
agency	perusahaan na spesial
agent	parutusan
aggressive	tagi manaroso
agile	hibas
ago	naung salpu
agree	satahi
agreement	parpadanan
agriculture	parumaon
ahead	di jolo
aid	pangurupion
aim	sipareakan
air	alogo
airport	bandara
aisle	liang
alarm	alarm
alcohol	tuak
alcohol	borsi
alert	mangalumbahon
alive	ngolu
all	luhut
all	sasude
all right	gabe ma
all the best	sude na umdenggan
allow	paloashon
allowed	paloashon
almost	naeng
alone	sasada au
along	rap
already	nunga
Alright	Dengganma
also	pe
alternative	pililitan
although	nang pe
always	tongtong
amazing	mansai jeges
ambiguous	rambon
ambition	hagiot ni roha
ambitious	hagiot natutu
amend	patinda
amid	ditonga
among	parsitongaan
among us	diholang holang hita
amount	lonsam
amusing	madingin
analysis	rimangi
ancestors	ompunta sijolo jolo tubu
anchor	sao
ancient	buruk
and	dohot
and you	dohot ho
angel	surusuruan
anger	muruk
angle	sogi
angry	muruk
animal	binatang
ankle	mata ni pat
anniversary	ari saut
announcement	boaboa
annoy	manggugai
annoyed	jengkel
annoying	manghaori
annual	martaontaon
anonymous	dang binoto
another	alit
answer	mangalusi
answer	alusan
anticipate	parhiraon
anxiety	holsoan
anxious	lomos
any	ganup
anymore	muse
anyone	ise pe
anything	aha pe
anyway	boha pe
anyways	dok
apart	tarsirang
apartment	jabu
apartment	jabu nagodang
apologize	marsantabi
apparent	tarida
apparently	natarida
appeal	mangelek
appear	mullop
appearance	tompa
appeared	mullop
appetite	pangimbung
apple	apel
application	pamangke
apply	mamangke tu
appointment	padan
appreciate	pasangaphon
appreciation	hapianhapian
approach	padonokhon
appropriate	topet
appropriate	patupahon
approval	tolopan
approve	sahata
approved	dioloi
approximately	hira hira
april	april
arbitrary	manghalahala
architect	pangarangrangion
architecture	pangarangrang
archive	partinggal
are you	manang ho
are you busy	sobu do ho
are you married	nunga marbogas do ho
are you married or single	nunga marbogasma ho manang sasada dope
Are you still there?	Manang di san dope ho?
are you there	i sadun do ho
area	huta
argue	ngali
argument	dalian
arise	juljul
arm	botohon
army	tentara
around	humaliang
arrange	paturehon
arrangement	partordingon
arrival	haroroan
arrive	ro
arrived	ro
arrogant	ginjang roha
arrow	sior
art	hiasan
article	artikel
artificial	lipe
artist	parende
as	tagan
as	ansiat
as	sarupo
as long as	saleleng
as well	boti tong
as well as	sadengganna
ash	orbuk
ashamed	maila
ask	manyungkun
asked	dijalo
asleep	tarpodom
aspect	jambar
assault	manaroso
assembly	parlugutan
assertive	poran
assess	manile
assessment	pamuntenan
asset	pongkot
assets	parserean
assign	manontuhon
assignment	siulaon
assist	mangurupi
assistant	pangurupi
associate	dongan
associated	bulbulan
association	sarikkat
assume	pahamat
assumption	sura sura
at	di
at least	pinomat
ate	mangan
athlete	atelit
attach	mandalhop
attached	tarlampir
attachment	bukti panambai
attack	manaroso
attempt	manubo
attend	mandohoti
