a	a
a little	ekpri
a lot	akpakip
a lot	uwak
a lot of	uwak mo
abandon	ewɔrɔ-ekpɔŋ
abandoned	nwɔrɔ-ŋkpɔŋ
abide	adan
ability	ukeme
ability	odudu
able	akeme
about	ban̄a
above	enyọn̄
abroad	obio-mfia
absence	iduhọ
absent	iduhọ
absolutely	unen-unen
absorb	obo-mmo
abstract	nte-iduhe
absurd	nkpɔ-mifɔke
abundance	ediwak
abundance	barasuene
abundant	ọkpọmiọk
abundant	ediwak
abundant	barasuene
abuse	idiọk ukama
accent	nte esemde usem
accept	yime
access	usun
accident	unọmọ
accommodation	ufɔk iduŋ
accomplish	Uduak
accomplished	nam ma
accomplished	nam okure
accomplished	kure
according	nte-eke-dide
account	ibat
account	ibat okuk
accuracy	nen-nen
accurate	enehere-ɔfɔŋ
accused	tin-biat
ache	ubiak
achieve	eyene
achievement	se nyenede
acknowledge	diono
acquaintance	me-ufan
acquire	yebe
acquire	dep
acquired	nwana-ben
acquisition	inyene
across	ke edem usuŋ
act	edimam
action	nam-ŋkpɔ
active	ada-utom
activities	mme-utom
activity	edinam
activity	utom
actor	ada-iso-ke-obot
actual	ata-enye
actually	ke akpanikọ
acute	nkpɔ-ndik
adapt	yọ
adapt	kpebe
add	dian
addicted	mehe
addition	ndidian ọtọ kiet
additional	dian
address	ukan nfo
adequate	nnen-nnen
adjacent	ibiọñ
adjective	anam-aŋwaŋa-mme-nkpɔ
adjust	fiak nehede
admire	mema
admire	eye
admit	yime
adopt	ndimen ñkama
adopt	ndimen mbọk
adorable	eye
advance	akamba
advanced	aka-anyan
advantage	udori
adventure	nduŋɔre
adverb	nditiŋ-ikɔ-nbaŋa-ikɔ-efen
advertisement	suan-etop
advertising	ndimen ñwut
advice	ndon esit
advise	nọ item
advocate	tiñ
advocate	iberedem
advocate	owo ufre
aesthetic	owut-uyai
affair	ebuana
affect	abehe
affection	ukama
affection	ima
afford	ekeme
affordable	keme ndidep
afraid	ndik
after	ama
afternoon	uwemeyo
afterwards	ke-bede
again	mfiak
against	yomo
age	isua emana
agency	ufok-utom
agent	anam ñkpọ
agent	andinam
aggressive	sin-odudu
agile	odudu
ago	eyo oko
agree	anyime
agreement	ediomi
agriculture	utom-iŋwaŋ
ahead	ke iso
aid	ñwam
aid	andiñwam
aim	se
air	afum
airport	anwa-ubom-ison
aisle	afañ
aisle	usuñ
aisle	ini udọ ndọ
alarm	enim-ini
alcohol	nim-inam
alert	demede
alert	sọp
alive	eyene uwem
all	kpupru
all right	kpukpru ofon
all the best	eye fon ye afo
allow	yak
allowed	yak
almost	ekpere
alone	ikpon
along	ku suŋ
already	ikọfọfiọk
Alright	ntre ke edi
also	n̄ko
alternative	efen
although	okposụkedi
always	ana
am	nka
amazing	utịben̄kpọ
amazing	ikpaidem
ambiguous	uwak ibɔrɔ
ambition	udọñ ikpọ ñkpọ
ambitious	akamba udọñ
amend	dion
amid	ufɔt
among	ke nkpo
among us	ke out nyin
amount	ifan
amusing	anem-imam
an	ndi
an	oro
analysis	nam-aŋwaŋa
ancestors	mme nkani owo ke ufok idun
anchor	ukwak ubom
ancient	eset
and	ye
and you	ye afo
angel	isuñ utom Abasi
angel	mme oduñ enyọñ
anger	ifiopesit
anger	iyatesit
angle	itie-edidiana-kiet
angry	iyaresit
animal	unam ikot
ankle	itọñ ukot
anniversary	mboho editi
announcement	usuan-etop
annoy	ayaresit
annoyed	ifiopesit
annoyed	iyatesit
annoying	ayayat esit
annual	ke-isua
anonymous	enyin-iduho
another	owo efen
