a	Ein
a little	eitt sindur
a lot	ein rúgva
a lot	eina rúgvu
a lot of	ein rúgva av
abandon	sleppa
abandoned	oyðin
abide	vera verandi
ability	førleiki
able	førur
about	kring
about	um
above	omanfyri
above	uppiyvir
abroad	uttanlands
absence	frávera
absent	frávernadi
absolutely	avgjørt
absorb	súgva upp í seg
abstract	samandráttur
absurd	skilaleyst
abundance	yvirflóð
abundant	ríkiligur
abuse	misnýta
accent	máldámur
accept	góðkenna
accept	góðtaka
access	atgongd
accident	vanlukka
accommodation	eftirlaging
accomplish	avrika
accomplished	gávuríkur
according	sambært
account	konta
accuracy	neyvleiki
accurate	neyvt
accused	ákærdur
ache	pína
achieve	fremja
achieve	útynna
achievement	útynning
acknowledge	viðganga
acquaintance	kennskapur
acquire	fáa
acquired	fingin
acquisition	ognir
across	yvir um
across	tvørtur um
across	tvørtur ígjøgnum
act	verk
action	gerð
active	virkin
activities	virksemi
activity	virksemi
actor	sjonleikari
actual	veruligur
actually	í roynd og veru
actually	veruliga
acute	spískur
adapt	gera til
add	leggja avtrat
addicted	bundin
addition	uppískoyti
additional	eyka
address	bústaður
address	adressa
adequate	nóg mikil
adjacent	grannæstur
adjective	lýsingarorð
adjust	skipa
admire	hámeta
admit	viðganga
adopt	ættleiða
adorable	undurvakur
adorable	hugtakandi
advance	framstig
advanced	framkomin
advantage	fyrimunur
adventure	ævintýr
adverb	hjáorð
advertisement	lýsing
advertising	lýsing
advice	ráð
advise	ráð
advocate	talsmaður
aesthetic	fagurfrøðiligur
affair	mál
affect	ávrka
affection	alskur
afford	hava ráð til
afford	hava ráðini til
affordable	rímuligur prísur
afraid	bangin
after	efitr
afternoon	seinnapartur
afterwards	aftaná
again	aftur
against	ímóti
age	aldur
agency	umboð
agent	umboðsmaður
aggressive	ágangandi
agile	kvikur
ago	síðan
agree	taka undir við
agreement	avtala
agriculture	landbúnaður
ahead	frammanfyri
aid	hjálp
aim	miða
air	luft
airport	flogvøllur
aisle	gangur millum stólarøðir
alarm	ávaring
alcohol	alkohol
alert	fyribúgva
alert	alvakin
alive	livandi
all	altíð
all right	í lagi
all the best	alt tað besta
allow	loyva
allowed	loyva
almost	nærum
alone	einsamallur
along	við
already	longu
Alright	í lagi
Alright	í ordan
also	við
also	eisini
alternative	val
although	tó at
although	hóast
although	tó
always	altíð
am	eri
amazing	ótrúligt
ambiguous	tvítýddur
ambition	framsøkni
ambitious	ærusjúkur
amend	rætta
amid	mitt í
among	ímillum
among us	millum okkara
amount	mongd
amusing	undirhaldandi
an	ein
analysis	greining
ancestors	forfedrar
anchor	akker
ancient	gamal
ancient	avgamal
and	og
and you	eisini tú
and you	og tú
angel	eingil
anger	vreiði
angle	vinkul
angry	óður
animal	djór
ankle	økil
anniversary	ársdagur
announcement	lýsing
annoy	órógva
annoyed	argur
annoying	ótolandi
annoying	argiligur
annual	árligur
anonymous	dulnevndur
another	ein annar
another	onkur annar
answer	svara
answer	svar
anticipate	vænta
anxiety	ótti
anxious	fjálturstungin
anxious	bangin
any	nakar
any	ein og hvør
any	hvør
anymore	longur
anymore	meiri
anyone	ein oghvør
anything	nakað
anyway	kortini
anyway	í hvussu er
anyway	onkursvegna
anyways	á ongan hátt
apart	burturfrá
apartment	íbúð
apologize	umbera
apparent	eyðsæð
apparently	eyðsýniliga
appeal	ákallan
appear	daga undan
appear	koma fram
appear	koma undan
appearance	útsjónd
appearance	framkoma
appearance	koma
appeared	kom til sjóndar
appetite	matarhugur
apple	súrepli
application	umsókn
apply	søkja
appointment	avtala
appreciate	hámeta
appreciate	meta høgt
appreciate	meta
appreciation	viðurkenning
approach	koma
appropriate	hóskandi
approval	undirtøka
approve	taka undir við
approved	viðurkendur
approximately	umleið
april	apríl
arbitrary	tilivldarligur
architect	arkitektur
architecture	arkitekturur
archive	skráseta
are	er
are you	er tú
are you busy	er tú upptikin
are you married	er tú giftur
are you married	er tí gift
are you married or single	er tú giftur ella stakur
Are you still there?	Er tú framvegis har?
are you there	er tú har
area	øki
argue	træta
argument	próvgrund
arise	koma í
arm	armur
army	herur
around	kring
arrange	skipa
arrangement	skipan
arrival	koma einum undir
arrive	koma fram
arrived	komin
arrogant	hugmóðligur
arrow	ørvur
art	list
article	grein
artificial	tilgjørdur
artist	listafólk
as	sum
as	eins
as	í
as long as	so leingi sum
as well	eins og
as well as	eins og
ash	askur
ashamed	forskammaður
ask	spyrja
asked	spurdi
asleep	svevur
aspect	ásjón
Assamese	Assamese
assault	snarálop
assembly	samkoma
assertive	tvørur
assess	meta um
assessment	skatting
assessment	skattaálíknan
asset	ognir
assets	ognir
assign	áseta
assignment	tilluting
assignment	avhending
assist	hjálpa til
assistant	hjálparfólk
associate	feagi
associate	vinmaður
associated	vinir
association	felag
assume	taka
assume	átaka
assume	taka sær
assumption	hugsan
at	hjá
at	í
at least	í minsta lagi
ate	át
athlete	ítróttarmaður
attach	festa
attached	festur
attachment	viðfest fylgiskjal
attack	álop
attempt	roynd
attend	luttaka
attendance	hjávera
attendance	nærvera
attention	gætur
attention	far
attitude	støða
attitude	hugburður
attract	draga at sær
attraction	atdráttarmegi
attractive	dámligur
attribute	eginleiki
audience	áskoðari
august	august
aunt	pápasystir
aunt	mammusystir
aunty	fastir
authentic	sannur
author	høvundur
authority	mynduleiki
autumn	heyst
available	tøkur
available	til taks
average	miðal
average	miðaltal
avoid	sleppa sær undan
awake	vakin
award	samsýna
aware	varugur
awareness	vitan
away	burtur
awesome	hátt virdur
awesome	øgiligur
awesome	virdur
awful	øgiligur
awkward	smæðin
awkward	lorkutur
awkward	klombrutur
Aymara	Aymara
baby	pinkubarn
baby	smábarn
baby	nýføðingur
bachelor	gamal drongur
back	aftur
back	ryggur
back	bak
background	baksýni
bad	vánaligur
bad	ringur
bag	taska
bait	agn
bake	baka
bakery	bakarí
baking soda	natron
balance	javnvág
ball	bóltur
Bambara	Bambara
banana	banan
band	band
bang	brak
bang	slag
bank	peningastovnur
bar	barr
barely	valla
barely	neyvan
bargain	handil
bark	goyggja
barley	neyvan
barrier	bummur
barrier	byrging
base	grund
