a	ɖé
a little	kpɛɖé
a lot	nù gègě
a lot of	nù gègě
abandon	jó dó
abandoned	e jó dó
abide	nɔ̀
ability	nǔwukpikpé
able	kpéwú
about	nùɖé
above	ɖò jǐ
abroad	ɖò tò ɖevo mɛ
absence	tintɔ́n
absent	é ɖè ǎ
absolutely	é ɖò dandan
absorb	yí
abstract	nùxámɛ
absurd	nùblawukúnúmɛ
abundance	wɔwɔ́
abundant	viyaà
abuse	ɖŏ wŭ
abuse	wŭ
accent	gbeɖiɖe
accept	yí gbè
access	avivɔ́zɔ́n
access	kàn byɔ́
accident	nùblawukúnúmɛ
accommodation	nɔtɛn
accomplish	blo
accomplished	é kpé
according	é sɔgbe
account	akɔ́nta
accuracy	nùjlɛdonǔwu
accurate	nùjlɛjlɛ
accused	hwɛɖɔtɔ́
ache	ya gigi
ache	ouvè sicé
achieve	kpéwú
achievement	nǔwiwa
acknowledge	yí gbè
acquaintance	mε
acquire	yí
acquired	nǔ e è ɖó
acquisition	nùxùxɔ̀
across	ɖ'azɔ̀n
act	azɔ̀
action	azɔ̀
active	ɖò azɔ̀ wà wɛ
activities	azɔ̌
activity	azɔ̌
actor	dŏxó
actual	nùgbonùgbo
actually	é ɖò wɛn ɖɔ
acute	nùxámɛ
adapt	ɖyɔ
add	dŏ gɔ́
addicted	nùxámɛ
addition	kplékplé
additional	nùɖé
address	sisɛ́
adequate	nùjlɛdonǔwu
adjacent	kpá
adjust	blo ɖŏ
admire	é nɔ kpa
admit	yí gbè
adopt	yí
adorable	é nyɔ́ nukún mɛ
advance	ɖŏ nukɔn
advance	yì nukɔn
advanced	nǔ kpò
advantage	nyɔna
adventure	tomeyiyi
adverb	kùn
advertisement	jla nǔ
advertising	nùjlajla
advice	wěɖexámɛ
advise	ɖè wě
advocate	tchomi
advocate	tchi tcho
aesthetic	sàci
affair	nùɖé
affect	ɖ'alɔ
affection	wanyiyi
afford	kpéwú
affordable	akwɛ́ tɔn
afraid	xɛsi ɖi
after	hweɖevonu
afternoon	gbadanu
afterwards	nukɔnmɛ
again	lɛ́
against	ɖí xwi xá
age	xwè
agency	azɔwanú
agent	azɔwanú
aggressive	nùblíblí
agile	mebibi
ago	ɖ'ayǐ
agree	yí gbè
agreement	gbeɖiɖe
agriculture	glesi
ahead	nukɔn
aid	alɔdo
aim	nù mùmɔ́
air	jɔhɔn
airport	jɔmɛhun
aisle	alixɔ
alarm	nùxámɛ
alcohol	ahan
alert	ayihun
alive	gbɛ̀
all	bǐ
all right	É nyɔ́
all the best	nǔ ɖagbe bǐ
allow	yí gbè
allowed	è yí gbè
almost	hweɖěbǔnu
alone	éɖokponɔ
along	yì yì
already	gbɛ̀ ɔ́ tɔn
Alright	atɔn nyɔ
also	lɔmɔ́
alternative	nǔ ɖevo
although	é ɖò có
always	hwebinu
am	kpodo
amazing	nùmaɖinǔ
ambiguous	nùjlɛdonǔwu
ambition	nukúnɖíɖó
ambitious	nukúnɖíɖó
amend	ɖyɔ
amid	ɖò tɛntin
among	ɖò mɛ
among us	ɖò mǐ mɛ
amount	e ɖo yiyi wɛ
amusing	hwen
an	kpɔn
analysis	nùkplɔnkplɔn
ancestors	tɔ́gbó
anchor	nǔgbákún
ancient	hwexónu tɔn
and	kpo
and you	hwi lɔ
angel	wɛnsagun
anger	xomɛsin
angle	anglɔ
angry	xomɛsin
animal	kanlin
ankle	afɔkpá
anniversary	xwè tɔn
announcement	xójlawema
annoy	ɖŏ tagba
annoyed	é nɔ́ dó xomɛsin
annoying	nùklɛ́n
annual	xwè ɖokpo
anonymous	mɛ e è ma tuùn ǎ é
another	mɛ ɖevo
answer	gbeyiyi
answer	yi gbè
anticipate	ɖŏ nukún
anxiety	dŏ xàmε
anxious	adohu adohu
any	nùɖé
anymore	é sɔ́ nyí mɔ̌ ǎ
anyone	mɛ ɖěbǔ
anything	nǔ ɖebǔ
anyway	é ɖò mɔ̌ có
anyways	é ɖò mɔ̌ có
apart	ɖó vo
apartment	xɔmè
apologize	byɔ hwɛsɔkɛ
apparent	gaàn
apparently	é ɖò wɛn ɖɔ
