a	un
a little	un peu
a lot	beaucoup
a lot of	beaucoup de
abandon	abandonner
abandoned	abandonné
abide	se conformer
ability	capacité
able	capable
about	à propos de
above	au-dessus de
abroad	à l'étranger
absence	absence
absent	absent
absolutely	absolument
absorb	absorber
abstract	abstrait
absurd	absurde
abundance	abondance
abundant	abondant
abuse	abus
accent	accent
accept	accepter
access	accès
accident	accident
accommodation	logement
accomplish	accomplir
accomplished	réalisé
according	selon
account	compte
accuracy	précision
accurate	précis
accused	accusé
ache	mal
achieve	atteindre
achievement	réalisation
acknowledge	reconnaître
acquaintance	connaissance
acquire	acquérir
acquired	acquis
acquisition	acquisition
across	à travers
act	loi
action	action
active	actif
activities	activités
activity	activité
actor	acteur
actual	réel
actually	en fait
acute	aigu
adapt	adapter
add	ajouter
addicted	dépendant
addition	ajout
additional	supplémentaire
address	adresse
adequate	adéquat
adjacent	adjacent
adjective	adjectif
adjust	ajuster
admire	admirer
admit	admettre
adopt	adopter
adorable	adorable
advance	avance
advanced	avancé
advantage	avantage
adventure	aventure
adverb	adverbe
advertisement	publicité
advertising	publicité
advice	conseil
advise	conseiller
advocate	avocat
aesthetic	esthétique
affair	affaire
affect	affecter
affection	affection
afford	permettre
affordable	abordable
afraid	effrayé
after	après
afternoon	après-midi
afterwards	ensuite
again	encore
against	contre
age	âge
agency	agence
agent	agent
aggressive	agressif
agile	agile
ago	il y a
agree	d'accord
agreement	accord
agriculture	agriculture
ahead	en avant
aid	aide
aim	but
air	air
airport	aéroport
aisle	allée
alarm	alarme
alcohol	alcool
alert	alerte
alive	vivant
all	tous
all right	très bien
all the best	tous nos vœux
allow	permettre
allowed	autorisé
almost	presque
alone	seul
along	sur
already	déjà
Alright	Très bien
also	aussi
alternative	alternative
although	bien que
always	toujours
am	suis
amazing	incroyable
ambiguous	ambiguë
ambition	ambition
ambitious	ambitieux
amend	modifier
amid	au milieu de
among	parmi
among us	parmi nous
amount	montant
amusing	amusant
an	un
analysis	analyse
ancestors	ancêtres
anchor	ancre
ancient	ancien
and	et
and you	et vous
angel	ange
anger	colère
angle	angle
angry	en colère
animal	animal
ankle	cheville
anniversary	anniversaire
announcement	annonce
annoy	ennuyer
annoyed	ennuyé
annoying	ennuyeux
annual	annuel
anonymous	anonyme
another	un autre
answer	réponse
anticipate	anticiper
anxiety	anxiété
anxious	anxieux
any	n'importe quel
anymore	plus
anyone	quelqu'un
anything	quoi que ce soit
anyway	de toute façon
anyways	de toute façon
apart	à part
apartment	appartement
apologize	s'excuser
apparent	apparent
apparently	apparemment
appeal	appel
appear	apparaître
appearance	apparence
appeared	apparu
appetite	appétit
apple	pomme
application	application
apply	appliquer
appointment	rendez-vous
appreciate	apprécier
appreciation	appréciation
approach	approche
appropriate	approprié
approval	approbation
approve	approuver
approved	approuvé
approximately	environ
april	avril
arbitrary	arbitraire
architect	architecte
architecture	architecture
archive	archive
are	sont
are you	êtes-vous
are you busy	êtes-vous occupé
are you married	êtes-vous marié
are you married or single	êtes-vous marié ou célibataire
Are you still there?	Vous êtes toujours là ?
are you there	êtes-vous là
area	zone
argue	argumenter
argument	argument
arise	surgir
arm	bras
army	armée
around	autour
arrange	organiser
arrangement	arrangement
arrival	arrivée
arrive	arriver
arrived	arrivé
arrogant	arrogant
arrow	flèche
art	art
article	article
artificial	artificiel
artist	artiste
as	comme
as long as	tant que
as well	aussi
as well as	ainsi que
ash	cendre
ashamed	honteux
ask	demander
asked	demandé
asleep	endormi
aspect	aspect
Assamese	Assamais
assault	agression
assembly	assemblée
assertive	assertif
assess	évaluer
assessment	évaluation
asset	actif
assets	actifs
assign	attribuer
assignment	mission
assist	aider
assistant	assistant
associate	associé
associated	associé
association	association
assume	supposer
assumption	hypothèse
at	à
at least	au moins
ate	a mangé
athlete	athlète
attach	attacher
attached	ci-joint
attachment	pièce jointe
attack	attaque
attempt	tentative
attend	assister à
attendance	présence
attention	attention
attitude	attitude
attract	attirer
attraction	attraction
attractive	attrayant
attribute	attribut
audience	public
august	août
aunt	tante
aunty	tante
authentic	authentique
author	auteur
authority	autorité
autumn	automne
available	disponible
average	moyenne
avoid	éviter
awake	éveillé
award	prix
aware	conscient
awareness	conscience
away	loin
awesome	génial
awful	affreux
awkward	maladroit
Aymara	Aymara
baby	bébé
bachelor	célibataire
back	dos
background	arrière-plan
bad	mauvais
bag	sac
bait	appât
bake	cuire
bakery	boulangerie
baking soda	bicarbonate de soude
balance	équilibre
ball	balle
Bambara	Bambara
banana	banane
band	groupe
bang	pan
bank	banque
bar	bar
barely	à peine
bargain	aubaine
bark	écorce
barley	orge
barrier	barrière
base	base
based	basé
basement	sous-sol
basic	basique
basically	essentiellement
basil	basilic
bastard	bâtard
batch	lot
bath	bain
bathroom	salle de bains
battery	batterie
battle	bataille
bay	baie
be	être
be careful	faire attention
beach	plage
beam	faisceau
beans	haricots
bear	ours
beard	barbe
bearing	palier
beast	bête
beat	battre
beautiful	beau
beauty	beauté
became	devenu
because	parce que
become	devenir
bed	lit
bedroom	chambre à coucher
bee	abeille
beef	bœuf
been	a été
beer	bière
before	avant
began	a commencé
begin	commencer
beginning	début
behalf	au nom de
behave	se comporter
behavior	comportement
behaviour	comportement
behind	derrière
being	être
belief	croyance
believe	croire
belly	ventre
belong	appartenir
beloved	bien-aimé
below	sous
belt	ceinture
bench	banc
bend	plier
beneath	sous
benefit	avantage
benefits	avantages
beside	à côté de
besides	outre
best	meilleur
best of luck	bonne chance
best regards	meilleures salutations
better	mieux
between	entre
beverage	boisson
beyond	au-delà
Bhojpuri	Bhojpuri
bias	biais
biased	biaisé
bicycle	vélo
bid	offre
big	grand
bike	vélo
bill	facture
bind	lier
bird	oiseau
birthday	anniversaire
bit	bit
bite	morsure
bitter	amer
black	noir
blade	lame
blame	blâmer
blank	blanc
blanket	couverture
blast	explosion
bleach	eau de Javel
blend	mélange
bless	bénir
blessed	béni
blind	aveugle
bliss	bonheur
block	bloc
blood	sang
bloom	floraison
blow	souffler
blue	bleu
blunt	émoussé
board	conseil
boat	bateau
body	corps
boil	bouillir
bold	gras
bond	obligation
bone	os
book	livre
boost	augmenter
booster	amplificateur
boot	botte
boots	bottes
border	frontière
bore	trou
bored	ennuyé
boring	ennuyeux
born	né
borrow	emprunter
boss	patron
both	les deux
bother	déranger
bottle	bouteille
bottom	fond
bought	acheté
bounce	rebond
bound	lié
boundaries	limites
bow	arc
bowl	bol
box	boîte
boy	garçon
boyfriend	petit ami
bracelet	bracelet
brain	cerveau
branch	branche
brand	marque
brave	courageux
breach	violation
bread	pain
break	pause
breakfast	petit-déjeuner
breast	sein
breath	haleine
breathe	respirer
breed	race
brick	brique
bride	mariée
bridge	pont
brief	bref
bright	brillant
brilliant	brillant
bring	apporter
bro	frère
broad	large
broadcast	diffuser
broke	cassé
broken	cassé
broom	balai
brother	frère
brother in law	beau-frère
brought	apporté
brown	brun
brush	brosse
bucket	seau
buddy	copain
budget	budget
bug	insecte
build	construire
building	bâtiment
built	construit
bulk	en gros
bull	taureau
bully	brute
bump	bosse
bunch	bouquet
bundle	paquet
burden	fardeau
buried	enterré
burn	brûler
burst	éclatement
bury	enterrer
bus	bus
bush	buisson
business	entreprise
bust	buste
busy	occupé
but	mais
butter	beurre
butterfly	papillon
button	bouton
buy	acheter
by	par
by the way	d'ailleurs
bye	au revoir
cabbage	chou
cabinet	armoire
cage	cage
cake	gâteau
calf	veau
call	appel
call me	appelez-moi
called	appelé
calm	calme
came	est venu
campaign	campagne
can	peut
can't	ne peut pas
Cancel	Annuler
cancer	cancer
capable	capable
capacity	capacité
capital	capital
caption	légende
capture	capture
car	voiture
career	carrière
careful	prudent
carefully	soigneusement
careless	imprudent
caring	bienveillant
carpenter	menuisier
carpet	tapis
carrot	carotte
carry	transporter
carry on	poursuivre
carry out	mener
case	cas
cash	espèces
cast	moulage
castle	château
casual	occasionnel
cat	chat
catch	attraper
category	catégorie
cattle	bétail
caught	attrapé
cause	cause
caution	prudence
cautious	prudent
cave	grotte
cease	cesser
