abandoned	सोडून वचप
abandon	सोडून गेलें
abide	अनूसरप
ability	क्षमता
able	सक्षम
about	विशीं
about	संबंदीं
above	वयर
abroad	देशाभायर
abroad	भायर
abroad	विदेशात
absence	गैरहाजीर
absent	गैरहाजीर
absolutely	निखालस
absolutely	सामकें
absorb	शोशून घेता
abstract	आपरोस
absurd	हास्यास्पद
abundance	विपूल
abundant	भरपूर
abuse	अपमान
accent	आघात
accept	स्विकार
access	ऍक्सॅस
access	प्रवेश
accident	अपघात
accommodation	राबितो
accomplished	कुशळ
accomplish	फळादीक
according	ते प्रमाणे
account	खातें
accuracy	अचूकताय
accurate	अचूक
accused	आरोपी
ache	दुखप
achievement	विक्रम
achievement	संपादन
achieve	मेळोवप
achieve	संपादन
acknowledge	कबुली
acquaintance	वळख
acquired	संपादन केलें
acquire	संपादन
acquisition	संपादन
across	पेल्यान
action	कृती
active	सक्रीय
activities	कृती
activities	क्रियाकलाप
activity	कृती
actor	नट
actually	वास्तवीक
actual	वास्तवीक
act	कृती
acute	तीव्र
adapt	अनुकुलीत करप
addicted	वेसनाधीन
additional	अतिरिक्त
addition	बेरीज
address	नामो
add	जमा करचें
add	जोडचें
adequate	फावोशें
adjacent	कुशीचें
adjective	विशेशण
adjust	जुळोवचें
admire	प्रशंसा
admire	स्तुती
admit	भरती करप
adopt	आपणावप
adopt	स्विकारप
adorable	तोखणाय करपायोग्य
advanced	आधुनीक
advance	आगाऊ रक्कम
advance	फुडें वचप
advantage	फायदो
adventure	साहस
adverb	क्रियाविशेशण
advertisement	जायरात
advertising	जायरात
advice	सल्लो
advise	सल्लो
advocate	वकिल
aesthetic	सौॆदर्य नदर
affair	वेव्हार
affection	माया
affect	प्रभाव
affect	बादा
affordable	परवडपी
afford	प्रयेत्न
afford	येत्न
afraid	भियेल्लें
afternoon	दनपार
afterwards	ते उपरांत
after	उपरांत
against	आड
against	विरुध्द
again	परतून
agency	संस्था
agent	एजंट
agent	दलाल
age	पिराय
aggressive	आक्रमक
agile	हुतहुतें
ago	आदीं
agreement	करार
agree	कबुल
agree	मान्य
agriculture	शेती
ahead	फुडें
ahead	मुखार
aid	मजत
aim	ध्येय
airport	विमानतळ
air	हवा
aisle	गालियारो
alarm	इशारत
alarm	शिटकावणी
alcohol	सोरो
alert	दक्ष
a little	थोडेशें
alive	जिवंत
allowed	मान्यताय आसपी
allow	परवानगी
allow	मान्यताय
all right	आसूं
all the best	ऑल दी बॅस्ट
all	सगलें
almost	चड करून
almost	लागींलागीं
almost	सगलेंच
alone	एकटें
along	हाचेसयत
a lot of	खूब सगल्यो
a lot	खूब
already	आदींच
Alright	बरें आसा
also	तरीय
also	लेगीत
also	सुध्दां
alternative	पर्याय
although	तरीकूय
always	सदांच
amazing	अद्भूत
ambiguous	संदिग्ध
ambition	सपन
ambitious	म्हत्वाकांक्षी
amend	दुरुस्ती
amid	मजगतीं
among us	आमच्या मदीं
among	मदीं
amount	रक्कम
amount	राशी
amusing	अद्भूत
am	हांव
analysis	विश्लेशण
ancestors	पुर्वजांचें
anchor	नांगर
ancient	आदलें
ancient	पुरातन
ancient	प्राचीन
and you	आनी तुमी
and you	तू
and	आनी
angel	देवदूत
anger	राग
angle	कोन
angle	परी
angry	तिडकल्लें
angry	रागार
animal	जनावर
ankle	पांयाची खिळी
anniversary	वर्धापनदीस
anniversary	वर्सुकीदीस
announcement	घोशणा
annoyed	रागार
annoying	राग हाडपी
annoying	सतावपी
annoy	त्रास दिवप
annoy	सतावप
annual	वर्सुकी
anonymous	निनांवी
another	दुसरें
answer	उत्तर
answer	जाप
anticipate	अंदाज बांदप
anxiety	हुस्को
anxious	चिंतीत
anymore	आनीक
anyone	कोणूय एकलो
anything	किदेंय
anyways	किदेंय जावं
anyway	किदेंय जावं
any	खंयचेंय
an	एक
apartment	अपार्टमँट
apart	पृथक
apologize	दिलगिरी मागप
apologize	भोगसणी
apologize	माफी
apparently	प्रत्यक्ष
apparent	प्रत्यक्ष
apparent	स्पश्ट
appeal	अपील
appeal	उलो मारप
appearance	दिसप
appeared	प्रगट जाल्लें
appear	प्रगट जावप
appetite	भूक
apple	सफरचंद
application	अर्ज
application	ऍप्लिकेशन
apply	अर्ज करप
apply	लागू करचें
appointment	नियोजीत भेट
appreciate	तोखणाय करची
appreciation	तोखणाय
approach	मोख
appropriate	अंदाजी
approval	हयकार
approved	मान्यतायप्राप्त
approve	मान्यताय
approximately	अंदाजी
april	एप्रिल
arbitrary	लवादी
architecture	शिल्पकला
architect	शिल्पकार
archive	संग्रह
area	प्रदेश
are you busy	तुमी व्यस्त आसात
are you married or single	तुमी आंकवार काय लग्न जाल्यात
are you married	तुमचें लग्न जालां
Are you still there?	तुमी अजुनूय थंयच आसात?
are you there	तुमी थंय आसात
are you	तुमी आसात
are	आसात
argue	भासाभास
argue	वाद घालप
argument	वाद
arise	उदेवप
arise	उद्भवप
army	लस्कर
arm	आर्म
arm	हात
around	भोंवतणी
arrangement	रचना
arrange	मांडचें
arrange	मांडणी
arrange	रचना
arrival	आगमन
arrived	आगमन
arrive	पावप
arrive	येवप
arrogant	उध्दट
arrogant	उर्मट
arrow	बाण
article	लेख
artificial	कृत्रिम
artist	कलाकार
art	कला
ashamed	लाजीरवाणें
ash	गोबोर
asked	विचारलें
ask	विचारप
asleep	न्हिदप
as long as	जाता तितलो वेळ
aspect	पैलू
Assamese	असमिया
assault	आगळीक
assault	हल्लो
assembly	विधानसभा
assembly	सभा
assertive	दावो करपी
assessment	मूल्यांकन
assessment	मोलावणी
assess	मोलावणी
assets	भांडवल
asset	असेट
asset	धन
assignment	असायनमेण्ट
assignment	प्रयोग
assign	नेमून दिवप
assistant	सहाय्यक
assist	सहाय्य
associated	संबंदीत
associated	संलग्न
associated	सहकारी
associate	सांगाती
association	संघटणा
assume	अदमास लावप
assume	अनुमान
assume	तर्क
assumption	अनुमान
as well as	तशेंच
as well	हें लेगीत
as	तेच प्रमाण
ate	खावप
athlete	ऍथलेट
athlete	खेळगडो
at least	किमान
attached	जोडलां
attachment	जोडणी
attach	जोडचें
attack	हल्लो
attempt	प्रयेत्न
attendance	उपस्थिती
attend	उपस्थीत
attend	हाजीरी
attention	लक्ष दिवप
attitude	वृत्ती
attraction	आकर्शण
attractive	आकर्शक
attract	आकर्शीत करचें
attribute	विशेश गूण
at	हाचेर
audience	प्रेक्षक
august	ऑगस्ट
aunty	आतें
aunty	काकी
aunty	मामी
aunty	मावशी
aunt	आते
aunt	काकी
aunt	मामी
aunt	मावशी
authentic	अस्सल
authority	प्राधिकरण
author	लेखक
autumn	शरद
available	उपलब्ध
average	सरासरी
avoid	टाळचें
avoid	टाळप
awake	जागो जावप
award	पुरस्कार
awareness	जागृताय
aware	खबर आसप
aware	जागृती
away	पयस
awesome	खूब सुंदर
awful	भिरांकुळ
awful	वायट
awkward	कठीण
awkward	लजोवपी
Aymara	आइमारा
a	ए
baby	बाळक
baby	शिशू
bachelor	आंकवार
background	फाटभूंय
back	फाटीं
bad	वायट
bag	पिशवी
bag	बॅग
bait	हांयस
bakery	बेकरी
bake	भाजप
baking soda	बेकींग सोडा
balance	शिल्लक
ball	बॉल
Bambara	बंबारा
banana	केळे
band	बँड
bang	धपको
bank	बँक
barely	निखटें
bargain	घासाघीस
bark	भूंकप
barley	जव
barrier	आडमेळें
bar	बार
based	आदारून
basement	तळ
base	आदार
base	तळ
base	मूळ
basically	मुखेलपणान
basic	मुळावें
basil	तुळस
bastard	अनौरस
batch	बॅच
bathroom	बाथरूम
bathroom	मान्ने
bath	न्हाण
battery	बॅटरी
battle	झुज
bay	दर्या
beach	बिच
beam	झोत
beam	बीम
beans	बिन्स
beard	खाड
bearing	रोख
bear	वास्वेल
beast	मोनजात
beast	श्वापद
beat	बडोवप
beat	मारप
beautiful	सुंदर
beautiful	सोबीत
beauty	सोबीतकाय
became	जावप
be careful	जतनाय घे
be careful	शादूर राव
because	कारण
become	जावप
become	सोबब
bedroom	न्हीदचीकूड
bed	खाट
beef	बीफ
been	आसप
been	जावप
beer	बिअर
bee	मूस
before	आदीं
began	सुरू
beginning	सुरवात
begin	सुरवात
behalf	हाचे वतीन
behave	वाग
behavior	वर्तन
behavior	वागणूक
behaviour	वागणूक
behind	फाटीं
being	अस्तित्व
being	मनीस
being	स्थिती
belief	भरवंसो
believe	विस्वास
belly	पोट
belong	लागीं
belong	संबंद
beloved	जिवलग
beloved	प्रिय
below	सकयल
belt	बेल्ट
bench	बांक
bend	बागोवप
beneath	पोंदा
beneath	सकयल
benefits	लाभ
benefit	फायदो
besides	तेभायर
beside	तेभायर
best of luck	देव बरें भाग्य दिवं
best regards	शुभेच्छा
best	उत्तम
better	उत्तम
between	मजगतीं
between	मदीं
beverage	पेय
beyond	पेल्यान
be	आसप
Bhojpuri	भोजपुरी
biased	पक्षपात करप
bias	पुर्वाग्रह
bicycle	सायकल
bid	बीड
big	मोठे
big	व्हड
bike	बायक
bill	बिल
bind	बांदिल्लें
bird	सुकणें
birthday	वाडदीस
bite	चाबप
bitter	कडू
bit	कपो
bit	कुडको
bit	घांस
bit	थोडोसो
black	काळें
blade	ब्लेड
blame	आरोप
blanket	गोजडी
blanket	चादर
blank	रिकामें
blast	स्फोट
bleach	ब्लीच
blend	वांटप
blessed	आशिर्वाद
bless	आशिर्वाद
blind	कुड्डेंपण
bliss	भाग्य
block	आडावचें
blood	रगत
bloom	फुलप
blow	फुगोवप
blow	व्हांवप
blue	निळें
blunt	निर्भीड
blunt	मंदबुद्दी
board	फळो
board	बोर्ड
board	मंडळ
boat	बोट
body	कूड
body	शरीर
boil	उकडप
bold	ठळक
bold	बोल्ड
bond	बंध
bond	बाँड
bone	हाड
book	पुस्तक
booster	बूस्टर
boost	चालना दिवप
boost	बूस्ट
boots	बूट्स
boot	बूट
border	शीम
bored	बेजार हाडपी
bored	बेजारिल्लो
bore	बुराक
bore	वाजेवणे
boring	कंटाळवाणे
boring	बेजार हाडपी
born	जल्म
born	जल्मल्लें
borrow	उश्णे
boss	बॉस
bother	तकालस काडप
bother	त्रास दिवप
both	दोनूय
bottle	बाटली
bottom	तळ
bottom	सकयल
bought	घेतिल्लें
bought	विकतें हाडिल्लें
bounce	बाउन्स
boundaries	शिमो
bound	बाउंड
bowl	वाटी
bow	धोणू
bow	बागोवप
box	पेटी
box	बॉक्स
boyfriend	मोगी
boy	चलो
bracelet	ब्रासलेट
brain	मेंदू
branch	शाखा
brand	ब्रांड
brave	धाडसी
brave	हूशार
breach	उल्लंघन
bread	पाव
breakfast	नाश्तो
break	खेडीत करप
break	फोडप
breast	मोमो
breathe	श्वास
breath	श्वास
breed	ब्रीड
brick	चिरो
bride	व्हंकल
bridge	पूल
brief	संक्षिप्त
bright	उजळ
brilliant	हूशार
bring	हाडप
broadcast	प्रसारण
broad	विस्तृत
broken	खंडीत
broke	फुटप
broom	झाडू
broom	सान्न
brother in law	भावोजी
brother in law	मेवणो
brother	भाव
brought	विकतें घेवप
brought	हाडप
brown	तपकिरी
bro	भाव
brush	ब्रश
bucket	बकेट
buddy	भावा
budget	अदमास
bug	बग
bug	समस्या
building	इमारत
build	बांधणी
built	बांधणी
built	बिल्ट
bulk	बल्क
bully	गुंड
bull	बैल
bump	धपको
bunch	घोस
bundle	बंडल
burden	चेपण
burden	वजें
buried	पुरले
buried	मसंड
burn	लासप
burst	फुटप
bury	पुरप
bush	झील
business	वेवसाय
bust	हड्डें
busy	व्यस्त
bus	बस
butterfly	फुलपाखरूं
butter	लोणी
button	बटन
but	पूण
buy	विकतें घेवप
bye	बाय
by the way	तशें
by	प्रमाणे
by	वरवीं
cabbage	कोबी
cabinet	कॅबिनेट
cage	पांदरो
cake	केक
calf	पाडूक
called	आपोवप
call me	म्हाका कॉल कर
call	आपोवप
call	कॉल
calm	थंड
calm	शांत
came	आयलो
campaign	मोहिम
Cancel	रद्द
cancer	कर्करोग
cancer	कॅन्सर
can't	करूंक शकनात
can	शकता
capable	क्षमता आसपी
capable	सामर्थ्यवान
capacity	क्षमता
capital	कॅपिटल
capital	राजधानी
caption	माथाळो
capture	हस्तगत
career	करिअर
carefully	जतनायेन
careful	जतनायेन
careless	निष्काळजी
caring	काळजी घेवपी
caring	मायेस्त
carpenter	थवय
carpenter	मेस्त
carpet	शेंदरी
carrot	गाजर
carry on	करचें
carry out	करचें
carry	व्हरप
car	कार
case	केस
case	प्रकरण
cash	नकद
cash	रोख
castle	किल्लो
cast	नमुनो
casual	औपचारीक
catch	धर
catch	धरप
category	वर्ग
category	श्रेणी
cattle	गोरवां
cat	माजर
caught	धरप
cause	कारण
caution	चत्राय
cautious	सावध
cave	भुंयार
cease	कैद करचें
cease	ताब्यात घेवप
ceiling	छप्पर
ceiling	सिलींग
celebrate	मनोवप
cell	पेशी
center	केंद्र
center	मध्य
century	शतक
cereal	कडधान्न्य
ceremony	सुवाळो
certainly	निश्चीतपणान
certain	विशिश्ट
certificate	प्रमाणपत्र
chain	साखळी
chair	कदेल
challenge	आव्हान
chance	संद
change	बदल
chaos	गर्दी
chaos	गोंदळ
characteristics	गूणधर्म
character	वर्ण
character	शील
character	स्वभाव
charge	चार्ज
charge	पदभार
charge	विद्युतभार
charity	दान
charity	देणगी
charming	सुखदिणें
chart	चार्ट
chase	फाटीक लागप
chat	चॅट
cheap	सवाय
cheating	फटोवप
cheat	फटोवप
check	खुणा करप
check	तपास
cheek	गाल
cheerful	आनंदी
cheerful	उमेदी
cheers	चिअर्स
cheer	चीअर
cheese	चिज
chemistry	रसायनशास्त्र
cherish	अपुरबाय
chess	बुद्दीबळ
chest	छाती
chew	चोखप
chicken	कुकडां
chicken	चिकन
chief	मुखेल
childhood	भुरगेपण
children	भुरगीं
child	भुरगें
chill	कुडकुडो
chill	शीं
chimneys	चिमण्यो
chin	खाडकी
chocolate	चॉकलेट
choice	निवड
choice	पसंती
choose	निवडचें
choose	वेंचचें
chop	शिनप
chores	कोरस
chubby	चुब्बी
church	चर्च
cinnamon	तिखी
circle	वर्तूळ
circumstances	परिस्थिती
citizen	नागरीक
city	शार
claim	दावो
clarify	स्पश्ट करचें
class	वर्ग
clay	माती
clean	नितळ
clear	नितळ
clear	पुसप
clerk	कारकून
clever	बुदवंत
clever	हूशार
client	क्लायंट
cliff	दोंगर
climate	हवामान
climb	चडप
clingy	चिकट
clock	घड्याळ
closet	कुरकूट
close	धांपप
close	बंद
clothes	कपडे
clothes	मुस्तायकी
cloth	कपडे
cloudy	ढगाळ
cloudy	मोड
cloud	कूप
cloud	ढग
clown	क्लोन
clue	कुरू
clue	संकेत
clumsy	ओबडधोबड
clumsy	कुरूप
cluster	चोंबो
coach	कोच
coach	प्रशिक्षक
coal	कोळसो
coast	दर्यादेग
coat	कोट
coat	थर
coffee	कॉफी
cognitive	ज्ञानशक्तिमान
coincidence	संयोग
cold	थंड
collapse	कडसरावचें
collar	कॉलर
colleagues	सहकारी
colleague	सहकारी
collection	संग्रह
collect	एकठांय करप
collect	संग्रह
college	म्हाविद्यालय
colorless green ideas slept furiously	रंगहीन पाचवी कल्पना उचांबळीत सुस्ती
color	रंग
colour	रंग
column	स्तंभ
combination	एकठांवणी
combine	जोड
combine	संयुक्त
comb	दातौणी
