a	siti
a little	mit
a little	mimit
a lot	mayuh
a lot of	mayuh
abandon	ninggalka
abandoned	ninggalka
abide	akur
ability	ulih
able	ulih
about	pasal
above	atas
abroad	mupuk
absence	enda datai
absent	enda datai
absolutely	tentu
absorb	nyerap
abstract	abstrak
absurd	enda masuk akal
abundance	mayuh
abundant	bulih limpah
abundant	bulih tuah
abuse	nyamah
accent	bunyi jaku
accept	nerima
access	jalai masuk
accident	ukai disengajaka
accommodation	tempat diau
accomplish	ndang nyadi
accomplished	dijapai
according	titih
account	akaun
accuracy	tepat
accurate	amat
accurate	betul
accused	disangka
ache	sakit
ache	pedis
achieve	ulih
achievement	pencapaian
acknowledge	ngaku
acquaintance	berkelala
acquire	ulih
acquired	utai ulih
acquisition	ulih
across	meraka
act	ngereja
action	tindakan
active	aktif
activities	pengawa
activity	utai gaga
activity	pengawa
actor	pelakun
actual	sebenar
actually	kebendar
acute	penusah
adapt	ngesaika
add	nambah
addicted	ketagih
addition	nambah agi
additional	nambahka nya
address	alai diau
address	alamat
adequate	chukup
adjacent	berimabi
adjective	kata sifat
adjust	atur
admire	rindu
admire	gaga ati
admit	ngaku
adopt	ngangkat
adorable	bajik
advance	lebih agi
advanced	maju depan
advantage	ngambi ulih
adventure	pengebaraan
adverb	jaku pengawa
advertisement	iklan
advertising	ngayan
advice	jaku ajar
advise	nasihat
advocate	peguambela
aesthetic	estetik
affair	urusan
affect	ngachau
affect	meransang
affection	pengerindu
afford	ulih
affordable	ulih meli
afraid	takut
after	dhnyak
afternoon	lemai
afterwards	udah nya
again	agik
again	agi
against	ngelaban
against	laban
age	umur
agency	ejensi
agent	ejen
aggressive	agresit
agile	jampat
ago	lalu
agree	setuju
agreement	jaku sumpah
agriculture	umai
ahead	ba depan
aid	bantuan
aim	tuju
air	angin
airport	pengkalan padang bilun
aisle	lurung
alarm	jejaga
alcohol	arak
alert	jaku tagang
alive	idup
all	semua
all right	baiklah
all the best	arap mujur
allow	awak
allow	ngelakka
allowed	meri
almost	mit
alone	kediri
along	enggau
already	udah
Alright	Au meh
also	ngau
alternative	chara
although	tajapan
always	semampai
am	ianya
amazing	cukup manah
ambiguous	samar-samar
ambition	cita-cita
ambitious	cita cita
amend	nukar
amend	tukar
amid	ditengah-tengah
among	antara
among us	ngasuh kitai
amount	semua
amusing	gelik ati
an	siti
analysis	analisis
ancestors	peturun ke udah mati
anchor	sauh
ancient	kelia menya
ancient	menya
and	enggau
and you	enggau nuan
and you	ngau nuan
angel	melikat
anger	ringat
anger	angat
angle	sukut
angry	ringat
animal	jelu
ankle	bup lali
anniversary	ulang tahun
announcement	madah
annoy	ngacau
annoyed	enda nyamai asai
annoying	belubah-lubah
annual	tahunan
anonymous	tanpa nama
another	ti bukai
answer	saut
answer	nyaut
anticipate	ngadang
anxiety	pengirau
anxious	takut
any	ke deka
anymore	agi
anyone	sapa-sapa
anything	utai enggau
anyway	tajapan
anyways	tang
apart	selain
apartment	apartment
apologize	ampun
apparent	tampak
apparently	nyadi
appeal	sampi
appear	muncul
appearance	gamal
appeared	ayan
appetite	selera makai
apple	ipul
application	pom
apply	minta
appointment	temujanji
appreciate	beterima kasih
appreciation	meri basa
approach	ngagai
approach	ngiga
appropriate	ngam
approval	nerima
approve	nerima
approved	nerima
approved	terima
approximately	lebih kurang
april	april
arbitrary	senang-senang
architect	arkitek
architecture	seni neriki
archive	arkib
are	ianya
are you	nuan ka
are you busy	bisi ari nuan
are you married	nuan dah kahwin ka
are you married or single	nuan dah kahwin atau agi bujang?
Are you still there?	agi din ?
are you there	baka nuan ditu
area	menua
argue	bekelikuh
argument	laya
argument	belaya
arise	angkat
arise	nuntung
arm	tangan
army	soldadu
around	serata
around	ngelingi
arrange	atur
arrange	ngatur
arrangement	ngatur
arrival	datai
arrive	datai
arrived	datai
arrogant	sumbung
arrow	anak panak
art	seni
article	artikel
artificial	utai digaga baru
artist	artis
as	nyadi
as long as	seagi-agi
as well	sama manah
as well as	ngau
ash	amau
ashamed	malu
ask	minta
asked	nanya
asleep	tinduk
aspect	aspek
Assamese	Assamese
assault	serangan
assembly	gempuru besai
assertive	mejal
assess	jalai masuk
assessment	penilaian
asset	aset
assets	aset
assign	meri
assignment	gawa
assignment	kerja
assist	tulung
assistant	sapit
associate	bersekutu
associated	begulai
association	serakup
assume	ngumbai
assumption	andaian
at	ba
at least	ngurang
at least	kurang
ate	makai
athlete	urang belumba
attach	lampir
attached	meri sekali
attachment	penyambung
attack	nyerang
attempt	nguji
attend	datai
attendance	kehadiran
attention	peratika
attitude	ulah
attitude	runding
attract	narit ati
attraction	batak
attractive	narit ati
attribute	atribut
audience	bala
august	ogos
aunt	indai tuai
aunt	ibuk
aunty	ibu
authentic	asal
author	pengarang
authority	perintah
autumn	musin luruh
available	masih ada
