a	i
a little	khyndiat
a lot	shibun
a lot of	bun bha
abandon	ieh
abandoned	shah ieh
abide	iaineh
ability	jinglah
able	lah
about	shaphang
above	halor
abroad	shabar ri
absence	jingbym don
absent	bym don
absorb	kjit
abundance	jingpahuh
abundant	pahuh
abuse	jingpyndonkam bakla
abuse	kren sih
accent	rukom kynnoh
accept	pdiang
accident	aksiden
accommodation	jaka sah
accomplish	ioh jop
accomplished	la lah
according	kat kum
account	khata
accuracy	jingbeit
accused	shah kynnoh
ache	jingktha
achievement	jinglah
acknowledge	kubur
acquaintance	ba shu ithuh
acquire	lum
acquired	ioh
across	na shilaing sha shilaing
act	leh
action	jingleh
activities	ki jingleh
actor	tyngshop
actual	da shisha
actually	ha ka jingshisha
adapt	pyniabiang
add	bteng
addicted	kyrni
addition	jingbteng
address	ka jingkren
address	ka jaka sah
adequate	biang
adjacent	ba iasyndah
admit	pdiang
adopt	kam
advertisement	jingpynbna
advertising	jingpynbna
advice	jingiasyllok
advise	iasyllok
advocate	iasaid
advocate	nongiasaid
affect	ktah
affection	jingieid
affordable	ba lah ioh
afraid	tieng
after	hadien
afternoon	nohphai sngi
afterwards	hadien
again	sa shi sien
against	pyrshah
age	yrta
agent	mynnong
agile	ba jem met
agree	mynjur
agreement	jingiakut
agriculture	ka rep ka riang
ahead	sha khmat
aid	jingiarap
aim	thew
air	lyer
airport	ka jaka hiar liengsuin
alarm	pyntieng
alcohol	kyiad
alert	husiar
alive	ba dang im
all	baroh-ar
all right	biang lut
all the best	donbok
allow	shah
allowed	la shah
almost	lah jan
alone	marwei
Alright	Hooid to
also	bat
alternative	da kawei ka lad
although	wat la
always	borabor
am	long
ambiguous	ba bun jingmut
amend	pynbeit
amid	hapdeng
among	hapdeng
among us	hapdeng jong ngi
amusing	ba komik
ancestors	ki longshwa
ancient	barim
and	bad
and you	bad ma phi
angel	angel
anger	jingbitar
angry	bitar
animal	mrad
anniversary	lyngkhuh
announcement	jingpynbna
annoy	pyndik
annoyed	shrai
annual	shi sien shi snem
anonymous	bym ithuh
another	uwei pat
answer	jubab
anxiety	jingpisa
anxious	khuslai jingmut
any	kano kano
anyone	mano mano ruh
anything	kaei kaei ruh
apart	la ka jong
apologize	pan map
apparent	ba paw shai
appeal	jingkyntu
appear	wan paw
appearance	ka jingwan paw
appeared	wan paw
appetite	jingthngan
apple	apul
appointment	jingiakut
appreciate	sngewbha
approach	wan shajan
appropriate	ba iadei
approval	jingmynjur
approve	mynjur
approved	ba la mynjur
approximately	kumba
april	iaiong
archive	dulir barim
are	ki long
are you	phi dei
are you busy	phi bun kam
are you married	phi lah shong kurim
are you married or single	phi dei iba lah iathoh ne ba dang marwei
Are you still there?	Hato
Are you still there?	phi dang don hangto?
are you there	phi don hangto
argue	ia nia
argument	jingiania
arise	ieng
arm	ksan 'ti
army	kynhun shipai
arrange	pynbiang
arrangement	jingpynbeit
arrival	jingwan poi
arrive	poi
arrived	lah poi
arrogant	sarong
arrow	khnam
art	jingdro
artificial	ba shu buh
artist	nongdro
as	kum
as long as	katba dang
as well	lang bad
as well as	ryngkat bad
ash	dpei
ashamed	lah lehrain
ask	kylli
asked	kylli
asleep	ba iohthiah
assault	leh thombor
assembly	jingialang
assess	thew
asset	jingdon
assets	jingdon jingem
assist	iarap
assistant	nongiarap
associate	pyniajan
associated	ba iadei
association	jingiadei
at	ha
ate	lah bam
athlete	nongmareh
attach	pyndait
attached	lah suh lang
attempt	pyrshang
attempt	jingpyrshang
attendance	jingwan briew
attract	khring
attraction	jingkhring
audience	nongpeitkai
august	nailar
aunt	nia
aunty	nia
authentic	ba shisha
author	nongthoh
authority	iktia
autumn	pyrem
available	don
avoid	kiar
awake	ba lah kyndit
award	khusnam
aware	tip
awareness	jingtip
baby	khyllung
bachelor	uba shong samla
back	ka met
bad	basniew
bag	pla
bait	jingriam
bakery	jaka shet cake
ball	boll
banana	ka kait
bank	ka bank
bargain	dait dor
bark	wiar
bark	thalap dieng
barley	krai
barrier	jingker
base	nongrim
basement	khrum
bastard	khun khlem kpa
bath	sum
bathroom	kamra sum
battle	thma
be	long
be careful	da husiar
beach	rud duriaw
beans	rymbai
bear	dngiem
bear	shah
beard	tmoh
beast	mrad khlaw
beat	jingtied
beat	tied
beautiful	bhabriew
beauty	jingbhabriew
became	kylla long
because	namar
become	kylla long
bed	ka jingthiah
bedroom	kamra thiah
bee	u ngap
beef	doh masi
been	la ju long
beer	iad hiar
before	shwa
began	lah sdang
begin	sdang
beginning	jingsdang
behalf	ha ha jaka jong
behave	leh
behavior	jingleh
behaviour	jinglehshilaing
behind	shadien
being	jinglong
belief	jingngeit
believe	ngeit
belly	kpoh
beloved	baieid
below	ha trai
belt	panpoh
bench	ka ben
bend	pynkhun
beneath	ha trai
benefit	pynmyntoi
benefit	jingmyntoi
benefits	ki jingmyntoi
beside	ha syndah
best	bha tam
best of luck	donbok
better	kham bha
between	hapdeng
beverage	ka jingdih
beyond	palat
bias	jingleh shiliang
biased	leh shiliang
bid	am dor
big	ba heh
bill	ka bill
bind	khum
bird	ka sim
birthday	sngkha
bit	khyndiat
bite	jingdait
bite	dait
bitter	jingkthang
black	ba iong
blame	jingkynnoh
blame	kynnoh
blank	thylli
blanket	ka nep
blast	pynbthei
blend	khleh
bless	kyrkhu
blessed	ba la kyrkhu
blind	matlah
bliss	jingsngewhun
block	khang lad
blood	ka snam
bloom	phuh
blow	pyrsad
blue	rong suin bneng
blunt	luin
boat	lieng
body	ka met
boil	pynthnam
bond	jingiateh
bone	shyieng
book	ka kot pule
book	phah buh lypa
boot	but
boots	ki but
border	u pud
born	ba la kha
borrow	pan kylliang
both	baroh-ar
bother	pynshitom
bottle	bitor
bottom	ha trai
bought	la theid
bounce	kynthih
bound	ba la the
boundaries	ki pud
bow	nguh
box	synduk
boy	khynnah shynrang
boyfriend	u paralok shynrang
bracelet	jingdeng kti
brain	jabieng
branch	tnat
brand	shon shap
brave	shlur
bread	ruti
break	pynkhein
breakfast	ka jingbam step
breast	shadem
breath	jingring mynsien
breathe	ring mynsiem
brick	maw it
bride	ka nongleit kurim
bridge	jingkieng
brief	balyngkot
bright	shai
brilliant	bastad
bring	wanrah
broad	baiar
broke	ba lah khein
broken	ba lah khein
broom	synsar
brother in law	kynum
brought	la wanrah
brown	rong ktieh
brush	brut
bucket	borti
buddy	paralok
budget	jingmang tyngka
bug	khniang
build	tei
building	jingtei
built	ba la tei
bulk	kham bun
bull	masi dap
bully	leh heh
bump	tyngkhuh
bunch	khum
bundle	song
burden	jingkit
burden	pynkit
buried	ba la tep
burn	thang
burst	bthei
bury	tep
bus	bos
bush	lawbniap
business	ka khaii
busy	bun kam
but	tangba
butter	makhon
butterfly	thapbalieh
button	budam
buy	theid
by	da
cabbage	kubi
cabinet	duli
cage	ruh
cake	cake
calf	masi khun
call	jingkhot
call	khot
call me	khot ia nga
called	la khot
calm	jai jai
came	la wan
can	lah
can	jinglah
Cancel	Pyndam
cancer	jingpang bampong
capable	ba lah
capital	nongbah
capture	kem
car	kali
careful	phikir
carefully	da ka jingphikir
careless	bym phikir
caring	ba sngewlem
carpenter	mistri
carpet	dari
carrot	kajor
carry	rah
carry on	iaid shaphrang
carry out	leh
cash	pisa nokot
cat	miaw
catch	kem
cattle	jingri jingdup
caught	shah kem
cause	ka daw
cause	pynjialong
caution	jingmaham
cautious	ba husiar
cave	krem
cease	sangeh
ceiling	sad
celebrate	khawai
center	pdeng
century	spah snem
ceremony	jingrakhe
certain	thikna
certificate	syrnod
chain	kynjri
chair	shuki
challenge	jingtynjuh
challenge	tynjuh
chance	lad
change	bujli
character	jinglong
characteristics	ki jinglong
charity	jingasbun
chase	beh
chat	jingiakrenkai
chat	krenkai
cheap	tat dor
cheat	leh tuh
cheating	leh tuh
cheek	ngap
cheer	risa
cheerful	kmen
chest	shadem
chew	ktha
chicken	syiar
chief	khlieh
child	khynnah
childhood	jinglong khynnah
children	ki khun
chill	pynpjah
chill	jingpjah
chill	bapjah
