a	un
a little	een bietje
a lot	veul
a lot of	veul
a lot of	veul van
abandon	verloate
abandoned	verloate
abide	gewjerzaame
ability	in sjoat zin
ability	meugelikheid
able	capabel
about	euver
above	boave
abroad	boetelands
absence	afwezigheid
absent	aafwezig
absolutely	absoluut
absorb	absorbere
abstract	abstràk
absurd	absurd
abundance	euvervlood
abundant	euvervloedig
abuse	misbroek make
abuse	misbroek
accent	aksènt
accept	acceptere
access	toegank
accident	ongeluk
accommodation	akkomodatie
accomplish	bereike
accomplished	behoald
according	volgens
account	rekening
accuracy	akkuraat
accurate	akkuraat
accused	besjuldigd
ache	pien
achieve	bereike
achievement	prestaasie
acknowledge	bevestige
acknowledge	erkinne
acquaintance	kinnis
acquire	verwerve
acquire	kriege
acquired	verkreege
acquisition	aakwieziesie
across	euver
act	wit
act	akteere
act	doon
action	aksie
active	aktief
activities	aktiviteite
activity	aktievieteit
actor	akteur
actual	konkreet
actual	wirkelik
actual	feitelik
actually	eigelik
acute	akuut
adapt	aanpasse
add	aanvulle
addicted	versjlaaf
addition	aanvulling
additional	aanvullende
address	adrès
adequate	behuurlik
adequate	aadekwaat
adjacent	aansjluutend
adjacent	derneve
adjective	bievooglijk naamwoord
adjust	biesjtille
admire	bewongere
admit	toegeve
adopt	adoptere
adorable	leeflijk
advance	veuroetgank
advance	veuroetgoon
advanced	geavanceerd
advantage	veurdeil
adventure	avontuur
adverb	biewoord
advertisement	reklaam
advertising	advertensie
advice	advies
advise	advies
advocate	advokaat
aesthetic	èsteeties
affair	zaak
affect	beïnvloede
affection	affektie
afford	permittere
affordable	veurdeilig
affordable	betaalbaar
afraid	bang
after	noa
afternoon	middig
afterwards	dernoa
again	weer
against	tege
age	lèftied
agency	buroo
agent	agènt
aggressive	àgrèssief
agile	behendig
ago	geleeje
agree	toesjtumme
agreement	euvereinsjtumming
agreement	kontràk
agriculture	landboew
ahead	veuroet
aid	ondersjteuning
aim	mikke
aim	doel
air	loch
airport	vleegveld
aisle	rie
alarm	àlarm
alcohol	alkoohol
alert	alèrt
alive	levend
all	àlle
all right	kump good
all the best	al het biste
allow	toesjtoon
allowed	toegesjtange
almost	bienoa
alone	allein
along	langs
along	mit
already	al
Alright	Perfek
also	auch
alternative	alternatief
although	ondanks
always	altied
am	bin
amazing	fantastisch
ambiguous	ambiesjeus
ambition	ambietie
ambitious	ambiesjeus
amend	aanpasse
amid	te midde van
among	onger
among us	onger os
amount	bedraag
amount	aantal
amusing	amuzant
an	unne
analysis	analieze
ancestors	veurouwersj
anchor	anker
ancient	hiejel aud
and	en
and you	en dich
angel	ingel
anger	kwadheid
angle	hook
angry	koad
animal	deer
ankle	inkel
anniversary	verjoardaag
announcement	aankondiging
annoy	lestig valle
annoyed	verveeld
annoying	vervêlend
annual	joarlijks
anonymous	ánoniem
another	nog eine
answer	antwoord
anticipate	antiesiepére
anxiety	geshpanne
anxious	bang
any	einige
anymore	neet meer
anyone	weh dan auch
