a little	sanja
a little	matin
a lot	mang'eny
a lot of	thoth mar
abandon	bolo
abandon	weyo
abandoned	omaobol
abandoned	ma owe
abide	bedo
abide	luwo chik
ability	were
ability	nyalo
able	man kod nyalo
able	nyalo
able	anyalo
about	kuom
above	wiye
above	wi
abroad	loka
absence	lewo
absent	lewo
absolutely	chutho
absolutely	hach
absolutely	chuth
absorb	modho
absorb	madho
absurd	maonge rieko
abundance	thoth
abundant	mathoth
abuse	yanyo
abuse	ayany
accent	kaka ng'ato wuoyo
accept	rwako
accept	yie
access	yudo
access	donjo
access	thuolo
access	chopoe
accident	masira
accommodation	kar dak
accomplish	tieko
accomplished	ma otieko
according	kaluwore gi
account	nikwop
account	kwop
accuracy	adimba
accurate	adimba
accurate	makare
accused	ne odonjne
accused	ne ohangne
ache	winjo rem
ache	rem
achieve	yudo
achieve	tieko
achieve	chopo
achievement	chopo dwaro
achievement	timo dwaro
acknowledge	yie
acknowledge	neno
acquaintance	ng'ama ing'eyo
acquire	yudo
acquire	kawo
acquired	yudo
acquired	oyudo
acquisition	yo mar yudo gimoro
across	loka kucho
act	tim
action	keto e tim
action	tim
active	matiyo
activities	gik ma itimo kata timore
activity	gima itimo
actor	jatugo mar sinema
actual	manitie mar adieri
actually	kuom adieri
acute	bith
acute	mabith
adapt	loko gimoro mondo obed manyalo tiyo e okenge mopogore opogore
add	medo
add	med
addicted	ng'iyo gi timo pile
addition	medo
additional	ma omedore
address	loso gi
adequate	moromo
adjacent	ma otenore gi
adjust	loso
adjust	riko
admire	gombo
admit	rwako
admit	yie
adopt	kawo nyathi ma ok inyuolo mondo obed mari
adorable	ma herore
advance	chwalo
advance	nyime
advanced	ma odhi nyime
advantage	ber kabisa
advertisement	lendo
advertising	lendo
advertising	lando
advice	miyo paro
advise	chiwo paro
advise	miyo paro
advocate	okil
aesthetic	mar ber
affair	chode
affect	timo
affection	hera
afford	bedo kod nyalo
afford	nyalo
affordable	nengo man piny
afraid	luoro
after	bang'
afternoon	onyango
afterwards	bang'e
again	kendo
against	dhialruok
age	higa
agency	kambi
agent	jachung' elo ng'ato
aggressive	mager
aggressive	ma ohero dhawo
agile	manyalo ringo
ago	machon
agree	yie
agreement	winjruok
agriculture	weche pur
ahead	nyime
aid	kony
aim	imo
air	muya
airport	pap mar ndege
aisle	kar wuoth e duka
alarm	milome
alcohol	kong'o
alert	akicha
alive	ngima
alive	mangima
all	duto
all	te
all right	kamano
all the best	hawi maber
allow	yiene
allow	yie
allowed	oyienni
allowed	oyiene
almost	chiegni
alone	kende
along	bath
already	ase~
already	ose~
Alright	Kamano
also	kendo
also	gi
alternative	machielo
although	kata obedo
always	kinde duto
am	an
amazing	makelo buok
amazing	makelo wuoro
ambiguous	ma onge ler
ambition	dwaro timo gimoro
ambitious	hejruok
ambitious	hejo
amend	loso
amid	ekind
among	e kind
among us	e kindwa
amount	kar kwan
amount	kar romb
amusing	makelo hum kata nyiero
analysis	timo nonro
ancestors	kwere machon
anchor	ramaki meli
ancient	machon
ancient	moti
and	gi
and	kod
and you	in be
and you	to in
angel	malaika
anger	ich wang'
angle	neno kata loso gimoro
angle	yoo mar ng'iyo
angry	iye owang'
animal	le
ankle	ombong'
anniversary	tarik mar chakruok gimoro
announcement	lendo
annoy	wang'o ich ng'ato
annoyed	iye owang'
annoying	ma wang'o ich
annoying	makelo ich wang'
annual	higa ka higa
annual	timore higa ka higa
anonymous	ma ok ong'ere
another	moro
answer	duoko
anticipate	geno
anxiety	luoro
anxious	luor
any	moroamora
anymore	kendo
anyone	ng'ato a ng'ata
anything	gimoroamora
anyway	kata kamano
anyway	kuom mano
anyways	nga
anyways	manyaka nene
apart	mopogore
apartment	kar dak
apologize	kwayo ng'uono
apologize	kwa ng'uono
apparent	gima oyangore
apparently	ma ong'ere
appeal	kwayo
appeal	nang'o
appear	dhienyruok
appearance	chal mar gimoro
appeared	ma obiro
appetite	dhok mamit
apple	kit olemo
application	tich mare
apply	keto
appointment	chiko
appreciate	duoko erokamano
appreciation	goyo erokamano
approach	sudo but
appropriate	ma oromo godo
approval	puoth
approval	puodho
approval	yie
approve	yie godo
approve	chiwo thuolo
approved	oyie godo
approximately	manyalo romo
april	dwe mar ang'wen
arbitrary	maonge tiende
architect	jagor udi
architecture	gige goro udi
archive	kano
are you	bende in
are you busy	idich
are you busy	bende idich
are you married	isenyombo
are you married	oseyuomi
are you married or single	in kod jaot koso ionge godo
Are you still there?	Pod in kanyo?
are you there	in kanyo
area	aluora
argue	dundo wach
argument	dhawo
arise	chungo
arm	bat
arm	bad
army	jolweny
around	aluora
arrange	pangi
arrange	pango
arrangement	kaka opangi
arrangement	pangruok
arrival	chopo
arrive	chopo
arrived	ochopo
arrogant	sing'ai
arrogant	jasing'ai
arrogant	jasunga
arrow	asere
article	andike
artificial	ma ok mar adieri
artist	jagoro
as	kaka
as long as	nyaka
as well	bende
as well as	bende
ash	buru
ashamed	kuodo wich
ashamed	wiye okuot
ask	penji
ask	penjo
asked	ne openjo
asked	openjo
asleep	manindo
asleep	mosenindo
aspect	kido
aspect	kidieny
Assamese	Assamese
assault	kinyo
assault	buko
assault	goyo
assembly	kuma iriedoe
assertive	wacho gichir
assess	pimo
assess	nono
assessment	nonro
assessment	non
assessment	nono
asset	gima nengo ne ni malo
assets	mwandu
assets	gik man gi nengo
assign	miyo ting'
assign	miyo tich
assignment	tich
assist	konyo
assist	kony
assistant	jakony
associate	teno kod
associated	ma iteno kod
association	riwruok
assume	bedo gi paro
assume	paro
assumption	paro ma ok otenore gi adieri
at	kuma
at least	katin
ate	chamo
ate	ochamo
athlete	jang'wech
attach	riwo
attach	chomo
attached	oriw
attachment	yudo tiegruok mar tich
attack	monjo
attack	goyo
attempt	tem
attempt	temo
attend	dhi
attendance	biro
attendance	chopo
attention	chiko it
attitude	kido
attract	ywayo
attract	lombo
attraction	ywayo
attraction	lombo
attractive	ma ywayo wang'
attribute	kido
attribute	kit
audience	joneno gi jowinjo
august	dwe mar aboro
aunt	waya
aunty	waya
aunty	wayu
authentic	mar adieri
author	jandiko
authority	sirkal
authority	telo
autumn	opon
available	yudore
average	man e diere
avoid	hepo
awake	ma ochiewo
award	mich
aware	ng'eyo
awareness	kelo ng'eyo
away	onge
away	mabor
awesome	ber ahinya
awful	marach
awkward	mawiriwiri
Aymara	Aymara
baby	nyathi
bachelor	misumba
bachelor	mapok onyombo kata onyuom
back	chien
background	kuma gimor oaye
bad	marach
bag	ofuko
bag	bag
bag	kirowo
bait	otegu
bait	obadho
bake	bago
bakery	kar bago makate
baking soda	thowi
balance	diedo
ball	opira
Bambara	Bambara
banana	rabolo
band	jothum
bang	njaga
bank	bengi
bar	kar math
bar	od kong'o
barely	mana
bargain	hojo nengo
bark	gwe
bark	gweyo mar guok
barley	thiwi
barrier	osiki
base	tiende
based	kaluwore
basement	bwo ot
basic	dwaro
bastard	kimira
batch	kanyakla
bath	luok
bathroom	od luok
bathroom	baf
battery	betri
battle	dhawo
battle	lweny
bay	wath
be	bedo
be careful	dembri
beach	dho wath
beam	ler
beans	oganda
bear	ting'o
bear	nyuol
beard	yie tik
bearing	kaka ng'ato chung' kata wuotho
beast	le maduong' kendo ger
beat	goyo
beautiful	jaber
beauty	ber mar dhano
became	bedo
became	nobedo
because	nickech
become	bedo
bed	otanda
bedroom	korka nindo
bee	kich
beef	ring'o
been	osebedo
beer	kong'o
before	kapok
began	ne ochako
began	chako
begin	chaki
beginning	chakruok
behalf	e loo ng'ato
behave	timruok maber
behavior	timbe
behavior	kido
behaviour	kido maber
behind	chien mar
behind	tok
behind	toke
being	bedo
belief	yie kuom gimoro
believe	yie
believe	bed gi yie
belly	bund ich
belong	mar
beloved	mogen
beloved	moher
below	ebwo
below	piny
belt	masip
bench	desk
bend	dolo
bend	dol
beneath	bwo
beneath	ebwo
benefit	ber
benefit	ohala
benefits	yuto
benefits	ber
benefits	ohala
beside	machiegn
beside	e bathe
besides	ka omedore gi
best	hewo
best	hingo
best of luck	hawi maber
best regards	mos mogundho
better	hingo
better	loyo
between	e kind
beverage	amadha mamit
beverage	gik mamit ma imadho
beyond	dhiero
Bhojpuri	Bhojpuri
bias	goso
bias	gos
biased	ma otenore nyakonchiel
bicycle	ndiga
bid	nyiso dwaro
big	maduong'
bike	ndiga
bill	chik
bill	gowi
bind	tweyo
bind	twe
bird	winyo
birthday	odiochieng' mar nyuol
bit	matin
bite	kayo
bite	ka
bitter	makech
bitter	kech
black	rateng'
blade	pala
blade	beti
blame	siemo
blank	maonge gimoro
blank	manono
blanket	ongeti
blast	muocho
bleach	loko rangi
blend	riwo
bless	gwedho
blessed	ma ogwedhi
blessed	ogwedhi
blind	muofu
bliss	mor mokadho
block	dino
block	din
blood	remo
bloom	thiewo
blow	kudho
blue	rambulu
blunt	ma ok bith
blunt	obindi
board	idho
boat	anduru
boat	ndururu
body	del
body	dend
boil	chwako
bold	mathuon
bold	thuon
bond	gima riwo ji
bone	chogo
book	buk
boost	medo teko
booster	gir jiwo
boot	gambut
boots	bude
border	keiwo
border	boda
bore	tucho
bore	jogo
bore	hobo
bored	jony
bored	jongruok
boring	onge ndhadho
born	onyuol
borrow	kwayo
borrow	holo
boss	jatelo
boss	tel
boss	telo
both	duto
bother	thago
bottle	chupa
bottom	piny
bottom	man piny
bought	ng'iewo
bought	ng'iepo
bounce	chikruok
bound	otwe
boundaries	kiewo
bow	kulruok
bowl	bakul
box	boksi
boy	wuoyi
boy	wuowi
boyfriend	osiep ma wuoyi
bracelet	bangli
brain	obuongo
branch	bad yien
brand	nying
brave	chir
brave	bedo gi chir
breach	kadho
breach	muomo
bread	makate
break	toyo
break	baro
break	kawo yueyo
breakfast	chiemo ma okinyi
breast	thuno
breath	muya
breathe	yueyo
breed	kido mar le
breed	pidho
brick	kidi mar gero
bride	nyako ma idhi nyuom
bridge	oloko
brief	machuok
bright	maler
bright	marieny
brilliant	mariek
bring	kel
bring	kelo
bro	owadwa
broad	lach
broadcast	lando
broke	maonge pesa
broken	otur
broken	motur
broom	ywech
brother	owadgi
brother	owadwa
brother in law	owadgi chiegi
brought	kelo
brown	rabuor
brush	rudhi
brush	rudho
bucket	ndowo
buddy	osiepa
buddy	osiep
budget	bajet
bug	koko
build	ger
build	gero
building	gero
building	ot
built	moger
bulk	pek mar
bulk	thoth mar
bull	ruath
bully	kinyo
bully	biewo
bully	ronyo
bump	tuomruok kuom
bump	rormo gi
bunch	pumbi
bundle	twech
bundle	dhuk
burden	pek
buried	oike
buried	oiki
burn	wang'o
burn	wang'
burst	muoch
bury	iko
bus	matoka
bush	bungu
business	ohala
bust	muoch
busy	dich
but	kata kamano
but	to
butter	mo apuoya
butterfly	aguyo
button	ofungu
buy	ng'iewo
by	eyo
by the way	to bende
bye	oriti
cabbage	kabich
cabbage	alot kabich
cabinet	kabat
cage	od le
cake	kek
calf	nyathi dhiang'
calf	nyaroya
call	luongi
call	luongo
call	goyo sime
call me	gona sime
called	luongo
calm	boch
calm	pie
calm	ling'
came	obiro
campaign	usruok
can	nyalo
can't	ok nyal
Cancel	ketho
Cancel	rucho
cancer	cansa
capable	man kod nyalo
capable	nyalo
capacity	nyalo
capital	pesa mar chako ohala
capture	mako
capture	omaki
car	gari
car	nyamburko
car	matoka
career	tij andika
career	tich
careful	dembo
careful	ademba
carefully	ademba
careless	malore
careless	jwang'ore
caring	madewo
caring	dewo
carpenter	jago randa
carpet	kapet
carrot	karat
carry	ting'o
carry	ting'
carry on	dhi nyime
carry out	timo
carry out	tim gimoro
case	bura
cash	manyonge
cast	goyo
castle	kuma kingi odakie
casual	ma onge araka
cat	pusi
catch	mako
category	kidieny
cattle	dhok
cattle	chiaye
caught	mako
cause	miyo
cause	keto
cause	kelo
caution	siem
cautious	tang'
cautious	motang'
cave	gogo
cave	rogo
cease	weyo
ceiling	tado
celebrate	loso nyasi
cell	nyiriri
center	diere
century	kinde mar higni apar
cereal	kothe
ceremony	nyasi
certain	adiera
certainly	adier
certainly	adiera
