a	juon
a little	jidik
a lot	ekūt
a lot of	elab
abandon	kajool
abandoned	kajool
abide	bokake
abide	loor
ability	maron
able	maron
about	kin
above	ilōñ
abroad	jikin etolak
absence	jako
absent	jako
absolutely	ejellok kajitōk
absorb	jorom
abstract	juon men eo kwōj lomnak
absurd	jakōl
abundance	lūtōklok
abundant	elab
abuse	mantin kakkure
abuse	manne
abuse	kakkure
accent	kakōlle
accept	bōke
accept	kōmelim
access	bōke
access	kōmelim
access	anemwkōj
accident	jidiklok in jorrāān
accommodation	mennin jibañ
accomplish	tōbrak
accomplished	ewōr an tōbrak
according	ekkar
account	akkoun
accuracy	jejjetin
accurate	jejjetin
accused	emōj nae ruen
ache	metak
ache	emetak
achieve	tōbare
achievement	tōbrak
acknowledge	kile
acknowledge	jelā
acquaintance	juon eo emōj am loe
acquire	bōke
acquired	emōj bōke
acquisition	bōke
across	jikin eo rajet
across	ibelakin
act	kōmadmōd
action	kōmadmōd
active	ejejjet kutien
activities	makūtkūt ko
activity	makūtkūt
actor	armij eo ej ikkure ilo pijaan alwōj
actual	lukkun
actual	jejjetin
actually	lukkun
acute	kauwōtata
adapt	maroñ oktak
add	koba
addicted	añur
addition	koba
additional	kobalok
address	lelok
address	atorej
adequate	ebwe
adjacent	iturin
adjective	naan in kōmelele
adjust	kajimwe
admire	nebar
admit	kamool
admit	kwalok
adopt	kōkkaajiriri
adopt	kōjerbal
adorable	mōman
advance	lelok
advance	lablok
advance	woñmaanlok
advanced	utiejlok
advantage	jibañ
adventure	makūtkūt
advertisement	kareelel
advertising	kareelel
advice	jibañ
advice	lelok melele
advice	rōjañ
advise	rōjañ
advocate	armij eo ej lelok rōjañ
advocate	rōjañ
aesthetic	aeboojoj
affair	jerā
affair	jerbal
affect	lelok lomnak
affection	emlok
afford	kolla onean
affordable	emmon wonnen
afraid	aliklik
afraid	mijak
after	alikin
afternoon	raelap
afterwards	tokelik
again	bar juon
against	nae
age	joñan iiō
agency	opij
agent	rikōmadmōd
aggressive	kōmakoko
agile	util
agile	bidodo an makūtkūt
ago	jemaan
agree	errā
agreement	kwōn
agriculture	jikin atake
ahead	imaan
aid	jibañ
aim	kōtōbar
air	mejatoto
airport	jikin an baluun kelak
aisle	tuwa
alarm	kōjella
alcohol	arkool
alert	kōjellā
alive	emour
all	aoleb
all right	eokwe emmon
all the best	jerammon ilo aoleb men wōt em jej
allow	kōtlok
allow	kōmelim
allowed	emōj kōmelim
almost	mōttan jidik
almost	enañin
alone	make iaō
along	ibben
along	iturin
already	ededelok
already	emōj
Alright	Eman
also	bareinwōt
also	im bar
alternative	bar juon
although	bōtab
although	jekdoon
although	ak
always	aoleb ien
amazing	kabwilōñlōñ
ambiguous	lōñ mweñan
ambition	kōttōpar
ambitious	ewōr an kōtōbar
amend	kōkmanmanlok
amid	ibben
amid	ilo
among	ibwiljin
among us	armij ro ibbed
amount	joñan
amusing	kōjak
an	juon
analysis	etale
ancestors	rūtto ro etto
anchor	añkō
ancient	mennin jemaan
and	im
and you	im kwe
angel	enjel
anger	illu
angle	jekjekin
angry	illu
animal	menninmour
ankle	kwolele in ne
anniversary	ien kōjerammon
announcement	kōjellā
annoy	kakitōtō
annoyed	kitōtō
annoying	kakitoto
annual	aoleb iiō
anonymous	ejab walok wōn armij eo
another	bar juon
answer	uwaake
answer	uwaak
anticipate	antoone
