a little	sagetek
a lot	banyak
a lot of	banyak
abandon	maninggakan
abandoned	ditinggakan
abide	tingga
ability	kamampuan
able	mampu
about	tantang
above	di ateh
abroad	lua nagari
absence	katiadoan
absent	absen
absolutely	sangaik
absorb	manyerap
abstract	abstrak
absurd	aneh
abundance	malimpah
abundant	malimpah
abuse	pelecehan
accent	aksen
accept	tarimo
access	akses
accident	kacelakaan
accommodation	tampek tingga
accomplish	manyalasaian
accomplished	manyalasaian
accomplished	babakat
according	manuruik
account	akun
accuracy	katapatan
accurate	tapek
accused	dituduah
ache	sakik
achieve	capai
achievement	pancapaian
acknowledge	mangakui
acquaintance	kenalan
acquire	mandapekan
acquired	didapek
acquisition	akuisisi
across	sapanjang
act	batindak
action	tindakan
active	aktif
activities	aktivitas
activity	aktivitas
actor	aktor
actual	sabananyo
actually	sabananyo
acute	akut
adapt	manyasuaikan
add	tambah
addicted	kacanduan
addition	tambahan
additional	tambahan
address	alamaik
adequate	cukuik
adjacent	basabalahan
adjective	kato sipek
adjust	manyasuaian
admire	kagum
admit	mangaku
adopt	maadopsi
adorable	manggaligaman
advance	maju
advanced	canggih
advantage	kauntuangan
adventure	patualangan
adverb	kato katerangan
advertisement	iklan
advertising	iklan
advice	nasehat
advise	nasihat
advocate	maanjurkan
aesthetic	estetis
affair	salingkuh
affect	pangaruah
affection	kasiah sayang
afford	maagiah
affordable	tajangkau
afraid	takuik
after	sasudah
afternoon	sanjo
afterwards	sasudah itu
again	baliak
against	malawan
age	umua
agency	agen
agent	agen
aggressive	agresif
agile	lincah
ago	nan lalu
agree	satuju
agreement	pajanjian
agriculture	partania
ahead	di muko
aid	bantuan
aim	tujuan
air	udaro
airport	bandara
aisle	lorong
alarm	alaram
alcohol	alkohol
alert	paringatan
alive	iduik
all	sadoalah
all right	iyolah
all the best	nan tabaiak
allow	maizinan
allowed	diijinan
almost	ampia
alone	surang
along	sapanjang
already	alah
Alright	baiaklah
also	juo
alternative	alternatif
although	bia pun
always	taruih
am	ambo
amazing	luar biaso
ambiguous	ambigu
ambition	ambisi
ambitious	ambisius
amend	maubah
amid	di tangah
among	di antaro
among us	di antaro awak
amount	jumlah
amusing	manyanangan
an	sabuah
analysis	analisis
ancestors	nenen moyang
anchor	sauah
ancient	kuno
and	jo
and you	jo angku
angel	malaikaik
anger	amarah
angle	suduik
angle	arah
angry	berang
animal	binatang
ankle	pagelangan kaki
anniversary	ulang tahun
announcement	pangumuman
annoy	manggaduah
annoyed	tagaduah
annoying	manggaduah
annual	tahunan
anonymous	anonim
another	lain
answer	jawaban
answer	jawek
anticipate	antisipasi
anxiety	kacamehan
anxious	cameh
any	satiok
anymore	lai
anyone	siapo sajo
anything	apo pun
anyway	bagaimanopun
anyways	bagaimanopun
apart	tapisah
apartment	apartemen
apologize	maminta maaf
apparent	nampak
apparently	bantuaknyo
appeal	menarik
appear	tibo
appearance	panampilan
appeared	tibo
appetite	napasu makan
apple	apel
application	pamakaian
apply	pakai
appointment	janji
appreciate	maharagoi
appreciation	apresiasi
approach	mandakek`i
appropriate	sasuai
approval	persetujuan
approve	manyatujui
approved	disatujui
approximately	sakitar
april	april
arbitrary	sawenang-wenang
architect	arsitek
architecture	arsitektur
archive	arsip
are	adolah
are you	apokah angku
are you busy	apo angku sibuk
are you married	apo angku alah manikah
are you married or single	apo angku alah manikah atau bujang
Are you still there?	Apo angku masih di situ?
are you there	apo angku di sinan
area	area
argue	bantah
argument	argumen
arise	timbua
arm	langan
army	tantara
around	sakaliliang
around	saputaran
arrange	diatua
arrangement	pangaturan
arrival	kadatangan
arrive	tibo
arrived	tibo
arrogant	sombong
arrow	anak panah
art	seni
article	artikel
artificial	palsu
artist	artis
as	sabagai
as long as	salamo
as well	juo
as well as	juo
ash	abu
ashamed	malumpuahan
ask	tanyo
asked	ditanyo
asked	diminta
asleep	takalok
aspect	aspek
Assamese	Assam
assault	manyarang
assembly	parakitan
assertive	asertif
assess	manilai
assessment	evaluasi
asset	aset
assets	aset
assign	manetapkan
assignment	panugasan
assist	mambimbiang
assistant	asisten
associate	rakan
associated	takaik
association	asosiasi
assume	maanggap
assumption	anggapan
at	pado
at least	saindaknyo
ate	makan
athlete	atlit
attach	manempel
attached	talampir
attachment	ampiran
attack	sarang
attempt	mancubo
attend	hadir
attendance	kahadiran
attention	perhatian
attitude	sikap
attract	manarik
attraction	daya tarik
attractive	rancak
attribute	atribut
audience	adirin
august	agustus
aunt	ante
aunty	ante
authentic	autentik
author	pangaang
authority	otoritas
autumn	musim gugur
available	tasadio
average	rato-rato
avoid	mahindai
awake	jago
award	mahadiahan
aware	sadar
awareness	kawaspadaan
away	kalua
away	jauah
awesome	luar biaso
awful	buruak bana
awkward	ganjia
awkward	aneh
Aymara	Aymara
baby	sayang
baby	bayi
bachelor	sarjana
back	baliak
back	pungguang
background	latar balakang
bad	buruak
bag	tas
bait	umpan
bake	mamanggang
bakery	toko roti
baking soda	soda kue
balance	kasaimbangan
ball	bola
Bambara	Bambara
banana	pisang
band	pita
band	anggota
bang	malatuih
bang	manonkok
bank	bank
bar	batang
barely	jarang
bargain	tawa-manawa
bark	manggonggong
bark	kulik batang kayu
barley	jelai
barrier	panghalang
base	dasar
based	badasaran
basement	ruang bawah tanah
basic	dasar
basically	pado dasarnyo
basil	ruku-ruku
bastard	bajingan
batch	kalompok
bath	mandi
bathroom	kamar mandi
battery	baterai
battle	cakak
bay	taluak
be	manjadi
be careful	hati-hati
beach	pantai
beam	sinar
beam	balok
beans	kacang polong
bear	beruang
beard	jangguik
bearing	bantalan
beast	binatang bueh
beat	mangalahan
beautiful	cantik
beautiful	rancak
beauty	kaindahan
became	manjadi
because	karano
become	manjadi
bed	tampek lalok
bed	kasua
bedroom	kamar lalok
bee	labah
beef	dagiang jawi
been	pernah
beer	bir
before	sabalun
began	dimulai
begin	mulai
beginning	awal
behalf	kapentingan
behave	taratik
behavior	parangai
behaviour	parangai
behind	di baliak
being	manjadi
belief	kaparcayaan
believe	picayo
belly	paruik
belong	punyo
beloved	kasayangan
below	di bawah
belt	sabuk
bench	bangku
bend	mambengkokan
beneath	di bawah
benefit	untuang
benefits	manfaaik
beside	disampiang
besides	disampiang
best	paliang rancak
best of luck	samoga berhasil
best regards	salam tabaiak
better	labiah rancak
between	antaro
beverage	minuman
beyond	di baliak
Bhojpuri	Bhojpuri
bias	prasangko
biased	bias
bicycle	saperda
bid	panawaran
big	gadang
bike	sapeda
bill	tagihan
bind	kabek
bird	buruang antu
birthday	ulang tahun
bit	gigik
bit	sagetek
bite	gigik
bitter	paik
black	itam
blade	pedang
blame	tuduah
blank	kosong
blanket	salimuik
blast	maledak
bleach	pamutiah
blend	mancampua
bless	mamberkati
blessed	direstui
blind	buto
bliss	kabahagiaan
block	blokir
blood	darah
bloom	bungo
bloom	kambang
blow	maambuih
blue	biru
blunt	podok
board	papan
boat	kapa
body	badan
boil	manggalagak
bold	bagak
bold	barani
bold	taba
bond	surek utang
bond	ikatan
bone	tulang
book	buku
boost	mandorong
booster	pamacu
boot	sapatu bot
boots	sapatu bot
border	bateh
bore	mambosanan
bored	bosan
boring	mambosanan
born	dilahiaan
borrow	pinjam
boss	bos
both	kaduonyo
bother	gaduah
bottle	boto
bottom	bawah
bottom	dasar
bottom	ikua
bought	mambali
bounce	malambuang
bound	malompek
boundaries	bateh-bateh
bow	busur
bow	manunduak
bowl	mangkuak
box	kotak
boy	bujang
boyfriend	pacar
bracelet	galang
brain	utak
branch	cabang
brand	merek
brave	bagak
brave	barani
breach	malangga
bread	roti
break	rusak
breakfast	makan pagi
breast	dado
breath	angok
breathe	barangok
breed	katurunan
brick	bata
bride	anak daro
bridge	manjambatani
brief	singkek
bright	tarang
bright	santiang
brilliant	cerdas
bring	baok
bro	kawan
broad	laweh
broadcast	siaran
broke	bangkrut
broke	rusak
broken	rusak
broom	sapu
brother	saudara
brother in law	uda ipa
brought	mambao
brown	coklat
brush	gunda
bucket	karanjang
buddy	kawan
budget	anggaran
bug	saranggo
build	mambangun
building	bangunan
built	dibangun
bulk	kumpulan
bull	banteng
bully	risak
bump	malantak
bunch	kalompok
bundle	kumpulan
burden	baban
buried	takubua
burn	mambaka
burst	malatuih
bury	kubua
bus	bus
bush	samak
business	usaho
bust	manyergap
busy	sibuk
but	tapi
butter	mantega
butterfly	kupu-kupu
button	tombol
buy	bali
by	dek
by the way	takana dek ambo
by the way	jo caro
bye	salamaik tingga
cabbage	lobak
cabinet	kabinet
cage	kuruangan
cake	kue
calf	anak jawi
call	imbau
call me	talepon ambo
called	manalepon
calm	tanang
came	alah tibo
campaign	kampanye
can	bisa
can't	indak bisa
Cancel	Bata
cancer	cancer
cancer	kanker
capable	mampu
capacity	kapasitas
capital	modal
caption	katerangan
capture	manangkok
car	oto
career	karajo
careful	hati-hati
carefully	ati-ati
careless	ceroboh
caring	marawat
carpenter	tukang kayu
carpet	karpet
carrot	wortel
carry	baokan
carry on	malanjuikan
carry out	baok
case	kasus
case	kotak
cash	pitih kontan
cast	pemeran
cast	bae
castle	kastil
casual	biaso
cat	kuciang
catch	tangkok
category	kategori
cattle	taranak
caught	tatangkok
cause	sabab
cause	karano
caution	paringatan
cautious	waspada
cave	guo
cease	baranti
ceiling	langik-langik
celebrate	marayoan
cell	sel
center	tangah
century	abaik
cereal	sereal
ceremony	upacara
certain	yakin
certain	pasti
certainly	pastinyo
certificate	sertifikat
chain	rantai
chair	kursi
challenge	tantangan
chance	kasempatan
change	ubah
chaos	kakacauan
character	karakter
characteristics	karakteristik
charge	biaya
charity	amal
charming	manawan
chart	grafik
chase	kaja
chat	mangecek
cheap	murah
cheat	ciluah
cheating	cadiak
check	mamareso
cheek	pipi
cheer	basorak
cheerful	ceria
cheers	sorak
cheese	keju
chemistry	kimia
cherish	maaragoi
chess	catur
chest	dado
chew	kunyah
chicken	ayam
chief	ketua
child	anak
childhood	maso ketek
children	anak
chill	santai
chimneys	cerobong
chin	dagu
chocolate	coklat
choice	piliahan
choose	piliah
chop	mancacah
chores	tugeh
chubby	tembem
church	gereja
cinnamon	kayu manih
circle	lingkaran
circumstances	kaadaan
citizen	masyarakaik
city	kota
claim	klaim
clarify	manjalehan
class	kelas
clay	tanah liek
clean	barasiah
clear	barasiah
clear	tarang
clerk	pagawai
clever	cadiak
client	klien
cliff	jurang
climate	iklim
climb	mandaki
clingy	tagantuang
clock	jam
close	tutuik
close	dakek
closet	lamari
cloth	kain
clothes	baju
cloud	awan
cloudy	barawan
clown	baduto
clue	patunjuak
clumsy	gabia
cluster	gugus
coach	palatiah
coal	batu baro
coast	pasisia
coat	lampokan
coffee	kopi
cognitive	kognitif
coincidence	kebetulan
cold	dingin
collapse	runtuah
collar	kerah
colleague	kolega
colleagues	kolega
collect	mangumpuaan
collection	koleksi
college	kampus
color	warna
colorless green ideas slept furiously	ide ijau indak bawarna lalok
colour	warna
column	kolom
comb	sikek
combination	kombinasi
combine	manggabuangan
come	datang
come here	kamari
come on	ayoklah
comfort	kanyamanan
comfortable	nyaman
coming	datang
coming soon	akan hadir
command	parintah
comment	komentar
commercial	komersial
commission	komisi
commit	mangarajoan
commitment	komitmen
committed	komitmen
commodity	komoditas
common	umum
communicate	manyampaian
communication	komunikasi
community	komunitas
commute	parjalanan
commute	bakumpua
companion	pandampiang
company	perusahaan
compare	mambandiangkan
comparison	pabandiangan
compassion	kasiah sayang
compassionate	panuah kasiah
compatible	kompatibel
compete	bapacu
competent	kompeten
competition	kompetisi
competitive	kompetitif
complain	mangaluah
complaint	kaluahan
complement	malengkapi
complete	lengkap
completely	samo sakali
complex	rumik
compliance	patuah
complicated	rumik
compliment	pujian
comply	patuah
composition	komposisi
compound	manggabuangan
comprehension	pamahaman
comprehensive	laweh
compromise	kompromi
compulsory	wajib
computer	komputer
concentrate	konsentrat
concept	konsep
concern	kakhawatiran
concerned	cameh
concert	konser
conclusion	kasimpulan
concrete	beton
concrete	padek
condition	kondisi
conditions	kondisi
conduct	maadokan
conference	konferensi
confess	mangakui
confidence	picayo diri
confident	picayo diri
confirm	konpirmasi
conflict	konflik
confused	gana
confused	binguang
confusion	kabinguangan
congrats	salamaik
congratulation	salamaik natal
congratulations	salamaik
conjunction	konjungsi
connect	mahubuangan
conquer	manaklukan
conscious	sadar
consciousness	kasadarang
consent	ijin
consequences	akibaik
conservation	konservasi
conservative	konservatif
consider	mampertimbangan
considered	dianggap
consist	tadiri ateh
consistency	konsistensi
consistent	konsisten
constant	konstan
constantly	taruih
constipation	sembelit
construction	konstruksi
consume	mangkonsumsi
consumption	konsumsi
contact	kontak
contagious	manular
contain	barisi
contains	manganduang
contemporary	kontemporer
contempt	pahinoan
content	isi
contest	kontes
context	koteks
continent	banua
continue	lanjuik
contract	kontrak
contrast	kontras
contribute	manyumbang
contribution	kontribusi
control	kontrol
controversial	kontroversial
convenience	kanyamanan
convenient	nyaman
conversation	parcakapan
convert	maubah
convey	maangkuik
convince	mayakinan
convinced	yakin
cook	masak
cooking	mamasak
cool	dingin
cooperation	karajo samo
cope	mangatasi
copper	tambago
core	inti
corn	jaguang
corner	suduik
correct	batuak
cost	biaya
costume	kostum
cottage	pondok
cotton	kapeh
couch	sopa
cough	batuak
could	bisa
council	dewan
count	maituang
counter	lawan
country	nagari
countryside	padesaan
couple	pasangan
courage	kabaranian
course	kursus
course	jalan
court	pangadilan
courtesy	kasopanan
cousin	sapupu
cover	tutuik
cow	jawi
coward	panakuik
cozy	nyaman
crab	sirangkak
crack	ratak
craft	kaahlian
crap	omong kosong
crash	malantak
craving	kainginan
crawl	marangkak
crazy	gilo
create	mambuek
creative	kreatif
credit	kredit
creep	urang aneh
creep	marangkak
creepy	manakuikan
crew	kru
crime	kriminal
cringe	ganjia
crisis	krisis
criteria	kriteria
critical	kritis
criticism	kritik
crop	tanaman
crops	tanaman-tanaman
cross	manyubarang
cross	silang
crow	buruang gagak
crowd	karumunan
crowded	sasak
crown	mahkota
crucial	penting
cruel	kejam
cruise	palayaran
crush	maancuakan
cry	manangih
cucumber	mantimun
cuddle	bapaluakan
culture	budayo
cunning	ciluah
cup	cangkia
cupboard	lamari
curb	mangandalian
cure	ubek
curfew	jam malam
curiosity	raso ingin tau
curious	penasaran
curly	karitiang
currency	mato uang
current	kini ko
currently	kini iko
currently	saat iko
curse	manyumpah
curtain	tirai
cushion	bantalan
custom	budayo
customer	palanggan
customs	adaik
cut	potong
cute	imut
cycle	siklus
cycling	basapeda
dad	ayah
daddy	ayah
daily	sahari-ari
dairy	produk susu
dam	bendungan
damage	karusakan
damn	takutuak
damp	lambok
dance	manarik
danger	bahayo
dangerous	babahayo
dark	kalam
darling	sayang
dash	balari
data	data
date	tanggal
daughter	anak gadih
day	ari
dead	mati
deadline	tenggang wakatu
deaf	pakak
deal	kasepakatan
dear	sayang
Dear All	Sadoalah yang tahormaik
Dear Customer	Palanggan nan tahormat
Dear Parents	Urang tuo nan tahormaik
Dear Sir	Tuan nan tahormaik
Dear students	Murik nan tahormaik
Dear Team	Tim nan tahormaik
death	mati
debate	padebatan
debit	debet
debris	puing
debt	utang
decade	dekade
decay	mambusuak
deceased	manangko
deceive	manipu
december	desember
decent	turunan
decide	mamutuihan
decided	mamutuskan
decision	keputusan
deck	kartu
decline	bakurang
decline	manolak
decrease	mangurangi
dedicated	dedikasi
dedication	dedikasi
deed	pahalo
deed	akta
deep	dalam
deer	ruso
default	baokan
defeat	mangalahan
defend	mambela
define	definisian
definitely	pastinyo
definition	definisi
degree	darajat
delay	manundo
delayed	tatundo
delete	maapuih
deliberate	disangajo
delicate	aulih
delicious	lamak
delight	bagembira
delighted	sanang bana
deliver	maantaan
delivered	dikirim
delivery	kiriman
demand	tuntuik
demanding	manuntuik
democracy	demokrasi
demon	setan
demonstrate	menunjuakan
denied	ditolak
density	kapadatan
dentist	dokter gigi
deny	bantah
department	departemen
departure	kabarangkekan
depend	bagantuang
deploy	manyebaran
deposit	setor
depressed	sadiah
depression	depresi
depth	kadalaman
describe	manjalehan
description	katarangan
desert	gurun
desert	padang pasia
deserve	pantas
design	desain
designation	panamoan
desire	kainginan
desk	meja
despair	putuih aso
desperate	putuih aso
despite	walau pun
dessert	padang pasia
destination	tujuan
destiny	takadia
destroy	maancuaan
destruction	kahancuaan
detail	detail
details	detail
detect	mandeteksi
determination	tekad
determine	manantuan
determined	ditantuan
devastated	hancua
develop	bakambang
developed	bakambang
development	perkembangan
device	alaik
devil	ibilih
devoted	setia
Dhivehi	Dhivehi
diabetes	diabetes
diarrhea	diare
diary	buku harian
diary	produk susu
dictionary	kamus
did	alah
die	mati
died	mati
diet	diet
difference	pabedaan
different	babeda
difficult	payah
