a	ha
a little	si'isi'i pe
a lot	lahi
a lot of	lahi 'a e
abandon	li'aki
abandoned	li'aki
abide	muimui
ability	malava
able	malava
about	fekauʻaki
above	ʻolunga
abroad	i muli
absence	'ikai 'iai
absent	li'aki ako
absolutely	mo'oni 'aupito
absorb	mimisi
abstract	fo'i fakakaukau
absurd	faikehe
abundance	lahi 'aupito
abundant	mahu
abundant	lahi
abuse	ngāue hala'i
abuse	ngāue hala'aki
accent	tō'onga pu'aki lea
accept	tali
access	hū
access	hū'anga
accident	ekisiteni
accommodation	nofo'anga
accomplish	lava
accomplished	mataotao
accomplished	tika
accomplished	taukei
according	fakatatau
account	akauni
accuracy	ofi 'aupito
accurate	tonu
accused	tukuaki'i
ache	langa
achieve	ma'u
achievement	lava me'a
acknowledge	fakamahino 'o ha mo'oni
acquaintance	taukei
acquaintance	ilo
acquire	ma'u
acquire	ako ke 'ilo
acquired	ma'u
acquisition	koloa
acquisition	'ilo
across	tafa'aki e taha
act	ngaue
act	fakahoko
action	ke ngaue
action	ke fakahoko
action	ke nga'unu
active	longomo'ui
activities	ngaahi ngāue
activity	ngāue
actor	tokotaha 'etifaiva
actual	hoko pau
actually	moʻoni
acute	tu'unga kovi 'aupito
adapt	ngāue'i
adapt	ngāue'aki
add	tānaki
addicted	ikai toe lava 'o tuku
addition	tanaki
additional	tānaki
address	tu'asila
address	lea
adequate	fakafiemālie
adjacent	ofi
adjective	lea fakamatala nauna
adjust	feangai
adjust	fakatonutonu
admire	sai'ia
admit	faka'atā
admit	tala totonu
adopt	pusiaki
adopt	ohi
adorable	ofa'i
advance	fakalaka
advance	hiki fakalaka
advanced	ma'olunga ange
advantage	faingamālie
adventure	taukei fakalata
adverb	tala 'a e veape
advertisement	tu'uaki
advertising	tu'uaki
advice	fale'i
advise	fakahinohino
advise	hinoiʻi
advise	faleʻi
advocate	fakafofonga
advocate	fakahoko ngāue ma'a
aesthetic	faka'ofo'ofa
affair	vā
