a	kaisa
a	Khoroksa
a	masa
a little	kisasa
a lot	kwbangma
a lot of	kwbangma
abandon	yakarwi thangmani
abandoned	khibi kwlangjak
abide	kok khwnai tongmani
ability	chukmung
able	chukjak
about	no twiwi
above	sakao
abroad	phatar hathai
absence	manjagwiya
absence	kwrwi wngmani
absent	manjakphailya
absent	kwrwi
absolutely	Ahaino
absorb	bisingo kusubuisio
abstract	abstract
absurd	mwnwikothok
abundance	khurumpui
abundant	nangmani saibo bkwbang
abuse	satokmung
accent	kok samani goron
accept	gosimani
access	hablam
accident	lahar patimung
accommodation	tongjaknai thiti khlaimani
accomplish	mungsaswk khlaimanmung
accomplished	accomplished
according	hainohai
account	lekhama
accuracy	kwkwrwk
accurate	kosol
accused	majra berjak
ache	samani
achieve	manmung
achievement	manmung
acknowledge	gosimung rwmani
acquaintance	sinilaimani
acquire	manmani
acquired	manjak
acquisition	paijak manwi
across	gwnangwi
act	toke mwsamani
action	yapri
active	kwsrang
activities	samung bwtangrok
activity	samung khlaimanirok
actor	toke mwsanaisa
actual	kubuio
actually	kubui sana thangkhe
acute	belaikheno
adapt	gwdalwi namani
add	thepamani
addicted	loi yakarmaya wngmani
addition	kwtharwmani
additional	teibo
address	nikuma
adequate	kulokmani
adjacent	nanglaijak
adjective	adjective
adjust	jora bai gwdalwi tongma
admire	naithokjakmani
admit	damani
adopt	dottok naharmani
adorable	maya mannani chukjak
advance	swkang bariya
advanced	swkangjak
advantage	sep kaham
adventure	adventure
adverb	Samungni dal
advertisement	awaimung
advertising	awai khlaimung
advice	dagimung
advise	kokbiti
advocate	advocate
aesthetic	naithothok
affair	patimung
affect	mari kwlaimani
affection	maya
afford	rang kwrwini bagwi mungsaswk paimaya wngmani
affordable	pai manthokmani
afraid	kirijak
after	ulo
afternoon	dipor
afterwards	yagulo
again	teisa
against	kebengwi
age	umor
agency	khajak kaisa motha eba baniya
agent	agent
aggressive	jolikwrak
agile	Kwsrang
ago	swkango
agree	gosimani
agreement	gosimung bwlai
agriculture	hukbar
ahead	bwskango
aid	chubachu
aim	naharmung
air	nobar
airport	Birkhungkhola
aisle	doglam
alarm	Sakhlaimung
alcohol	chuwak
alert	hojak
alive	kwthang
all	joto
all right	doh ako
all the best	kwplai wngdi
allow	gosimung rwmani
allowed	gosimung manjak
almost	paitwtwi
alone	saichung
along	bai baksa
already	swkang bariyano
Alright	Ako
also	bo
alternative	kubuni lama
although	haitwtwi phano
always	molbrum
am	wngkha
amazing	Belai naithok
ambiguous	thiti wngjakya
ambition	naharmung
ambitious	ambitious
amend	swlaimung
amid	kwcharo
among	ni bisingo
among us	chini bisingo
amount	swk
amusing	mwnwikothok
analysis	amjogwi naimani
ancestors	agini borokrok
anchor	anchor
ancient	agini joog ni
and	tei
and you	nwngkhe
angel	suari
anger	jolimung
angle	babai
angry	jolijak
animal	malmata
ankle	yakarai
anniversary	bisi pungmani
announcement	saklaimung
annoy	jolirwma
annoyed	jolijak
annoying	jolimasingsa
annual	bisibrum
anonymous	Mungjuda
another	kubuni
answer	kok kiphilmung
anticipate	wansuk tongmani
anxiety	wanamani
anxious	wanama bagwi kha tongthokya wngmani
any	jesa
anymore	teibo
anyone	kebo khoroksa
anything	jesa manwi
anyway	jesa wngthung
anyways	jesaphano wngthung
apart	karwi
apart	hakchal
apartment	apartment
apologize	nakarmung sanmani
apparent	dadak-sidak
apparently	tumung no
appeal	koimung
appear	nukjakmani
appearance	nukjakmani
appeared	nukjakmani
appetite	okhuima
apple	apel
application	koimung
apply	koimani
appointment	malaina jora thiti khlaimani
appreciate	mungsaswk eba khoroksaswk no twiwi kaham samani
appreciation	samung chajakmani
approach	thang kok saimani
appropriate	kwkwrwk
approval	gosimung
approve	gosimung rwmani
approved	gosimung manjak
approximately	andaj khlaimani
april	Tallang-Taltung
arbitrary	muchungmatwi
architect	tangkwrwng
architecture	architecture
archive	archive
are	Wngkha
are you	Nwng ___ da
are you busy	Nwng samung pailaya da wngjak
are you married	Nwng kaijak da
are you married or single	Nwng kaijak da na sikla
Are you still there?	Nwng tamo samung khlai
are you there	Nwng to da tong
area	amchai
argue	kok banglaimani
argument	kok banglaimani
arise	sichamani
arm	kangkhung
army	sengkrakrok
around	ganagini
arrange	manjumani
arrangement	tiyari khlaimani
arrival	phai sokphaimani
arrive	sokphaimani
arrived	phai shokphaikha
arrogant	jolikrak
arrow	teer
art	rigmung
article	swimung
artificial	kubui ya
artist	akinakwrwg
as	haikhe
as long as	tongsak
as well	bo
as well as	bo
ash	thapla
ashamed	lachijak
ask	swngdi
asked	swngjak
asleep	mwktrwi thangjak
aspect	nai-nukmung
Assamese	Assamni borok
assault	assault
assembly	luku kuthummung
assertive	kebono kiriya
assess	amjogwi naimani
assessment	amjokmung
asset	asset
assets	assets
assign	samung yapharmani
assignment	samung bakjak
assist	chubamani
assistant	assistant
associate	tanglogisong
associated	gwdaljak
association	motha
assume	sak sak wansugwi namani
assumption	assumption
at	wo
at least	kisaphano
ate	chakha
athlete	thwngkwrwng
attach	thepadi
attached	kwthajak
attachment	kwthamung
attack	hamla khlaijakmani
attempt	chaitokmung
attend	manjakmung
attendance	manjakmung
attention	kha rwmani
attitude	khoroksani wansukmung kitingwi bini tongmung
attract	kha sotonmung
attraction	kha sotonma
attractive	mokol sotonnai
attribute	goon
audience	naitongnairok
august	Taltuk-Talbang
aunt	kaki
aunt	totoi
aunty	Moi
aunty	mami
aunty	yong bwrwi
authentic	kwkwrwk
author	bijap swinai
authority	bubagra
autumn	bwlai kwlaimani mol
available	manthogo
average	cholidrop
avoid	nukyamasikhe tongmani
awake	sichajak
award	sokat
aware	hojak
awareness	hojak khlaimung
away	hakchalo
awesome	belaikheno kaham
awful	belai chaya
awkward	lachimasingsa wngmani
Aymara	Aymara
baby	kwlwi bwsa
bachelor	sikla
back	unklog
background	background
bad	chaya
bag	bag
bait	lubh rwmani
bake	shongmani
bakery	ruti phalnok
baking soda	chajaknai soda
balance	balance
ball	ball
Bambara	Bambara
banana	thalik
band	band
bang	tokmani
bank	bank
bar	bar
barely	belaino kisa
bargain	swk khailaimani
bark	buphang bukur
bark	swi swngmani
barley	bojra
barrier	kasumung
base	base
based	rwkjak
based	gwdaljak
based	kitingjak
basement	basement
basic	nangmani kokrok
basically	sana thangkhe
basil	banta
bastard	borok hamya
batch	batch
bath	tukumani
bathroom	tukumani khotol
battery	battery
battle	choba
bay	twiwar
be	wngdi
be careful	be careful
beach	twibomrukung
beam	chwngmari
beans	koshoirok
bear	rujumani
bear	twimani
beard	shengkhari
bearing	rujui tongmani
beast	maya kwrwiborok
beat	bumani
beautiful	Naithok
beauty	naithokmung
became	wngma
because	tangwi hinkhe
become	wngkha
bed	khat
bedroom	thumani khotol
bee	pia
beef	musuk bahan
been	tongmani
beer	beer
before	swkango
began	chengkha
begin	chengmani
beginning	chengphuru
behalf	bini wngwi
behave	tongmung
behavior	tomung
behaviour	tongmung
behind	unklugo
being	tongwi tongmani
belief	poito chamani
believe	poito chamani
belly	bohok
belong	keboni wngmani
beloved	hamjakma borok
below	tolao
belt	belt
bench	bench
bend	kongmani
beneath	tolao
benefit	kaham sep
benefits	sep saprok
beside	ganao
besides	obo bai baksano
best	kahamkuk
best of luck	kwplai wngdi
best regards	khakchangma yapharo
better	teisa kaham
between	kwcharo
beverage	nwngjaknairok
beyond	laijak
Bhojpuri	Bhojpuri
bias	chajakma borokno simi sep rwmani
biased	Babaisa bwkhak
bicycle	cycle
bid	swk chongmani
bid	ringhormani
big	kotor
bike	bike
bill	bill
bind	khamani
bird	tok
birthday	achaima sal
bit	kisa
bite	warmani
bitter	kwkha
black	kosom
blade	kubuk bukhuk
blame	dush bogmani
blank	Bukcha
blanket	dulai
blast	permani
bleach	manwi phursarwnai
blend	mishimani
bless	diyari
blessed	hamari manjak
blind	mokol kana
bliss	hamari
block	kasumani
blood	thwi
bloom	kiyokmani
blow	hama shubdi
blue	nokha pali
blunt	bugya
board	naikolmotha
boat	rung
body	sak
boil	rugmani
bold	kebono kiriya
bond	halok
bone	bekereng
book	bijap
boost	phan rwmani
booster	chubachu khlainai
boot	bootrok
boots	bootrok
border	ari
bore	selema
bored	selejak
boring	selemasingsa
born	achaikha
borrow	solok naharmani
boss	bubagra
both	kwnwi no
bother	jala rwmani
bother	keboni bagwi wansukmani
bottle	bottle
bottom	tola
bought	paikha
bounce	baharwi thangmani
bound	khobmani
boundaries	arirok
bow	swmai
bowl	bati
box	box
boy	chwla
boyfriend	hamjakma chwla
bracelet	Mathiya
brain	brain
branch	bedek
brand	peyara
brave	kha kotor
breach	raida swbaimani
bread	ruti
break	swbaimani
breakfast	phungni chamung
breast	abuk
breath	hama
breathe	hama namani
breed	bosong
brick	it
bride	kwina kwtal
bridge	yakhrai
brief	chikontia
bright	kwchwng
brilliant	kwrwng borok
bring	tubudi
bro	takhuk
broad	kuwar
broadcast	awaimung
broke	baijak
broken	kwbai
broom	nokshi
brother	phayung
brother in law	Buprangsa
brother in law	Kumui
brought	tubukha
brown	ha pali
brush	hujaknai
bucket	balti
buddy	yaar
budget	borok bangjak
bug	yongsa kuksa
build	tangmani
building	pakanok
built	tangjak
bulk	kwbangmakhe
bull	miship
bully	sikrimani
bump	atumsa thutaimani
bunch	bunch
bundle	bundle
burden	barja hilik
buried	phobjak
burn	khammani
burst	phatimani
bury	phobmani
bus	bus
bush	sham
business	baniya
bust	abuk
busy	samung pailaya
but	Phiya
butter	makhon
butterfly	larima
button	butam
buy	paimani
by	yaktui
by the way	sana thangkhe
bye	thangkha
cabbage	kopi
cabinet	montrisabha
cage	along
cake	Nangkukma jora
calf	musuk bwsa
call	ringmani
call me	ano call khaidi
called	ringjakha
calm	kwchang kwchang
came	phaikha
campaign	shibir
can	mano
can't	maya
Cancel	rosai namani
cancer	cancer bemar
capable	chukjak
capacity	bangmung
capital	auli amchai
caption	caption
capture	romwi chobwi tonimani
capture	segwi namani
car	malkhung
career	samung
careful	kahamkhe
careful	bailkhe
carefully	kahamkhe
carefully	jaikhe
careless	careless
caring	nainai borok
carpenter	mistri
carpet	lamthai
carrot	gajor
carry	twimani
carry on	lamsogwi thangmani
carry out	samung bomani
case	majra
cash	rang cash
cast	rwmani
castle	nuyungma
casual	haino tongma
cat	aming
catch	yachakdi
category	berem
cattle	rwmani malmata
caught	yachakha
cause	mungsaswk wngmani unklugo tongmani kok
cause	wngrwmani
caution	kahamkhe wansugwi yapri sedi
cautious	cautious
cave	guha
cease	mwthakjak
ceiling	nukhung saka
celebrate	palailaimani
cell	kush
center	kendra
century	philsara bisi
cereal	cereal
ceremony	panda
certain	kaisaswk
certainly	abono
certificate	sinimung bwlai
chain	bwtang
chair	achukphang
challenge	batiama
chance	sep
change	swlaimung
chaos	chaos
character	goron
characteristics	goron
charge	barja
charity	charity
charming	naithok
chart	chart
chase	rwktharma
chat	kok samani
cheap	rang kisao
cheat	thokaimani
cheating	phemlokmani
check	amjogwi naidi
cheek	khanga
cheer	mwnwirwma
cheerful	mwnwi tongnai borok
cheers	cheers
cheese	cheese
chemistry	chemistry
cherish	muitu khlaimani
chess	daba
chest	khakwlab
chew	warmani
chicken	tok bahan
chief	ojama
child	cherai
childhood	cheraiphuru
children	cherairok
chill	kha tongthogwi tongma
chimneys	hoku thangmani lam
chin	khosai
chocolate	chocolate
choice	chongwi namani
choose	saidi
chop	tanmani
chores	nokni samungrok
chubby	khanga ongkhorjak
church	Girja
cinnamon	dalchini
circle	kiting
circumstances	wngma
citizen	amchai ni borok
city	auli
claim	dabi khlaimani
clarify	kahamkhe buchirwmani
class	rem
clay	harpek
clean	kwsap
clear	kwsap
clerk	clerk
clever	simani
client	client
cliff	hapung kinar
climate	nobar twibar
climb	sakao kasamani
clingy	kwphaimang tongnai
clock	ghori
close	kholobdi
closet	alna
cloth	ri
clothes	richumrok
cloud	chumui
cloudy	chumui koboljak
clown	joker
clue	clue
clumsy	yapai chaya
cluster	kuthumjak
cluster	khajak
coach	phwrwngnai
coal	hoki
coast	coast
coat	kutai kutung
coffee	coffee
cognitive	gyan rwkjak
coincidence	coincidence
cold	kwchang
collapse	collapse
collar	Bokrom
colleague	samung tangsong
colleagues	samung tanglogisong
collect	thummani
collection	thummung
college	Rwngnok kotor
color	pali
colorless green ideas slept furiously	pali kwrwi kwkhrang wansukmungrok jolijaklai thulaikha
colour	pali
column	column
comb	betra
combination	gwdalmung
combine	gwdalwi
come	phaidi
come here	oro phaidi
come on	phainaba
comfort	tongthok chathok
comfortable	tongthothok
coming	phai tongo
coming soon	daktino phai tongo
command	dagimung
comment	comment
commercial	baniya rwkjak
commission	commission
commit	commit
commitment	kok rwmani
committed	kha chabjak
commodity	manwi-khwnwirok
common	tong kosong
communicate	kwrwnglaimani
communicate	kok salaimani
communication	kok kwrwngmung
community	hoda
commute	thanglaisu
companion	logisong
company	motha
compare	batai naimani
comparison	comparison
compassion	maya nangmani
compassionate	maya gwnang
compatible	kwthamani
compete	bataimung
competent	Sisukjak
competition	bataimung
competitive	batainani wansukmung
complain	kok silsamung
complaint	kok silsamung
complement	complement
complete	samung khlai paimani
completely	jotophasingtui
complex	kwlai ya
compliance	gosimung rwmani
complicated	kwlai ya
compliment	kebono bolaimani
comply	gosimani
composition	swnamjakmani
compound	nokhla
comprehension	simani
comprehensive	kwbang
compromise	buchiwui tongmani
compulsory	nango no
computer	computer
concentrate	concentrate
concept	wansukmung
concern	keboni bagwi wanamani
concerned	wanamani
concert	hukumu
conclusion	kok kisao samani
concrete	paka ni
condition	kaham hamya tongmani
conditions	raidarok
conditions	kaham hamyarok
conduct	songchamani
conference	kok malaimung panda
confess	chayano gosimani
confidence	sak baithang poito chamani
confident	sak baithangni sakao poito chamani
confirm	thiti khlaima
conflict	kok thaisa wngya
confused	chabwimaya
confusion	Ubrumjabrum
congrats	chibai nono
congratulation	chibai
congratulations	chibai
conjunction	malaimani
connect	connect
conquer	manmani
conquer	jitimani
conscious	hojak
consciousness	saimanmung
consent	gosimung rwmani
consequences	bwthairok
conservation	khatimung
conservative	khati tonimung
consider	wansukjadi
considered	chongjak
consist	bisingo tongmani
consistency	consistency
consistent	consistent
constant	bar bar khlaimani
constantly	bar bar
constipation	bohok rakjak
construction	tangmani
consume	chamani
consume	namani
consumption	chamani
contact	kwrwngmani
contagious	solothothok
contain	narwk tongmani
contains	oro tongo
contemporary	tabukni jora
contempt	lachima rwmani
content	kok bothoma
content	kha tongthokmani
contest	bataimung
context	context
continent	kwbangma island gwnang hathai
continue	lamsogwi thangdi
contract	chukti khamani
contrast	kisaphano solya
contribute	chubamani
contribution	chubachu
control	thung naikolwi tonimani
controversial	controversial
convenience	je chajakmatuikhe
convenient	khoroksani bagwi kwlai
conversation	kok salaimani
convert	swlaidi
convey	koktun kwcharmani
convince	gosirwmani
convinced	gosinamani
cook	shongmung
cooking	songmani
cool	Doh khe
cooperation	gwdalwi samung khlaimani
cope	samlokmung
copper	tama
core	bisingni
corn	mogodam
corner	kuna
correct	soi
cost	swk
costume	ri chum
cottage	chikontia kaisa nok
cotton	tula
cotton	suti ni ri
couch	sofa
cough	kuchuk
could	khamu
council	Kokchapnok
count	lekhamung
counter	kebengmung
country	haktor
countryside	hapung hathai
couple	hisangnwi
courage	kha kwrak
course	lama
court	dorbarnok
courtesy	tongmung kaham
cousin	mamani bwsa
cousin	kakani bwsa
cover	bukur
cow	mushuk
coward	khetopa
cozy	tongthogo
crab	khangrai
crack	phatimani
craft	baniya
crap	kok sitra
crash	thutai kwlaimani
craving	mungsaswk chana muchungmani
crawl	malmani
crazy	kobor suluk
create	swnammani
creative	creative
credit	credit
creep	creep
creepy	kirimasingsa
crew	samung tangsong
crime	samung sitra
cringe	lachimasingsa wngmani
crisis	biyali
criteria	je nangmanirok
critical	wanamasingsa wngjak
criticism	criticism
crop	muikwthwngrok
crops	kaijak buphangrok
cross	laimani
crow	tokha
crowd	luku kubung
crowded	luku kwbang
crown	mukut
crucial	nangkukma
cruel	maya kwrwi
cruise	cruise
crush	naithokjakmani borok
cry	kabmani
cucumber	sosa
cuddle	kwbagmani
culture	hukumu
cunning	belai chalak
cup	kap
cupboard	alna
curb	kasumung
cure	sak kaham khlaiphimani
curfew	curfew
curiosity	saimanna muchungmani
curious	saimanna muchungmani
curly	koitroi
currency	chol
current	wngtong jora
currently	wngtong jorao
curse	swraimung
curtain	porda
cushion	tusuk
custom	raida
customer	painai
customs	tongkaham
cut	rajakmani
cute	naithotok
cycle	cycle
cycling	cycle kajak
dad	Baba
daddy	baba
daily	salbrum
dairy	dairy
dam	Baan
damage	chaya khlaima
damn	hiro
damp	kishi
dance	mwsamung
danger	danger
dangerous	kirimasingsa
dark	andar
darling	khachuk
dash	thutaimani
data	kokthumrok
date	salmari
daughter	sajwk
day	sal
dead	kwthwi
deadline	khajak jora
deaf	khunju khwnaya
deal	chukti
dear	khajani
Dear All	Khajani takhuk-bukhungsong
Dear Customer	Khajani
Dear Parents	Khajani buma-buphasong
Dear Sir	Borom Gwnang Sir
Dear students	Khajani swrwngnairok
Dear Team	Khajani motha
death	Langma chomani
debate	debate
debit	rang swbaimani
debris	debris
debt	solok
decade	bisi chi ni yagulo
decay	shogwi thangmani
deceased	kwthwi
deceive	thokokmani
december	Talbung-Talhing
decent	kahamno
decide	kokchabmani
decided	kokchapjak
decision	kokchap
deck	sajokmani
deck	Rung kotorni paka
decline	hache thangmani
decrease	kisai thangmani
dedicated	saktarjak
dedication	dedication
deed	khlaithai
deep	kuthuk
deer	mwswi
default	chugya wngmani
defeat	mechenma
defend	kasuma
define	define
definitely	Ao khlainaino
definition	soi mane
degree	college o pori pass wngmani
delay	lermani
delayed	lerjak
delete	hui rwmani
deliberate	muchungtwtwi khlaimani
delicate	kwlwi
delicious	kothok
delight	tongthokmung
delighted	tongthokjak
deliver	yapharmung
delivered	yapharjak
delivery	tunwimani
demand	dabi khlaimani
demanding	sanmung
democracy	Luku chongraida
demon	mwtai hamya
demonstrate	khlai phunukmani
denied	gosiliya
density	rwjamani
dentist	buwa nainai
deny	gosiya wngmani
department	bedek
departure	lam rwmani
depend	shungjak
deploy	samungo tichokmani
deposit	yapharma
depressed	belai wanajak
depression	wanamung kuplung
depth	thukmani
describe	sukrubui sadi
description	sukrubui samani
desert	hasingkhor
deserve	manna tongmani
design	design
designation	samung khlaithani
desire	muchungmung
desk	table
despair	tei poito chaliya
despair	jora hamya
desperate	muchungsukjak
despite	haiphano
dessert	kwtwi
destination	thang shogwijaknai thai
destiny	destiny
destroy	chaya khaisibaima
destruction	swbaisibaimani
detail	sukrubui
details	details
detect	naitukmanmani
determination	determination
determine	kha chongwi najak
determined	Kha chabjak
devastated	wanajak
develop	tormani
developed	hamkrai manjak
development	hamari
device	pherang bai samung khlainai manwi
devil	soitan
devoted	kha thonjak
Dhivehi	Dhivehi
diabetes	Swtwibemar
diarrhea	khimani bemar
diary	diary
dictionary	dictionary
did	khlaikha
die	thwidi
died	thwikha
diet	chamung
difference	solya wngmani
different	juda juda
difficult	kwlai ya
dig	khurdi
dignity	borom
diligent	porisrom khlainai borok
dinner	horni mai
dip	mishima
direct	dadak-sidak
direction	digio
director	dagiphang
dirt	shimuk
dirt	harpek
dirty	sitra
disable	disable
disabled	disabled
disappear	kwmamani
disappointed	kha baijak
disaster	deramung
discard	khibima
discharge	kogwi manmani
discharge	rwi rohorjakha
discipline	raida bai tongmani
discount	rang khairwirwmaiba
discover	naituk karimung
discrimination	borok saimani
discuss	kok chablaima
discussion	kok chablaimung
disease	bemar
diseases	bemarrok
disguise	sinijakyatwikhe
disgusting	selengmasingsa
dish	chamung
dishes	chamungrok
dismiss	rohormani
dispatch	dakti rohormani
display	phunukmung
disposal	rohormani
dispute	kok banglaimani
distance	lama chalmani
distinct	juda
distinguish	shinimung
distress	birman
distribution	bakmung
district	hangkor
disturb	disturb
ditch	kwmai paimani
ditch	hakoor
dive	twi yokma
