a	benn
a little	tuuti
a lot	yu bari
a lot of	yu bare
abandon	bàyyi
abandoned	bàyyi
abide	topp
ability	mën nga
able	melokaan xool
about	lu jëm ci
above	ci kaw
abroad	bitim réew
absence	ñàkk a teew
absent	ku ci nekk morom ma to look each other
absolutely	ci lu leer
absorb	naan
abstract	bunu mënul gis
absurd	ñàkk solo
abundance	lu ne gàññ
abundant	bare lool
abuse	saaga
accent	waxin
accept	nangu
access	dugg
access	sañ-sañ
accident	aksidang
accommodation	dëkkuwway
accomplish	def
accomplished	defoon
according	ci waxi
account	njëg
accuracy	jub
accurate	jub
accused	tuumaal
ache	merloo
achieve	jot
achievement	ndam
acknowledge	dëggal
acquaintance	xame
acquire	am
acquired	amoon
acquisition	am-am
across	ci
act	jëf
action	jëf
active	sawar
activities	yëngu-yëngu
activity	yëngu-yëngu
actor	suwekat
actual	dëgg
actually	ca dëgg-dëgg
acute	ñaw
adapt	jël
add	dojor
addicted	tàmm
addition	boole
additional	bi yokku
address	dëkkuwaay
adequate	jëkër
adjacent	ci wetu
adjective	adsektif
adjust	defaraat
admire	xool
admit	dugg
adopt	jëfandikukaay jëfandikoo
adorable	baax
advance	yokkute yokku
advanced	jëm
advantage	ngañaay
adventure	taxawaalu
adverb	adweerb
advertisement	siiwal
advertising	siiwal
advice	yedd
advise	yedd
advocate	lay baalu
aesthetic	taaru
affair	mbir
affect	dal
affection	cofeel
afford	mën a falu
affordable	yomb
afraid	ragal
after	ci kanam
afternoon	ngoon
afterwards	gànnaaw
again	doli
against	jakarlo
age	at jamono
agency	bërabu liggéeyukaay
agent	ndaw
aggressive	soxor
agile	aay
ago	am na
agree	ànd
agreement	déggoo
agriculture	mbëw baw
ahead	ci kanam
aid	ndimbal dimbale
aim	jubluwaay
air	ngelaw
airport	ayeropoor
aisle	yoon
alarm	yeetekaay
alcohol	sangara
alert	woo
alive	dund
all	lépp
all	ñépp
all right	baax na
all the best	amal jàmm
allow	nangou
allowed	may
almost	daanaka
alone	këru noppalukaay
along	ci peggu
already	xaat
Alright	And naa ci
also	itam
alternative	beneen pexe
although	donte
always	bés bu nek
am	nekk
amazing	doyal
ambiguous	doy
ambition	bëgg-bëgg
ambitious	am jom
amend	soppi
amid	ci diggu
among	ci biir
among us	ci sunu biir
amount	lim
