gooto	a
Mi aanda	I do not know
mi aanda	I don't know
Mi aanda	I don’t know
mi aandi	I know
je aandin	comprehensive
je aandin	standard
wala aandugo	deny
ha abada	forever
abada abadin	eternal
ɗallugo	abandon
acci	abandoned
wondugo	abide
aandal	ability
footi	able
do	about
wala	absent
yarugo	absorb
samere	abstract
famatakke	absurd
risku	abundance
jur	abundant
huddugo	abuse
toɓe	accent
jabbugo	accept
nastirde	access
larula	accident
suudu	accommodation
timminugo	accomplish
timmi	accomplished
ha	according
limtol	account
yahde	accuracy
nawne	ache
wadugo	achieve
kugal	achievement
jaɓugo	acknowledge
footirde	acquaintance
moftugo	acquire
keɓɓi	acquired
marde	acquisition
gal	across
umrore	act
kugal	action
kuɗe	activities
kugal	activity
fijowo	actor
jonta	actual
jonta	actually
woɗi	acute
saanja	adapt
besdugo	add
ɓesdugo	addition
feere	additional
seera	adjacent
lartugo	adjust
larugo	admire
jabbi	admit
hoosugo	adopt
wodi	adorable
yeeso	advance
yeeso	advanced
riba	advantage
jaahangal	adventure
sappinol	advertisement
sappinol	advertising
feelore	advice
feelugo	advise
fadowo	advocate
fawne	aesthetic
kujeji	affair
memmugo	affect
yide	affection
ndokugo	afford
butti	affordable
hullan	afraid
asiri	afternoon
fahin	again
be	against
dubbi	age
wallowo	agent
salqi	ago
jabbi	agree
narral	agreement
ndemri	agriculture
wallende	aid
yardugo	aim
hendu	air
noy a jammu	how do you do
sanu a jammu na	hi how are you
matinol	alarm
mbal	alcohol
hakika	alert
pettel	a little
fu	all
ja allah	divine
je allah	sacred
jarfugo	allow
jarfi	allowed
woɗi	all right
burna	almost
feerejo	alone
be	along
jur	a lot
timmi	already
Wodi	Alright
bo'o	also
feere	alternative
tumtum	always
am	am
goodo amana	confident
hilnan	amazing
sanu a mbali jam na	hello how are you doing
sanu a mballi jam	hello how are you
fammatake	ambiguous
ngiɗa	ambition
Kombeewal am ɗon hewqi be ɓeefe	My hovercraft is full of eels
saanjugo	amend
Kugal amin: taskugo matinolji duniyaru e ndokka ndu ha ko moy fu je footi mara naffuda.	Our mission: to organize the world's information and make it universally accessible and useful.
Kugal amin: wallugo ko moy fu, ko toy fu ngam fammugo duniyaru e wolwa ha kunde maɓɓe be wolde feere feere.	Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.
ragare amma be naffuda	last but not least
je am	mine
Giɗaɗo am	My dear
ngorgi am	my friend
gidado am	my love
inde am	my name is
limgal	amount
gooto	an
lartol	analysis
mamaa'en	ancestors
daarnugo	anchor
boyma	ancient
be	and
malaikajo	angel
ɓernde	anger
keerol	angle
berni	angry
daba	animal
kosɗe	ankle
matinol	announcement
sargugo	annoy
sakli	annoyed
duɓɓi	annual
feere	another
jabbuye	answer
artugo	anticipate
nummol	anxiety
sakli	anxious
seera	apart
saare	apartment
tubbugo	apologize
ewnugo	appeal
wangugo	appear
wonde	appearance
waangi	appeared
nyammugo	appetite
apple	apple
batakewol	application
emmugo	apply
footol	appointment
maanugo	appreciate
baditugo	approach
jarfuye	approval
jarfugo	approve
jaɓɓi	approved
ɓadi	approximately
avirilaku	april
inde arandere	last name
je aran	former
mahdi	architecture
lati ardudo	responsible
lati	are
baabal	area
harkinugo	argue
haraka	argument
ummugo	arise
baandi	arm
soje	army
mo'itinugo	arrange
taskaram	arrangement
yottol	arrival
yottugo	arrive
yotti	arrived
jaaral	arrow
irin	art
ayaare	article
fijowo	artist
bana	as
bana asaman	blue
yulɓe	ash
semti	ashamed
emmu	ask
emmi	asked
ɗani	asleep
sappinore	aspect
Assamese	Assamese
teffugo	assault
mofturde	assembly
limte	assertive
lartugo	assess
lartol	assessment
risku	asset
yamande	assets
hokkugo	assign
kugal	assignment
wallugo	assist
wallowo	assistant
hawtugo	associate
hawti	associated
mofturde	association
jabbi	assume
bo'o	as well
fu	as well as
ha	at
ta a tampa	never give up
nyammi	ate
dogowo	athlete
pettum	at least
haɓɓi	attach
takki	attached
ngawugo	attack
foondol	attempt
wallugo	attend
ballal	attendance
hakilu	attention
gikku	attitude
daasugo	attract
kuɗe	attribute
heɗitoɓe	audience
ut	august
yaadiko	aunt
yadiko	aunty
goɗɗo	author
ngomna	authority
otomn	autumn
don	available
deydey	average
luttugo	avoid
ɗume a waɗata jonta	what are you doing right now
finni	awake
caahu	award
hakika	awareness
dayi	away
hulnan	awful
hannay	awkward
wala aybe	flawless
wala aybe	innocent
Aymara	Aymara
jawdi baaba	inheritance
Ha Baabiraɓe	Dear Parents
jam baandu	health
gal baandu	physical
a baangi na	are you married
wala baba	orphan
bingel	baby
bawo	back
ɓawo	background
hannay	bad
jibba	bag
daasugo	bait
tamsugo	bake
luttande	balance
ragare balɗe	deadline
wona balɗe wonde lora jur jur	many many happy returns of the day
balong	ball
Bambara	Bambara
je bana kayafi	mysterious
kondong	banana
kay bana ni na	oh really
wonay bana ni	not at all
wadugo bana	pretend
to bana	whether
geeɓe	band
fiyugo	bang
banke	bank
bar	bar
narugo	bargain
hollugo	bark
allah barkitina ma	god bless you
allah barkitina mon	wish you all the best
gawri	barley
keerol	barrier
fuɗɗam	base
woni	based
arandere	basic
hako	basil
lanyugo baskur	cycling
njalujo	bastard
geeɓe	batch
yiwugo	bath
bater	battery
haɓre	battle
mari bawde	impressive
be bawɗe	powerful
ha bawo	after
ha bawo	behind
