Ein	a
eitt sindur	a little
ein rúgva	a lot
eina rúgvu	a lot
ein rúgva av	a lot of
sleppa	abandon
oyðin	abandoned
vera verandi	abide
førleiki	ability
førur	able
kring	about
um	about
uppiyvir	above
omanfyri	above
uttanlands	abroad
frávera	absence
frávernadi	absent
avgjørt	absolutely
súgva upp í seg	absorb
samandráttur	abstract
skilaleyst	absurd
yvirflóð	abundance
ríkiligur	abundant
misnýta	abuse
máldámur	accent
góðtaka	accept
góðkenna	accept
atgongd	access
vanlukka	accident
eftirlaging	accommodation
avrika	accomplish
gávuríkur	accomplished
sambært	according
konta	account
neyvleiki	accuracy
neyvt	accurate
ákærdur	accused
pína	ache
fremja	achieve
útynna	achieve
útynning	achievement
viðganga	acknowledge
kennskapur	acquaintance
fáa	acquire
fingin	acquired
ognir	acquisition
tvørtur um	across
yvir um	across
tvørtur ígjøgnum	across
verk	act
gerð	action
virkin	active
virksemi	activities
virksemi	activity
sjonleikari	actor
veruligur	actual
í roynd og veru	actually
veruliga	actually
spískur	acute
gera til	adapt
leggja avtrat	add
bundin	addicted
uppískoyti	addition
eyka	additional
adressa	address
bústaður	address
nóg mikil	adequate
grannæstur	adjacent
lýsingarorð	adjective
skipa	adjust
hámeta	admire
viðganga	admit
ættleiða	adopt
hugtakandi	adorable
undurvakur	adorable
framstig	advance
framkomin	advanced
fyrimunur	advantage
ævintýr	adventure
hjáorð	adverb
lýsing	advertisement
lýsing	advertising
ráð	advice
ráð	advise
talsmaður	advocate
fagurfrøðiligur	aesthetic
mál	affair
ávrka	affect
alskur	affection
hava ráð til	afford
hava ráðini til	afford
rímuligur prísur	affordable
bangin	afraid
efitr	after
seinnapartur	afternoon
aftaná	afterwards
aftur	again
ímóti	against
aldur	age
umboð	agency
umboðsmaður	agent
ágangandi	aggressive
kvikur	agile
síðan	ago
taka undir við	agree
avtala	agreement
landbúnaður	agriculture
frammanfyri	ahead
hjálp	aid
miða	aim
luft	air
flogvøllur	airport
gangur millum stólarøðir	aisle
ávaring	alarm
alkohol	alcohol
fyribúgva	alert
alvakin	alert
livandi	alive
altíð	all
í lagi	all right
alt tað besta	all the best
loyva	allow
loyva	allowed
nærum	almost
einsamallur	alone
við	along
longu	already
í lagi	Alright
í ordan	Alright
eisini	also
við	also
val	alternative
hóast	although
tó at	although
tó	although
altíð	always
eri	am
ótrúligt	amazing
tvítýddur	ambiguous
framsøkni	ambition
ærusjúkur	ambitious
rætta	amend
mitt í	amid
ímillum	among
millum okkara	among us
mongd	amount
undirhaldandi	amusing
ein	an
greining	analysis
forfedrar	ancestors
akker	anchor
gamal	ancient
avgamal	ancient
og	and
og tú	and you
eisini tú	and you
eingil	angel
vreiði	anger
vinkul	angle
óður	angry
djór	animal
økil	ankle
ársdagur	anniversary
lýsing	announcement
órógva	annoy
argur	annoyed
argiligur	annoying
ótolandi	annoying
árligur	annual
dulnevndur	anonymous
ein annar	another
onkur annar	another
svara	answer
svar	answer
vænta	anticipate
ótti	anxiety
bangin	anxious
fjálturstungin	anxious
ein og hvør	any
nakar	any
hvør	any
meiri	anymore
longur	anymore
ein oghvør	anyone
nakað	anything
í hvussu er	anyway
onkursvegna	anyway
kortini	anyway
á ongan hátt	anyways
burturfrá	apart
íbúð	apartment
umbera	apologize
