lɛ	a
fioo	a little
pii	a lot
babaoo	a lot
pii	a lot of
shiŋ	abandon
shii	abandoned
hi shi yɛ mla mli	abide
kpɛlɛ	abide
ye nↄ	abide
nↄni akɛbaafe	ability
nyɛ	able
ehe	about
ŋwei	above
abloshi	abroad
ebɛ	absence
ebɛ	absent
nakai	absolutely
eya omli	absorb
awo mli	absorb
susumↄ	abstract
jwɛŋmↄ bɛ mli	absurd
babaoo	abundance
babaoo	abundant
abiusimↄ	abuse
abius	abuse
wiemↄ	accent
hemↄ owo mli	accept
asɛɛs	access
ekashi	access
oshinaa	accident
tsu	accommodation
tsuusumↄ	accomplish
fee	accomplished
tsu	accomplished
kɛɛha	according
akaŋout	account
fitsofitso	accuracy
pɛpɛɛpɛ	accurate
folↄ naa	accused
miiwa	ache
miigba	ache
agbojee	achievement
shidaa	acknowledge
nanemɛi	acquaintance
namↄ	acquire
namↄ	acquisition
foomli	across
nifeemↄ	act
nifeemↄ	action
ekaa	active
nifeemↄi	activities
nitsumↄi	activities
nitsumↄi	activity
nifeemↄ	activity
shwɛmↄ he hiɛtserelↄ	actor
diɛŋtsɛ	actual
asumaa	actually
waa	acute
hemↄ awomli	adapt
kɛtsa	add
ŋↄↄ mↄ nyↄŋ	addicted
eka ehe	addicted
kɛfata	addition
kɛfata he	additional
krokomei	additional
bↄni okɛmi baawie	address
adrɛɛss	address
efa	adequate
bɛŋkɛ	adjacent
sutsↄↄlↄ	adjective
saamↄ ohe	adjust
sumↄ	admire
hemↄ owomii	admit
kpɛlɛ	adopt
ŋↄ	adopt
fɛɛfɛo	adorable
emiiwa	advance
miiwafeemↄ	advance
hiɛnyɛmↄ	advanced
ninejurↄ	advantage
miishɛɛ nii	adventure
mligbalalɔi	adverb
nihↄↄmↄ he adafitswaa	advertisement
nihↄↄmↄ he adafitswaa	advertising
ŋaa	advice
ŋaa	advise
fii sɛɛ	advocate
sɛɛfilↄ	advocate
fɛo nii	aesthetic
ehi esɛɛ	affair
naagba	affect
sumↄmↄ	affection
baanyɛ ni ahe	afford
abaanyɛ ahe	affordable
gbeyeeshemↄ	afraid
no sɛɛ lɛ	after
shwane	afternoon
no sɛɛ lɛ	afterwards
ekoŋŋ	again
afiiisɛɛ	against
afi	age
nitsmↄhe	agency
tsuji	agent
najiaŋdamↄlↄ	agent
gidigidi	aggressive
oya waa	agile
etsɛɛ	ago
ekomefeemↄ	agree
gbeekpamↄ	agreement
okwaayeli	agriculture
hiɛtrↄↄmↄ	ahead
wa	aid
shuutumↄ	aim
kↄↄyↄŋ	air
kɔɔyɔŋ lɛjiadaamɔhe	airport
gbɛ ni ka sɛii ateŋ	aisle
oshebɔɔ	alarm
daaŋ	alcohol
klalofeemↄ	alert
hɛlemↄ	alert
yɛ wala	alive
fɛɛ	all
ojogbaŋŋ	all right
shade kpakpa	all the best
ŋmɛɛ gbɛ	allow
ŋmɛɛgbɛ	allowed
eshɛ eta	almost
mipɛ	alone
yɛ	along
momo	already
yoo	Alright
ni	also
ekokro	alternative
shi	although
daa	always
ji	am
hetse	amazing
shishinumↄ bɛ faŋŋ	ambiguous
gbɛihemↄ	ambition
ambishin	ambitious
saamↄ	amend
yɛ	amid
fatahe	among
wↄtɛŋ amli lɛ	among us
ayibↄ	amount
miishɛɛ	amusing
lɛ	an
kwɛmcmli	analysis
blematsɛmɛi	ancestors
ankↄ	anchor
blema	ancient
kɛ	and
ni bo hu	and you
bↄfo	angel
miifu	anger
kroko	angle
miifu	angry
koolo	animal
nanetalↄ	ankle
gbi jurↄ	anniversary
adafitswaa	announcement
mlila woo	annoy
miiwola	annoyed
miila	annoying
daa afi	annual
aleee	anonymous
ekokro	another
hetoomↄ	answer
hetoo	answer
miiŋmɛ	anticipate
basaafeemↄ	anxiety
tsuiŋtswa	anxious
fɛɛko	any
dↄↄŋ	anymore
mↄfɛɛmↄ	anyone
fɛɛ eko	anything
afↄ afa	anyway
fɛɛ sɛɛ lɛ	anyways
gbala teŋ	apart
shia	apartment
kpafai	apologize
faŋŋ	apparent
asumaa	apparently
fai kpamↄ	appeal
jekpo	appear
bↄni oyↄↄ	appearance
jie ehe kpo	appeared
akↄnↄ	appetite
tsinebaa	appetite
aluguitugui	apple
aplikashiŋ	application
apleemↄ	apply
apↄintmɛnt	appointment
shidaa	appreciate
shidaa	appreciation
bɛŋkɛ	approach
nifeemↄ	approach
esa	appropriate
ŋmɛgbɛ	approval
ŋmɛɛ gbɛ	approve
nↄkpɛlɛmↄ	approved
tamↄ	approximately
abɛibe	april
jabejabe	arbitrary
ŋaalↄ	architect
tsumaa	architecture
nitoohe	archive
yɛ	are
bo ji	are you
oyɛ dekaa	are you busy
awo bo ga	are you married
ogaa aloo obɛ moko	are you married or single
oyɛ jɛmɛ olo	Are you still there?
oyɛ jɛŋ	are you there
aria	area
bemↄ	argue
saji naataamↄ	argument
te shi	arise
nine	arm
asa	army
bↄlemↄ	around
too	arrange
heboamↄ	arrangement
ashɛ	arrival
shɛɛ	arrive
shɛɛ	arrived
henaamↄ	arrogant
gaimlibii	arrow
nitɛŋmↄ	art
nikasemↄ	article
gbↄmↄ fee	artificial
lalafolↄ	artist
nitɛŋlↄ	artist
tamↄ	as
yɛ	as long as
kɛ agbɛnɛ	as well
ni agbɛnɛ hu	as well as
lamulu	ash
hiɛgbomↄ	ashamed
bi	ask
bi	asked
awↄ	asleep
ko	aspect
Assamese	Assamese
niseniianii	assault
kpee	assembly
nyɛↄ mↄ nↄ	assertive
akwɛ	assess
assɛsmɛnt	assessment
nii ni sɛɛnamↄ yↄↄ he	asset
nii ni sɛɛnamↄ yↄↄ he	assets
ha	assign
asainmɛnt	assignment
