a	a
Beagán	a little
goaill-vagh	a lot
graihjeh	a lot of
lhong	abandon
dallagh	abandoned
Gloyr	abide
cummaltee	ability
Lhiggey	able
Mychione	about
Hooish	above
aynsçheer	abroad
lane	absence
absagh	absent
foddee	absolutely
Curer	absorb
Obbragh	abstract
Absurd	absurd
ayrn-ooilley	abundance
fo-chaghlaa	abundant
Fogrey	abuse
eisht	accent
Abyl	accept
Arraghey	access
Ughderbree	accident
coadjagh	accommodation
Chur er crosh	accomplish
Co-arrit	accomplished
Jeant rish	according
coontey	account
coadeyrynys	accuracy
woar	accurate
Íobairt	accused
Poayl	ache
Co-arrit	achieve
cooilleeney	achievement
Aighney	acknowledge
Co-lhaih	acquaintance
Geill	acquire
Fuinnee	acquired
kiaull	acquisition
ernycheilley	across
argid	act
Neead	action
cooinaghtagh	active
Gníomhaíochtaí	activities
keeill	activity
Padjer	actor
Fíor	actual
aynsyvairy	actually
Greamaithe	acute
goaill-oyrn	adapt
Cur er	add
chummal	addicted
cur-ghialdyn	addition
Cur er nish	additional
chuirrym	address
coyrlee	adequate
er-ny-hon	adjacent
aignagh	adjective
Arrangy	adjust
Cooinaght	admire
Abyl	admit
goaill-yeigh	adopt
Carreyble	adorable
Eree	advance
ard-	advanced
kiaullee	advantage
Slacht	adventure
Boaldaghyn	adverb
spyrryssagh	advertisement
reaghey-jees	advertising
Arraght	advice
freill	advise
aggair	advocate
cooinaghtyssagh	aesthetic
goaill-oir	affair
Eash	affect
moaragh	affection
Co-phaitch	afford
Co-geayll	affordable
erbee	afraid
aynsynmeantraa	after
jehoie	afternoon
Indiaidh	afterwards
Ren	again
er	against
aois	age
Aighin	agency
dooghyryn	agent
snullagh	aggressive
Smooinaghtagh	agile
seyr	ago
goaillroish	agree
Coardail	agreement
Talmhaíocht	agriculture
Roish	ahead
Cabbyl	aid
lhiam	aim
aer	air
Reaghey	airport
olley	aisle
Allee	alarm
ails	alcohol
coayrt	alert
beaghey	alive
ooilley	all
Foddee	all right
dymiesonooilley	all the best
Lhiat	allow
Lhiat	allowed
Cass	almost
ayns	alone
erchur	along
gynsaghey	already
Shegin	Alright
myrgeddin	also
Freayrt	alternative
er-gerrey	although
Dy bragh	always
mish	am
wonnid	amazing
Miamaigh	ambiguous
gree	ambition
ard-lheihysagh	ambitious
Gourgey	amend
Imeasc	amid
Lught	among
mychioneain	among us
meen	amount
Greannmhar	amusing
unnane	an
araghey	analysis
çhenn-anroo	ancestors
ancaar	anchor
sheeant	ancient
as	and
asshiu	and you
shynnagh	angel
feeyn	anger
Céim	angle
gortaghey	angry
Ainle	animal
bwoir	ankle
keayrt	anniversary
Fógra	announcement
Ner	annoy
skeealit	annoyed
Eaghtyr	annoying
bleinagh	annual
Anmeyssagh	anonymous
elley	another
freagarraghey	answer
Foaysaghey	anticipate
ancoagh	anxiety
eiraghtagh	anxious
jees	any
cronnaght	anymore
quoi-derrey	anyone
quoi	anything
myrshen-y-fa	anyway
quoijeh	anyways
er-chooish	apart
thie-appartymaynt	apartment
chionnit	apologize
Foshlit	apparent
dyghennal	apparently
Aalin	appeal
jirree	appear
Thieeney	appearance
Doolt	appeared
Urghnach	appetite
ooyl	apple
Lhiasaghey	application
curer	apply
Appoyntymooar	appointment
curenchorrymer	appreciate
Gooie	appreciation
Lhiggagh	approach
foays	appropriate
Coardail	approval
goailler-ymmyd	approve
Cur ny oik	approved
myrshen-yeih	approximately
Averil	april
Aimhrialtach	arbitrary
aircheylagh	architect
kiart-eyllagh	architecture
argid	archive
ta	are
shiu	are you
velshiucooie	are you busy
velshiupreeve?	are you married
velshiumoghreynyhaain	are you married or single
Velshiuerychliwejeh?	Are you still there?
velshiuayns?	are you there
