jun	a
b'ab'ay ajwi'	a little
nabal	a lot
naab'al	a lot of
kanabank	abandon
kanabanbil	abandoned
xb'aanunkil	abide
xsebal	ability
kawrib	able
sa' xb'een	about
taqeeq'	above
sa jalan tenamit	abroad
maani	absence
inka xwalak	absent
tzaqal	absolutely
xtz'ub'al	absorb
reetalil	abstract
maak'a' xyaalal	absurd
xkihalil	abundance
kihalil	abundant
majewank	abuse
xyaab'	accent
xsumenkil	accept
okik	access
rahilal	accident
ilank	accommodation
xbanunkil	accomplish
tawbaal	accomplish
tawb'il	accomplished
jo	according
kam	account
cholchoru	accuracy
cholcho	accurate
jitb'il	accused
rahilal	ache
xtawbal	achieve
xket	achievement
xnawbal	acknowledge
nawbil	acquaintance
xtawbal	acquire
patz'b'il	acquired
wanwe	acquisition
chirix chaq	across
xbanuhom	act
xbanunkil	action
wan	active
k'anjelob'aal	activities
kanjel	activity
b'aanunk re	actor
anaqwan	actual
anaqwan	actually
q'es	acute
xnawb'al wank	adapt
xkebal	add
sachenaq	addicted
ajlank	addition
xtzoqob	additional
naajej	address
tento	adequate
letzlo	adjacent
reetalil	adjective
xtzilbal	adjust
walak chi u	admire
xsumenkil	admit
xkulbal	adopt
chabil	adorable
nakexke	advance
xkulman	advance
aq xko	advanced
xchabilal	advantage
xik	adventure
ka'j aatin	adverb
resilal	advertisement
kehok esil	advertising
k'ehok na'leb'	advice
kebal naleb	advise
kolonel	advocate
chabil	aesthetic
naleb'	affair
xchajkilal	affect
rahok	affection
naru xtojb'al	afford
xokbil	affordable
yo xiw	afraid
chirix naq	after
ewuk	afternoon
chirix	afterwards
toj tiklajik	again
ink'a' wan sa' aatin	against
chekok	age
rochochil	agency
aj kanjel	agent
josat	aggressive
jun paat	agile
xbanu	ago
usaq	agree
kamal	agreement
awinq	agriculture
chiru	ahead
tenq	aid
xkutbaal	aim
iq	air
na'aj tulux ch'ich'	airport
chire	aisle
na eekan	alarm
k'ahil ha'	alcohol
yebal resil	alert
yooyo	alive
chi xjunil	all
usaq	all right
chi xjunil li us	all the best
banunkil	allow
naru	allowed
b'ayaq	almost
junes	alone
sa najtil re	along
xru	already
us	Alright
jokan ajwi	also
xyalal	alternative
ab'anan	although
junelik	always
laa'in	am
ink'a' taa paab'	amazing
inka'a ch'olcho	ambiguous
jwal naraj	ambition
nabal naraj	ambitious
xtuqub'ankil ru	amend
sa' xyi li	amid
xyanq	among
sa' qa yanqil ajwi'	among us
kihalil	amount
sa' xch'ool	amusing
jun	an
tzilbal	analysis
jun xil chaq	ancestors
xaqabankil	anchor
junxilaq	ancient
ut	and
ut laat	and you
ilol	angel
josqil	anger
sa' xuk	angle
josq	angry
xul	animal
oqq	ankle
xchihabil	anniversary
esilal	announcement
jot'ok	annoy
josqil	annoyed
josq	annoying
chihab	annual
ink'a' na nawman	anonymous
jalan	another
xsumehom	answer
roybeninkil	anticipate
ka'auxl	anxiety
xkauxl	anxious
yalaq ani	any
inka chik	anymore
yalaq ani	anyone
yalaq karu	anything
jo ajwi	anyway
jo'kan ajwi'	anyways
jalan chik	apart
ilebaal	apartment
patzok kuyuk mak	apologize
naxye naq	apparent
jokan inchal	apparently
xwechb'al	appeal
walak	appear
xrilbal	appearance
xk'ulun	appeared
tz'okaak	appetite
manzaan	apple
patzok	application
xkebal	apply
xkeeb'al	appointment
kutan	appointment
xraab'al	appreciate
xb'antioxinkil	appreciate
xb'antioxinkil	appreciation
nach'ok	approach
chaab'il	appropriate
tz'aqal ree ru	appropriate
xsumenkil	approval
yalbal	approve
sumenbil	approved
naraj tzaqal	approximately
abril	april
xjalanil	arbitrary
aj kablanel	architect
retalil yiib'ank ochoch	architecture
huhil	archive
a'aneb'	are
ma laat	are you
latzru	are you busy
ma sumsukat	are you married
ma sumsu kat malaj inka	are you married or single
wankex aran	Are you still there?
ma wankat aran	are you there
naaj	area
wechok	argue
xyalalil	argument
tiklajik	arise
teel	arm
eb' aj kookox	army
xsutam	around
xkubankil	arrange
k'uub'	arrangement
wulajik	arrival
walak	arrive
walak	arrived
josq	arrogant
jutz'	arrow
chinausil	art
aaneb	article
inka tzaqal aan	artificial
aj b'ichanel	artist
chanru	as
yalaq	as long as
jokan naq	as well
jokan naq	as well as
cha	ash
aj xuutan	ashamed
patzon	ask
xpatz'	asked
warenaq	asleep
rilbal	aspect
Assamese	Assamese
xramb'al	assault
yibanbil	assembly
yahal	assertive
xtzilbal	assess
raqbaal atin	assessment
yalbal ix	assessment
wan	asset
bihomal	asset
tzoqob	asset
useb	assets
xkeeb'al re	assign
xkeebal	assignment
tenqank	assist
xkebaal	assist
wulak	assist
aj tenq	assistant
rikin	associate
rikin	associated
molan	association
xkoxlankil	assume
nakoxla	assumption
sa'	at
jo naq	at least
waak	ate
aalinanel	athlete
xk'eeb'al	attach
wan ajwi	attached
ajbil	attachment
wan ajwi	attachment
xk'ulb'al	attack
xyalbal	attempt
walak	attend
wanjik	attendance
abinkil	attention
xwanjik	attitude
xkambal chaq	attract
nawulak chiru	attraction
chabil	attractive
rusil	attribute
chutam	audience
aagost	august
ikana	aunt
nachin	aunty
re tzaqal	authentic
echalre	author
jolominel	authority
na tane xaq che	autumn
wanq	available
xk'ihalil	average
risinkil	avoid
poqs ruchichoch	awake
maatan	award
nawbal	aware
xkauxlankil	awareness
naj	away
chaaq'al ru	awesome
yibru	awful
ink'a sa	awkward
Ayara	Aymara
k'uula'al	baby
xjones	bachelor
yii ixej	back
chirix	back
xchamal	background
yib'ru	bad
xnaajil	bag
xkomon	bait
xchinankil	bake
yiib'an kaxlan wa	bakery
xka'j poqs saq	baking soda
tuqtu	balance
xbisbal	balance
bolotz	ball
Bambara	Bambara
tz'ol tul	banana
chuutal	band
bang	bang
tem	bank
kaylebaal	bar
bayaq	barely
ketbil	bargain
xrix che	bark
michil	bark
xeeb'	barley
xramb'al	barrier
inka ta ruuk	barrier
roqechal	base
chapb'il wi	based
rub'el ochoch	basement
junelik	basic
jo' junelik	basically
albaak	basil
jalan chiru xkomon	bastard
naaj	batch
tzeqlebaal	bath
tzeqlebaal	bathroom
bateriiy	battery
kaloq q'e	battle
re ha'	bay
a'an	be
taawil chi us	be careful
re ha	beach
xkebal xam	beam
tz'amb'a	beam
kenq'	beans
tz'uqtz'un	bear
mach	beard
xnaaj	bearing
cha'al ch'iich'	bearing
xul	beast
xketb'al	beat
china us	beautiful
chinaus	beauty
xsiuq'i jo'	became
xb'anaq	because
jalak	become
chaat	bed
warib'aal	bedroom
seer	bee
tib	beef
wanjik	been
teepal	been
ha na kaltesin	beer
rub'elaj	before
xtikla	began
xtiklajik	begin
tiklajik	beginning
k'ab'a'ej	behalf
choqre	behalf
wanjik	behave
wanjik	behavior
xwanjik	behaviour
chirix naq	behind
a'an	being
paab'al	belief
xpabankil	believe
sa'ej	belly
wan rikin	belong
raab'il	beloved
taq'a	below
jitbal sa	belt
tem	bench
xbasbal	bend
rubel	beneath
rusilal	benefit
rusilal	benefits
sa xkat	beside
jokan re	besides
kawilal	best
chaab'il maatan	best of luck
sahil ch'oolejil	best regards
chaab'il	better
sa' xyanq	between
uk'aa	beverage
toj le'	beyond
Bhojpuri	Bhojpuri
junelik	bias
bayaq	bias
salso	biased
b'ajlaq ch'iich'	bicycle
Yechiink	bid
nim	big
b'aqlaq ch'iich	bike
xhuhil	bill
xkeeb'al rix	bind
xkeebal	bind
xul	bird
ketbal chihab	birthday
bayaq	bit
kuxuk	bite
ka	bitter
qeq	black
setok	blade
ch'iich	blade
maak	blame
sa' saq	blank
saqi reetalil	blank
tikr	blanket
na moq	blast
cloor	bleach
junajinkil ru	blend
osobtesinb'il	bless
chabil	blessed
mutz	blind
usaq	bliss
xteram	block
inka chik	block
kik	blood
atz'umak	bloom
xbonbal	bloom
rapunkil	blow
sakok	blow
rax moyin	blue
tzaqal	blunt
jutz	blunt
xnaajil	board
naleb	board
re ha	boat
tibelej	body
woqxink	boil
qeq	bold
bono	bond
b'aq	bone
hu	book
xnimob'resinkil	boost
tenq	booster
xlochb'al	boot
xaab'	boots
xsutam	border
titz'ik	bore
ralal	bore
titz	bored
titz'	boring
yolajenaq	born
patzbal to'	borrow
aj kehol kanjel	boss
wiib'al	both
chichiink	bother
meet	bottle
taqa	bottom
loqbil	bought
na pitz k'ok	bounce
jitbil	bound
xraqik	boundaries
boqbo	bow
proa	bow
sek	bowl
kax	box
kachin	boy
rahom	boyfriend
re kux uq'	bracelet
ulul	brain
ruqche	branch
xbaba	brand
kaw xchool	brave
xb'e	breach
inka xbanu	breach
kaxlan wa	bread
xjorb'al	break
ilank	break
wa re eqla	breakfast
amej	breast
xkawil	breath
musiqak	breathe
xpayil	breed
k'irisinkil	breed
lamb'il pek	brick
tasal	brick
sum amej	bride
re toqbal	bridge
bayaq	brief
lemok	bright
lemok	brilliant
k'amb'al chaq	bring
was	bro
nim	broad
puktesinkil	broadcast
xjor	broke
jachal	broken
mesleb'	broom
was	brother
b'alk	brother in law
kambil	brought
qeq	brown
jibalix	brush
puchuk	bucket
rapro	bucket
loy	buddy
xtzilbalrix tumin	budget
xul	bug
xyibankil	build
kablak	building
k'uub'anb'il	built
iiq	bulk
winq	bull
wakax	bull
xseenkil	bully
toch'b'al	bump
buybu	bump
xoox	bump
joob'	bunch
jun taas	bundle
iiq	burden
muqb'il	buried
katook	burn
moq	burst
xmuqb'al	bury
belebaal	bus
china che'	bush
k'ay	business
kubenaq	bust
re xchool	bust
laatz' ru	busy
ab'anan	but
xeeb	butter
mariposa	butterfly
chapb'al raq'	button
loqbaal	buy
xb'an	by
jokan	by the way
xikwe	bye
repoll	cabbage
molam k'anjel	cabinet
chiich sa junxaqalil	cage
rocho xul	cage
saechej	cake
ral wakax	calf
b'oqok	call
boqok	call
b'oqin chaq	call me
boqbil	called
tuqtuukilal	calm
yaalalil	calm
walak	came
yechiink	campaign
naru	can
chiich na'aj uk'a	can
ink'a' tin ruuq	can't
Inka chik	Cancel
kaqi yajel	cancer
naru	capable
xkawilal	capacity
xteepal	capital
xkaba	caption
resilal	caption
xkabail	caption
chapbil	capture
belebaal chiich	car
xkanjel	career
alinak	career
rilbal	careful
banu went	carefully
ink'a' ilb'il	careless
banu went	caring
rahok	caring
aj peech'	carpenter
ramb'al ru tz'ak	carpet
zanahoor	carrot
xkambal	carry
xtaaqenkil	carry on
xb'aanunkil	carry out
hu	case
tumin	cash
ninqe	cast
nimla ochoch	castle
jokan	casual
mis	cat
xchapbal	catch
xpayil	category
wakax	cattle
natbil	caught
xban	cause
banu went	caution
toj naxk'a'uxla	cautious
ochoch pek	cave
cesar	cease
xbeen	ceiling
tzaq	ceiling
xninqehinkil	celebrate
mitz' xul	cell
xyi	center
chihab	century
tzakahenq	cereal
majejak	ceremony
yaal	certain
mare yaal	certainly
Xhuhil	certificate
kamal	chain
tem	chair
xyalbal hu	challenge
reetalil	chance
xjalb'al	change
chajkilal	chaos
poyanam	character
xjosqil	character
wajik	characteristics
riiqankil	charge
siibil	charity
chabilal	charming
che	chart
kaxakuut	chart
xsikbal	chase
seeraq'	chat
kubenaq	cheap
balaq	cheat
na k'ehok ramleb'	cheating
hu re tumin	check
xtzilbal	check
k'at e	cheek
kawub' ch'ool	cheer
sa chool	cheerful
sahil cholejil	cheers
re baak	cheese
re banook	chemistry
xrabal	cherish
ajedrez	chess
ram	chest
hach'b'al	chew
kaxlan	chicken
jolominel	chief
kachin	child
kach'in	childhood
kokal	children
xkehob'resinkil	chill
xb'e xam	chimneys
mach	chin
kakaw	chocolate
sikbil	choice
xsik'b'al	choose
yok'ok	chop
kanjel	chores
nim xtib'el	chubby
ochoch re tijok	church
kaneel	cinnamon
sursu	circle
na kulman	circumstances
komon	citizen
tenamit	city
xwech'b'al	claim
xcholob'ankil	clarify
tzolok	class
choch	clay
saq	clean
cholcho	clear
aj tz'iib'	clerk
chabil na kauxlak	clever
at komon	client
kubek	cliff
xb'e ha'	cliff
kutankil	climate
loch'teek	climb
letz letz	clingy
yehol hoonal	clock
xnatbaal	close
xokleb'aal	closet
tikr	cloth
pikbil	cloth
jayil t'ikr	cloth
tikr	clothes
choq	cloud
rubru	cloudy
aj k'ehol se'	clown
behil	clue
puch	clumsy
chuut	cluster
aj kawresinel	coach
ru xam	coal
re ha'	coast
raq	coat
xkolbaal rix	coat
kape	coffee
nawom rix	cognitive
juntaqeet	coincidence
ke	cold
xjnujak	collapse
kuxej	collar
ochbenej	colleague
komoneb	colleagues
xok	collect
xxokb'al	collection
tzolebaal	college
bonol	color
raxraj naq xwaj rik'in xjosq'il	colorless green ideas slept furiously
xb'onol	colour
yi rix	column
xjotbal ismal	comb
xrochbenil	combination
xtawb'al rib'	combine
chalk	come
kim arin	come here
yoo	come on
chabil wank	comfort
chabilk	comfortable
chiseb	coming
chalk re	coming soon
taq	command
aatin chirix	comment
aj kay	commercial
taqlankil	commission
xbanunkil	commit
wan sa aatin	commitment
cholchoru	committed
k'ay	commodity
kama'an	common
xyeebaal	communicate
xyeebal	communication
kalebaal	community
xik	commute
yeechiink	commute
jalok	commute
