mosi	a
mwa fioti	a little
mingi	a lot
mingi	a lot of
kuyambula	abandon
kuyambula	abandoned
kuzitisa	abide
makuki	ability
kukuka	able
pene-pene	about
kiteso ya	about
na zulu	above
na insi ya banzenza	abroad
kuvanda ve	absence
kuvanda ve	absent
mpidina mpenza	absolutely
kumina	absorb
ya ke monana ve	abstract
buzoba	absurd
mingi	abundance
mingi	abundant
kuniokula	abuse
mpasi	abuse
mutindu ya kutuba	accent
kundima	accept
nswa	access
kukota	access
aksida	accident
kisika ya kulala	accommodation
kusala	accomplish
salaka	accomplished
na kutadila	according
konte	account
busikisiki	accuracy
sikisiki	accurate
fundaka	accused
mpasi	ache
kumona mpasi	ache
kusala	achieve
kulungisa	achieve
kisalu	achievement
kundima	acknowledge
kuzaba	acquaintance
kuzwa	acquire
bakaka	acquired
kubaka kima	acquisition
na kati	across
kusala	act
kisalu	action
ya ke sala	active
bisalu	activities
kisalu	activity
acteur	actor
ya mpidina	actual
ya kieleka	actually
nsongi	acute
kuyikana	adapt
kuyika	add
mpika	addicted
kuyika	addition
ya nkaka	additional
adresi	address
kutubila	address
ya me fwana	adequate
kutalana	adjacent
adjectif	adjective
kubongisa	adjust
kusepela	admire
kundima	admit
kundima	adopt
kusumba	adopt
ya kitoko mingi	adorable
kukwenda na ntwala	advance
kuyela	advance
kukwenda na ntwala	advanced
lunta	advantage
nsaka	adventure
adverbe	adverb
piblisite	advertisement
kusala piblisite	advertising
ndongisila	advice
ndongisila	advise
avoka	advocate
kukotila	advocate
ya kitoko	aesthetic
diambu	affair
kuvanda na bupusi	affect
zola	affection
kupesa nzila	afford
ntalu ya mbote	affordable
boma	afraid
na nima	after
nima ya midi	afternoon
na nima	afterwards
diaka	again
kontre	against
mvula	age
kimvuka	agency
muntu ya kisalu	agent
mumonisi	agent
makasi	aggressive
ya ke nikana	agile
me luta	ago
kundima	agree
kuwakana	agreement
kisalu ya bilanga	agriculture
na ntwala	ahead
lusadisu	aid
kukana	aim
mupepe	air
aeroport	airport
nzila	aisle
lukebisu	alarm
malafu	alcohol
kukebisa	alert
na luzingu	alive
yonso	all
yo kele mbote	all right
mono ke zodila nge mambu ya mbote	all the best
kupesa nzila	allow
pesaka nswa	allowed
bonso	almost
yandi mosi	alone
kumosi	along
deja	already
Nge me sala mbote	Alright
diaka	also
ya nkaka	alternative
ata mpidina	although
ntangu yonso	always
kele	am
ya kitoko	amazing
ya ke zabana ve	ambiguous
lukanu	ambition
lulendo	ambitious
amande	amend
na kati	amid
na kati ya	among
kati na beto	among us
ntalu	amount
kusakana	amusing
mosi	an
kutadila	analysis
ba-nkaka	ancestors
nlongo	anchor
ya ntama	ancient
mpi	and
ebuna nge	and you
wanzio	angel
makasi	anger
kinkonko	angle
makasi	angry
mbisi	animal
cheville	ankle
aniversere	anniversary
luzayisu	announcement
kuyangisa	annoy
kuyangisa	annoyed
kuyangisa	annoying
konso mvula	annual
kuzaba kutuba zina	anonymous
ya nkaka	another
mvutu	answer
kupesa mvutu	answer
kutadila na ntwala	anticipate
susi	anxiety
susi	anxious
yonso	any
diaka ve	anymore
muntu yonso	anyone
konso kima	anything
ata mpidina to ve	anyway
kima ve	anyways
na lweka	apart
apartema	apartment
kulomba ndolula	apologize
ya ke monana	apparent
pululu	apparent
yo ke monana bonso	apparently
kulomba bo tadila diaka lukanu mosi	appeal
kusepedisa	appeal
kumonana	appear
kumonana	appearance
monanaka	appeared
nzala ya kudia	appetite
pomme	apple
demande	application
kusadila	apply
rendez-vous	appointment
lukutakanu	appointment
kusepela	appreciate
lukumu	appreciation
kupesa matondo	appreciation
kupusana	approach
mutindu ya kusala mambu	approach
ya me fwana	appropriate
kundimama	approval
kundimama	approve
ndimaka	approved
kiteso ya	approximately
avril	april
kaka mpidina	arbitrary
architekte	architect
arshitekte	architecture
bima ya ntama	archive
kele	are
nge kele	are you
nge kele ti bisalu mingi	are you busy
nge me balaka	are you married
nge me kwelaka to nge ke mpumpa	are you married or single
Beno kele kaka kuna?	Are you still there?
nge kele kuna	are you there
kisika	area
kuswana	argue
kuswana	argument
kubasika	arise
diboko	arm
makesa	army
na nziunga	around
kuyidika	arrange
ngidika	arrangement
kukwisa	arrival
kukuma	arrive
kumaka	arrived
lulendo	arrogant
tolotolo	arrow
kisalu ya maboko	art
kima	article
ya bantu me salaka	artificial
artiste	artist
bonso	as
na ntangu	as long as
mpi	as well
mpi	as well as
putulu	ash
nsoni	ashamed
kuyula	ask
yulaka	asked
kulala mpongi	asleep
mutindu	aspect
Kiassamese	Assamese
kunwanisa	assault
dibundu	assembly
kuditudila ntima	assertive
kutadila	assess
kutadila	assessment
bima	asset
bima ya nge kele na yo	assets
kupesa	assign
kisalu	assignment
kusadisa	assist
kilandi	assistant
kuvukana	associate
kuvukana ti	associated
kimvuka	association
kuyindula	assume
kuyindula	assumption
ata	at least
diaka	ate
muntu ya ke bulaka nkweso	athlete
kukangisa	attach
kukangama	attached
kima ya bo me yika	attachment
kunwanisa	attack
meka	attempt
kumeka	attempt
kuvukana na	attend
kukwisa	attendance
dikebi	attention
nkadilu	attitude
kubenda	attract
kima ya ke benda	attraction
ya ke benda dikebi	attractive
kupesa	attribute
bawi	audience
ngonda ya nana	august
tata-nkento	aunt
tata-nkento	aunty
ya masonga	authentic
munkwa	author
kiyeka	authority
automne	autumn
yo kele	available
moyenne	average
kutina	avoid
kubuya	avoid
kusikama	awake
lufutu	award
kuzaba	aware
kuzaba	awareness
ntama	away
kitoko mingi	awesome
ya ke pesa boma	awful
kisaka-saka	awkward
mbi	awkward
Kiaymara	Aymara
bebe	baby
mpumpa	bachelor
nima	back
nima	background
mbi	bad
saki	bag
mpambu	bait
kuyoka	bake
kisika bo ke salaka mampa	bakery
bikarbonade	baking soda
mbongo ya me bikala	balance
kuvanda na bukatikati	balance
ballon	ball
Kibambara	Bambara
mankondo	banana
kimvuka	band
makelele ya ngolo	bang
banki	bank
nti	bar
mbala mingi ve	barely
ntalu ya mbote	bargain
makelele	bark
kuganga	bark
orge	barley
lupangu ya ke kanga nzila	barrier
kisina	base
na kutadila	based
nsi ya ntoto	basement
ya mfunu	basic
mingi-mingi	basically
basilic	basil
mwana-makangu	bastard
kimvuka	batch
kuyobila	bath
doushe	bathroom
baterie	battery
mvita	battle
dibungu	bay
kukala	be
kuvanda	be
vanda mayele	be careful
dibungu	beach
dikunzi	beam
madesu	beans
ours	bear
kunata	bear
mandefu	beard
bikalulu	bearing
mbisi	beast
nunga	beat
kubula	beat
kitoko	beautiful
kitoko	beauty
kumaka	became
sambu	because
kukuma	become
mbeto	bed
shambre	bedroom
dimvumvu	bee
ngombe	beef
vandaka	been
malafu	beer
na ntwala	before
yantikaka	began
kuyantika	begin
luyantiku	beginning
zina ya	behalf
mutindu ya kusala mambu	behave
kikalulu	behavior
kikalulu	behaviour
na nima	behind
kuvanda	being
kundima	belief
lukwikilu	belief
kukwikila	believe
divumu	belly
kuvanda ya	belong
ya bo ke zolaka mingi	beloved
na nsi	below
mukaba	belt
banki	bench
kubalusa	bend
na nsi	beneath
mambote	benefit
kubaka mambote	benefit
mambote	benefits
na lweka ya	beside
diaka	besides
ya kitoko kuluta	best
shanse ya mbote	best of luck
mambu ya mbote	best regards
mbote kibeni	better
na kati-kati	between
malafu	beverage
kuluta	beyond
Kibhojpuri	Bhojpuri
kupona-pona	bias
ya imbi	biased
velo	bicycle
kubinga	bid
nene	big
velo	bike
faktire	bill
kukanga	bind
ndeke	bird
lubutuku	birthday
mwa fioti	bit
kitini	bit
kutatika	bite
mputa	bite
ndudi	bitter
ndombe	black
kibende	blade
kupesa foti	blame
foti	blame
ya mpamba	blank
bulangeti	blanket
kufwa	blast
masa ya javel	bleach
kuvukisa	blend
kusakumuna	bless
kusakumuna	blessed
kifwa-meso	blind
kiese	bliss
kima ya ke kanga nzila	block
menga	blood
kubasisa bintuntu	bloom
kubula mupepe	blow
bleu	blue
ya kukonda makasi	blunt
bamfumu	board
maswa	boat
nitu	body
kutokisa	boil
kikesa	bold
kinduku	bond
mukwa	bone
kukanga kisika	book
mukanda	book
mingi	boost
kumatisa	boost
kokumisa ngolu	booster
boti	boot
baboti	boots
ndilu	border
kutobula	bore
kulembisa	bored
kulembisa	boring
kubutuka	born
kudefa	borrow
mfumu	boss
yonso zole	both
