muntu	a
tshintu	a
kakese	a little
bia bungi	a lot
bintu bia bungi bia	a lot of
kusundula	abandon
kusundula	abandoned
kulekela	abandoned
kufuanangana	abide
bukola	ability
udi mua	able
bua	about
pa mutu pa	above
ku babenda	abroad
kubenga kwikala ku	absence
kumbuka	absent
amu nanku	absolutely
kunua	absorb
malu adi kaayi umvuika	abstract
kabiena biunvuika	absurd
bungi	abundance
biabungi	abundant
kunyanga	abuse
kutamba kuakwila	accent
kwitaba	accept
kubuela	access
njiwu	accident
kusombesha mu nzubu	accommodation
bilondeshila	accommodation
kuenza	accomplish
bienza	accomplished
bilondeshila	according
mushinga	account
kubala	account
lungenyi	accuracy
mijalame	accurate
kufunda	accused
bubi	ache
kujikija	achieve
dienza	achievement
kumanya	acknowledge
dimanya	acquaintance
kupeta	acquire
bipeta	acquired
kupeta	acquisition
kuangata	acquisition
ku pitshila	across
mukenji	act
kuenza	action
wenza mudimu	active
midimu	activities
mudimu	activity
muenji wa filime	actor
mpindieu	actual
mu bulelela	actually
lelu	actually
musongeka	acute
kushintulula	adapt
kukumbaja	add
misuikibua	addicted
kukumbaja	addition
bikuabu	additional
adrese	address
mwimpa	adequate
mukumbana	adequate
kutuangana	adjacent
tshilejelu	adjective
kululamija	adjust
kusanka ne	admire
kwitaba	admit
kuangata	adopt
bilenga bilaya	adorable
kuya kumpala	advance
kuya kumpala	advanced
diakalenga	advantage
malu a njiwu	adventure
tshiambilu	adverb
piblisite	advertisement
mikenji	advertising
mubelu	advice
mubedi	advise
Mulumbuluidi	advocate
bilengejelu	aesthetic
bualu	affair
kubungama	affect
dinanga	affection
kuanyisha	afford
kusomba ni bantu	affordable
buôwa	afraid
panyima	after
sendamu wa diba	afternoon
pashishe	afterwards
kabidi	again
kubenga	against
bidimu	age
tshibambalu	agency
bena mudimu	agent
mwena lonji	aggressive
kunyungakana	agile
kukadi	ago
kwitaba	agree
diunvuangana	agreement
mianda ya kudima	agriculture
kumpala	ahead
diambuluisha	aid
tshipatshila	aim
lupepa	air
