ani	a
kalsan	abandon
kalsan	abandoned
awmpui	abide
theihna	ability
thei	able
lam	about
chungah	above
ramdang	abroad
suangtuahna	abstract
ho	absurd
indaih	abundance
hnianghnar	abundant
tiduhdah	abuse
awphawi	accent
pawm	accept
lut	access
chesual	accident
chenna	accommodation
hlenchhuak	accomplish
hlenchhuak	accomplished
milin	according
puh	accused
na	ache
hlawhchhuak	achieve
hlawhtlinna	achievement
hriatpui	acknowledge
hmelhriat	acquaintance
nei	acquire
nei	acquired
paltlang	across
thilti	act
thiltih	action
harhvang	active
thiltihte	activities
thiltih	activity
lemchangtu	actor
insiamrem	adapt
belh	add
ngawlvei	addicted
belhna	addition
belhna	additional
indawt	adjacent
insiamrem	adjust
ngaisang	admire
pawm	admit
chhawm	adopt
hamthatna	advantage
fakna	advertisement
fakna	advertising
thurawn	advice
finchhuah	advise
sawisaktu	advocate
thiltih	affair
nghawng	affect
ngaihsakna	affection
tlin	afford
hlau	afraid
hnuah	after
chawhnu	afternoon
leh	again
kalh	against
kum	age
thawktu	agent
tawrawt	aggressive
inthazo	agile
pawmpui	agree
inremna	agreement
hmalam	ahead
chu aiah chuan	instead of
anih aia hmu hniam	underrated
pakhat aia tam	plural
noun aiawhtu	pronouns
tanpuina	aid
tin	aim
mi a	insane
boruak	air
kalkawng	aisle
inhmuh a khat hle mai	long time no see
ralkhel	alarm
zu	alcohol
inring	alert
tlemtein	a little
nung	alive
zavai	all
phalsak	allow
phal	allowed
teuh	almost
zuiin	along
diam	already
pawh	also
tlukpui	alternative
englaipawhin	always
ni	am
mak	amazing
thiltum	ambition
tumruh	ambitious
siamtha	amend
karah	amid
zingah	among
belhkhawm	amount
hlimawm	amusing
chu	an
chik	analysis
thlahtute	ancestors
innghahna	anchor
hmanlai	ancient
leh	and
vantirhkoh	angel
thinrimna	anger
dan angin	legal
dan ang	legit
thinrim	angry
lo ang	won't
ransa	animal
champhaphak	anniversary
thupuan	announcement
tibuai	annoy
kumtin	annual
adang	another
chhanna	answer
ringlawk	anticipate
hlauhthawnna	anxiety
zam	anxious
engpawh	any
tihbelh	anymore
tupawh	anyone
engpawh	anything
engpawhnise	anyway
hrang	apart
pindan	apartment
danin a phut	mandatory
ngen	appeal
langchhuak	appear
landan	appearance
langchhuak	appeared
Kan app i hman avangin kan lawm e	Thanks for using our app
apple	apple
dilna	application
dil	apply
hunruat	appointment
lawm	appreciate
lawmpuina	appreciation
hmachhawn	approach
inmil	appropriate
nemnghehna	approval
remti	approve
pawmpui	approved
vel	approximately
april	april
duangtu	architect
dahthatna	archive
hi	are
hmun	area
hnial	argue
inhnialna	argument
thochhuak	arise
ban	arm
sipai	army
vel	around
remfel	arrange
ruahmanna	arrangement
thleng	arrival
thleng	arrive
thleng	arrived
invaivung	arrogant
thal	arrow
themthiamna	art
thil	article
siamchawp	artificial
sai ar	turkey
angin	as
meivap	ash
zak	ashamed
zawt	ask
zawt	asked
muhil	asleep
hmelhmang	aspect
bei	assault
pungkhawm	assembly
thuduh	assertive
zirchiang	assess
tehna	assessment
thilhlu	asset
thilhlute	assets
ruat	assign
tihtur	assignment
tanpui	assist
tanpuitu	assistant
thawhpui	associate
inthlunzawmpui	associated
pawl	association
rindan	assumption
hmunah	at
engzat a tam	how many
khawi atanga lokal nge i nih	where are you from
internet atanga thil lachhawng	download
chumi atang chuan	furthermore
chhunglam atangin	within
ei	ate
infiammi	athlete
zawm	attached
zawm	attachment
bei	attack
bei	attempt
tel	attend
ngaihven	attention
hip	attract
hipna	attraction
hipna	attractive
hnamhnawih	attribute
ngaithlatu	audience
August	august
ni	aunt
nutei	aunty
hlang	authentic
ziaktu	author
thuneitu	authority
favang	autumn
remchang	available
chumi avangin	regarding
tlanglawn	average
hawisan	avoid
harh	awake
pe	award
ngaihven	aware
inhriattirna	awareness
hmundang	away
zahthlak	awkward
kar awl	gap
inkai awlsam	contagious
i awm em	are you there
boruak awm lohna	vacuum
an awm	there are
a awm	there is
thu awmze nei lo	colorless green ideas slept furiously
naute	baby
tlangval	bachelor
hnung	back
hnung	background
chhia	bad
ipte	bag
chawchah	bait
ur	bake
inbuktawk	balance
thilmum	ball
balhla	banana
pawl	band
luikam	bank
khuahkhirh	bar
dawn	bargain
bauh	bark
buh	barley
daltu	barrier
chhuat	base
