juon	a
jidik	a little
ekūt	a lot
elab	a lot of
kajool	abandon
kajool	abandoned
bokake	abide
loor	abide
maron	ability
maron	able
kin	about
ilōñ	above
jikin etolak	abroad
jako	absence
jako	absent
ejellok kajitōk	absolutely
jorom	absorb
juon men eo kwōj lomnak	abstract
jakōl	absurd
lūtōklok	abundance
elab	abundant
mantin kakkure	abuse
manne	abuse
kakkure	abuse
kakōlle	accent
bōke	accept
kōmelim	accept
bōke	access
kōmelim	access
anemwkōj	access
jidiklok in jorrāān	accident
mennin jibañ	accommodation
tōbrak	accomplish
ewōr an tōbrak	accomplished
ekkar	according
akkoun	account
jejjetin	accuracy
jejjetin	accurate
emōj nae ruen	accused
metak	ache
emetak	ache
tōbare	achieve
tōbrak	achievement
kile	acknowledge
jelā	acknowledge
juon eo emōj am loe	acquaintance
bōke	acquire
emōj bōke	acquired
bōke	acquisition
jikin eo rajet	across
ibelakin	across
kōmadmōd	act
kōmadmōd	action
ejejjet kutien	active
makūtkūt ko	activities
makūtkūt	activity
armij eo ej ikkure ilo pijaan alwōj	actor
lukkun	actual
jejjetin	actual
lukkun	actually
kauwōtata	acute
maroñ oktak	adapt
koba	add
añur	addicted
koba	addition
kobalok	additional
lelok	address
atorej	address
ebwe	adequate
iturin	adjacent
naan in kōmelele	adjective
kajimwe	adjust
nebar	admire
kamool	admit
kwalok	admit
kōkkaajiriri	adopt
kōjerbal	adopt
mōman	adorable
lelok	advance
lablok	advance
woñmaanlok	advance
utiejlok	advanced
jibañ	advantage
makūtkūt	adventure
kareelel	advertisement
kareelel	advertising
jibañ	advice
lelok melele	advice
rōjañ	advice
rōjañ	advise
armij eo ej lelok rōjañ	advocate
rōjañ	advocate
aeboojoj	aesthetic
jerā	affair
jerbal	affair
lelok lomnak	affect
emlok	affection
kolla onean	afford
emmon wonnen	affordable
aliklik	afraid
mijak	afraid
alikin	after
raelap	afternoon
tokelik	afterwards
bar juon	again
nae	against
joñan iiō	age
opij	agency
rikōmadmōd	agent
kōmakoko	aggressive
util	agile
bidodo an makūtkūt	agile
jemaan	ago
errā	agree
kwōn	agreement
jikin atake	agriculture
imaan	ahead
jibañ	aid
kōtōbar	aim
mejatoto	air
jikin an baluun kelak	airport
tuwa	aisle
kōjella	alarm
arkool	alcohol
kōjellā	alert
emour	alive
aoleb	all
eokwe emmon	all right
jerammon ilo aoleb men wōt em jej	all the best
kōtlok	allow
kōmelim	allow
emōj kōmelim	allowed
mōttan jidik	almost
enañin	almost
make iaō	alone
ibben	along
iturin	along
ededelok	already
emōj	already
Eman	Alright
bareinwōt	also
im bar	also
bar juon	alternative
bōtab	although
jekdoon	although
ak	although
aoleb ien	always
kabwilōñlōñ	amazing
lōñ mweñan	ambiguous
kōttōpar	ambition
ewōr an kōtōbar	ambitious
kōkmanmanlok	amend
ibben	amid
ilo	amid
ibwiljin	among
armij ro ibbed	among us
joñan	amount
kōjak	amusing
juon	an
etale	analysis
rūtto ro etto	ancestors
añkō	anchor
mennin jemaan	ancient
im	and
im kwe	and you
enjel	angel
illu	anger
jekjekin	angle
illu	angry
menninmour	animal
kwolele in ne	ankle
ien kōjerammon	anniversary
kōjellā	announcement
kakitōtō	annoy
kitōtō	annoyed
kakitoto	annoying
aoleb iiō	annual
ejab walok wōn armij eo	anonymous
bar juon	another
uwaake	answer
uwaak	answer
antoone	anticipate
abnōnō	anxiety
inebata	anxiety
abnōnō	anxious
inebata	anxious
jabdewōt	any
kiō	anymore
jabdewōt armij	anyone
jabdewōt	anything
jekdoon	anyway
ak	anyway
jekdoon ak	anyways
rājet	apart
mon jokwe	apartment
jolok bōd	apologize
einwōt	apparent
