Yembo	a
Bilifou	a little
wusgo	a lot
Bond wusg	a lot of
N base	abandon
basbo	abandoned
In winlgé	abide
Toongo	ability
Kato	able
Kitamin	about
Bũmb faa zouguin	above
Yibéoogo mnonga	abroad
Ka wa yé	absence
Sin pa wa	absent
Ha Inti ta teka	absolutely
Guinsé	absorb
Sẽn ka tõe n gadenga	abstract
Ka vooré	absurd
Belem	abundance
Soman	abundant
yõsgre	abuse
Tiki	accent
Saké	accept
Tarsoré	access
sãpogre	accident
Reegé sando	accommodation
N pidsi	accomplish
Sida	accomplished
San ya ne	according
Bingr_zinga	account
Mak n zemga	accuracy
Bou mingré	accurate
rondé	accused
Zabdem	ache
Inta	achieve
manesgo	achievement
N bãnge	acknowledge
bãngre	acquaintance
N paame	acquire
minim	acquired
Paoongo	acquisition
Sintou	across
tõogo	act
mansem	action
Sẽn tʋmda	active
Touma	activities
toumdé	activity
Oub-ramba	actor
Sida	actual
Bala	actually
Silinga	acute
Minim	adapt
N paase	add
Sominga	addicted
Paasga	addition
Sin paasda	additional
Fo zinga	address
Sẽn zemga	adequate
Sin yekda	adjacent
yalenga	adjective
N paase	adjust
Pingui	admire
N sake	admit
Saki	adopt
Taryamleoogo	adorable
Nanda	advance
Sẽn zãage	advanced
Nafa	advantage
weoogo	adventure
Tununga	adverb
piuugu	advertisement
Wiliguemenga	advertising
Saglega	advice
Sagenda	advise
boukaooda	advocate
Nagme	aesthetic
yelle	affair
Teemzinga	affect
nonglem	affection
Songtiyi	afford
Sakda touma	affordable
Yaiisé	afraid
Loogre poore	after
wĩndiga	afternoon
Bilifou	afterwards
Yaasa	again
Pasaké	against
Youmdé	age
Toumd zinga	agency
Toumtoumda	agent
Zab-zabda	aggressive
Bon boné	agile
In bé	ago
Saké	agree
Sakré	agreement
Koobo	agriculture
taoore	ahead
Songré	aid
tulsem	aim
pemsem	air
Silig pougo	airport
Kengé	aisle
Kunga	alarm
Raam beesé	alcohol
Wilig pinda	alert
Vɩɩga	alive
Faan	all
Sakamin	all right
Mam daab fan	all the best
Songtiyi	allow
Sor sẽn kũ	allowed
Wenda	almost
a yé	alone
A woglema	along
Woto	already
Soma	Alright
Sin paasde	also
Lɛtenga	alternative
Baa ne rien fan	although
Wakat fan	always
Be	am
Patindyé	amazing
Naaga taaba	ambiguous
nangré	ambition
Mag bɛd soaba	ambitious
tedgé	amend
Souka	amid
Souka	among
Tond souka	among us
Ligdan	amount
Tar-reem	amusing
Ye	an
wegsé	analysis
Yaab ramba	ancestors
Kout zisgo	anchor
Koudré	ancient
Nin	and
La foo	and you
Malek	angel
Soun yikri	anger
Pinka	angle
Souyikri	angry
Rounga	animal
Naosinkemdé	ankle
Ro-daare	anniversary
Wilgui	announcement
Pakre	annoy
Soun yikri	annoyed
Katoumdé	annoying
Yʋʋmd fãa	annual
Sin solgé	anonymous
A to	another
Lokré	answer
Pindi dendé	anticipate
Kulsem	anxiety
Rabeem	anxious
A soab fan	any
paasga	anymore
Neda yaare	anyone
Sin yi a soab fan	anything
Sin yasoab fan	anyway
Sen yaa soab fan	anyways
San ka	apart
Zag ganga	apartment
N kos sugri	apologize
Sin wind	apparent
Yaa wa	apparently
Boolé	appeal
Pouki	appear
Wilgo	appearance
Minem	appeared
Rii yamléoogo	appetite
Pɔme	apple
Kon minga	application
Maan soma	apply
Id kon taabseka	appointment
Piangé	appreciate
Pingbo	appreciation
Kolgé	approach
Bangué	appropriate
Yam sakre	approval
sakre	approve
Saké	approved
mamsga	approximately
Tuul nif kiuugu	april
Yam dabo	arbitrary
Meeb taor soaba	architect
Meeb nin bon naadi	architecture
Yel-kʋda	archive
Yaa	are
Fo be …	are you
Fo tara toumd la	are you busy
Fo kin kadem	are you married
Fo kãadmamebɩ fo yaa ra-kõore	are you married or single
Yamb keta ka	Are you still there?
Fo beeme	are you there
zĩiga	area
Gom-n-lubga	argue
No-koeemde	argument
Lingi yi	arise
nugu	arm
Tingaanbani	army
Singuilgui	around
Wingligi	arrange
Manegré	arrangement
Taabo	arrival
Wooko	arrive
taabo	arrived
Yʋ-baooda	arrogant
Piinm	arrow
Toumdé	art
Yʋʋr bila	article
Nissaal sin maané	artificial
Reem deemda	artist
Wala	as
San pa	as long as
Sin paasé	as well
Né a	as well as
Tompinkem	ash
Yandé	ashamed
Souké	ask
souké	asked
Gounsi	asleep
nenga	aspect
Aymarendo	Assamese
Kin	assault
zama	assembly
Pa sak nana	assertive
N mage	assess
Magué	assessment
Ligd t ʋmdga	asset
Tuuda	assets
kon	assign
Toum wengin	assignment
Songé	assist
Songré	assistant
Sen naage	associate
Sẽn naage	associated
Lagemintaaré	association
San maké	assume
Ragin	assumption
Baa sã	at least
A rɩɩme	ate
Zoéta	athlete
sinbé	attach
Sẽn be pʋgẽ	attached
Nind sen tolgé	attachment
Winbo	attack
Mamsego	attempt
Yii kaset ne	attend
Belembé	attendance
Gous-menga	attention
Mane_sem	attitude
Booda	attract
Tar yamleogo	attraction
Kont raabo	attractive
yaagnin	attribute
Zamaan zãnga	audience
Sa sik kiougou	august
Pogdba	aunt
Pogdba	aunty
Sẽn lebe	authentic
Gʋlsda	author
Taoor saoba	authority
N so menga	autumn
Beemin	available
Pouisouka	average
Gounss	avoid
Wisgré	awake
Waoogé	award
Taryam	aware
Tags	awareness
Zanrem	away
Somba	awesome
Rabeem	awful
Ka tirga	awkward
Assamaido	Aymara
Bipeelga	baby
Rakonré	bachelor
Pooré	back
Sẽn be poorẽ	background
Wenga	bad
korgo	bag
Pog gnongsa	bait
ruge	bake
Bour koosg zinga	bakery
Bicarbonad	baking soda
Zem-taare	balance
Gong-nepemsem	ball
Bambarande	Bambara
bordi	banana
Souli	band
Win	bang
Ligd baoré	bank
Ranm ziinga	bar
Sẽn na sɩng bala	barely
sore	bargain
Wessé	bark
Roums riibo	barley
Bindgo	barrier
Basda	base
Sinbé	based
Tinga pougin	basement
Sẽn ka zem bũmbu	basic
Tifan	basically
Yilinyuuga	basil
Koinbré	bastard
Souli	batch
Soubo	bath
Ko-solsga	bathroom
Batéri	battery
Teegré	battle
Ti bila	bay
Bebé	be
Guus if menga	be careful
Sin pa to	beach
Sen vili wogdo	beam
Benga	beans
Rounga	bear
Toɛɛnga	beard
Paam tiim	bearing
yalma	beast
Maon	beat
Neeré	beautiful
Ninrem	beauty
Sin lebgé	became
Bala	because
Lebgé	become
gaaga	bed
Roganga	bedroom
Sin	bee
naafo	beef
Ra yii	been
Ranm	beer
Nand ti pa ta	before
A singamin	began
Tolongo	begin
Sɩngre	beginning
Ne wendé	behalf
Men-zãare	behave
Yalsé	behavior
Manes damba	behaviour
Pooré	behind
Bebé	being
Tinbo	belief
Tinbo	believe
Pouga	belly
N sooge	belong
Mnonga	beloved
tengre	below
Bon sinbdiga	belt
Zaooga	bench
Pondé	bend
Tẽngre	beneath
yõodo	benefit
yondo	benefits
Sẽn pẽlg ne	beside
Rin poore	besides
Winlgo	best
Wend kon zounoogo	best of luck
Ne waoore	best regards
Sãon	better
Souka	between
Zim	beverage
Rinpooré	beyond
Inde goam	Bhojpuri
Yĩnga (nɛda)	bias
Maan ti zemsé	biased
Weefo	bicycle
Kouni	bid
bedré	big
Weefo	bike
Faktɩʋʋre	bill
tonké	bind
Lioula	bird
Rog-daar tigri	birthday
Yaguinga	bit
N rũmi	bite
Tiisga	bitter
Sablega	black
Lamind	blade
N digi	blame
Peelga	blank
Fu-goabga	blanket
