uggwá	a
duá gorí	a little
becábic	a lot
becabecí	a lot of
félai zon	abandon
félai zon	abandoned
mani sola	abide
kaabeliyot	ability
layek	able
baabote	about
oure	above
bidec	abroad
gair háñziri	absence
gair hazer	absent
hamahá	absolutely
suñífela	absorb
khúlasa	abstract
saf no	absurd
bicí	abundance
becí ase	abundant
zulúm gore	abuse
golot estemal gore	abuse
lahja	accent
kobul goron	accept
lootfa	access
mosibot	accident
tákibar zaga	accommodation
furagora	accomplish
fura oíye	accomplished
mozin	according
ekóon	account
soíyi on	accuracy
sóiyi	accurate
nalic goijjé	accused
béta	ache
hañsel gora	achieve
hañsel gora	achievement
ekerargor	acknowledge
foríso	acquaintance
hañsel gora	acquire
hañsel goíjjil	acquired
haçsel gora	acquisition
outto gori	across
kanun	act
ham	act
karwaiyi	action
salu	active
ham ókkol	activities
ham	activity
ekthár	actor
ham goroya	actor
asól	actual
hakikí	actually
becí	acute
manílon	adapt
zomagor	add
lagí take	addicted
zoma goróon	addition
ezáfi	additional
thíkana	address
kaafi	adequate
dháke bazáiya	adjacent
gun buzade lofzó	adjective
thikgora	adjust
taarif gora	admire
cikar gor	admit
dahél gor	admit
nizorbana	adopt
ezzot gorefan	adorable
torki goron	advance
sámmezon	advance
torki óla	advanced
cuida	advantage
baháduri ham	adventure
lofzor hálot	adverb
elan	advertisement
élan	advertising
nosihot	advice
nosihot gora	advise
úkil	advocate
cúndor	aesthetic
maamela	affair
hóti gora	affect
ador	affection
hossá gori fara	afford
kimot difarefan	affordable
dhóraíye	afraid
baade	after
duñijja	afternoon
híyar bade	afterwards
abbar	again
khélaf	against
boc	age
éjensi	agency
dalal	agent
gáañr	aggressive
salú	agile
age	ago
razi oon	agree
razinama	agreement
álsac	agriculture
kétbari	agriculture
muúmmikka	ahead
modot	aid
moksót	aim
boiyar	air
éyarpóuth	airport
rasta	aisle
elarám	alarm
modh	alcohol
húñciar	alert
zinda	alive
hárr	all
thíkase	all right
har bálaíyi ók	all the best
ejazot doon	allow
ejazot diya giyé	allowed
tokoriban	almost
ekéla	alone
agagura	along
ehon	already
thíkasé	Alright
yó	also
bodola	alternative
zodiyó	although
hámica	always
asi	am
ammuíkka	amazing
zíyanor maáni mockil	ambiguous
uñca erada	ambition
dhor hímmot óla	ambitious
meramot gora	amend
bútore	amid
boótzonor maze	among
añárar maze	among us
mikdar	amount
kúcidefan	amusing
uggwá	an
tofsili cek goróon	analysis
fissán ókkol	ancestors
zaáñs ór nogol	anchor
furan	ancient
ar	and
arde	and
ar tuñí	and you
fírista	angel
guccá	anger
kuna	angle
gússa	angry
janúwar	animal
sulgirá	ankle
bosóri yíad	anniversary
élan	announcement
bezar gora	annoy
bezar oíye	annoyed
bezar douya	annoying
bosóri	annual
namsára	anonymous
arekgwá	another
juwab	answer
andazgorá	anticipate
sinta	anxiety
ferecan	anxious
zehonó	any
aró kessú	anymore
zehoníkka	anyone
zehonó kessú	anything
honobote	anyway
zehono bote	anyways
alok	apart
epáthmen	apartment
maafson	apologize
forickar	apparent
sáf gorí	apparently
dorhás goron	appeal
hazer oon	appear
muk	appearance
hazer oon	appearance
hazer oíye	appeared
búk	appetite
sép gula	apple
dorhás	application
dorhás goron	apply
mulákat	appointment
taarif goró	appreciate
taarif	appreciation
torika	approach
munasef	appropriate
kobul gora	approval
kobul on	approve
kobul goijje	approved
tokoriban	approximately
Ipril	april
monzokká	arbitrary
bildhíng ór cokól dhizáin goróya	architect
arkiték or elóm	architecture
kopí gorí raka	archive
oí	are
tuñí ki	are you
tuñí ki mocgul neki	are you busy
tuñí ki biyata ne	are you married
tuñí biyata naki aabiyata	are you married or single
Tuñí ki ehonó eçe aso ne?	Are you still there?
tuñí ki héçe aso	are you there
elaka	area
bohósgor	argue
bohósgorá	argument
uçé	arise
dhuwáñ	arm
militari	army
ateface	around
entezamgora	arrange
entezam	arrangement
foñsa	arrival
foóñse	arrive
foóñisse	arrived
bod mejaz	arrogant
tiír	arrow
fón	art
nokcótula	art
ziníc	article
mozmún	article
nokol	artificial
sába tulóya	artist
zendilla	as
zotokkal	as long as
endhilla	as well
sáñte sáñte	as well as
sáí	ash
corminda	ashamed
fus goron	ask
suwal goíjjil	asked
gúm	asleep
nozoriya	aspect
Assamese zuban	Assamese
doró maramari	assault
mujilís	assembly
élan gorede	assertive
cek gorá	assess
cek gorá	assessment
sombottí	asset
cómbotti	assets
ham díya	assign
ham	assignment
modot gora	assist
modot goroiya	assistant
taaluk gore	associate
taaluk oíye	associated
taaluk	association
tonzim	association
guman gora	assume
mani lon	assumption
bútore	at
homas hom	at least
hai felaiye	ate
kéloya	athlete
laga	attach
lagaíya	attached
lagaiyahabos	attachment
hámla	attack
kúcic goron	attempt
hazer oon	attend
hazeri	attendance
díyan	attention
habbab	attitude
díl thana	attract
dilcospi	attraction
díl tanefan	attractive
sifot	attribute
fúnoya	audience
ogós	august
fuú	aunt
hála	aunt
sañsi	aunty
mami	aunty
hála	aunty
hákiki	authentic
lekóya	author
hókumot	authority
cíthal or cúru	autumn
faaza	available
goraínna	average
baso	avoid
séton	awake
enam	award
húñciar	aware
húñciari	awareness
dure	away
cúndor	awesome
dhor lage fán	awful
behatúra	awkward
Aymara zuban	Aymara
baícca	baby
aabíyata	bachelor
besélor digrí óla	bachelor
físsa	back
fisórzobin	background
hóraf	bad
beg	bag
lepon	bait
séñka	bake
bekarí	bakery
séñkibar cúdha	baking soda
baki thiañ	balance
boól	ball
Bambara zuban	Bambara
kela	banana
dhaí	band
dúm dúm baijja	bang
beéng	bank
hálor hañsa	bank
córab hána	bar
honobote	barely
dorádorí	bargain
gaw gaw gora	bark
gíñyur hána	barley
foroda	barrier
buniyad	base
buníyadot	based
nísor thala	basement
bunyadi	basic
asási hísafe	basically
fudína fata	basil
zargwá	bastard
dhai	batch
gusól	bath
gusólhána	bathroom
bethári	battery
laraí	battle
doijjar góula	bay
ó	be
huñcíar oíba	be careful
doijjar sor	beach
coçok	beam
sóñi	beans
zormo díya	bear
boói loiza	bear
dari	beard
boí loízar	bearing
janúar	beast
maroon	beat
cúndor	beautiful
cúndoijjo	beauty
bonigiíl	became
kiyóllahoilé	because
bonigíye	become
bisana	bed
gumzaíbar kamra	bedroom
bodúfuk	bee
gorur gussó	beef
oíye	been
bálluk	beer
age	before
cúrugoíjjil	began
cúrugora	begin
cúrugora	beginning
torfórtu	behalf
solon	behave
háslot	behavior
salsolon	behaviour
físe	behind
oon	being
Iman	belief
biccác	belief
biccac gora	believe
tolfeth	belly
ór	belong
taaluk	belong
adoijja	beloved
níse	below
duali	belt
bangkú	bench
beñha gora	bend
níse	beneath
faáida	benefit
cuída ókkol	benefits
faída ókkol	benefits
dhahe	beside
iín baade	besides
behétor	best
húc nosíb ók	best of luck
sólam loí	best regards
aro beci bála	better
duizonor maze	between
gaásór fani	beverage
baáre	beyond
Bhojpuri zuban	Bhojpuri
fokkó badi	bias
fokkóbadi	biased
théng saikél	bicycle
hokúm gora	bid
nílam daka	bid
dhoóñr	big
baík	bike
bil	bill
bañdon	bind
faik	bird
zormo tarík	birthday
hojjíl	bit
tukuça	bit
hooñrmar	bite
tita	bitter
hala	black
blédh	blade
elzam	blame
háli	blank
kombol	blanket
buúm fúçon	blast
cáda goron	bleach
míyaí fela	blend
borkot dók	bless
borkoti	blessed
añdá	blind
cúk	bliss
ruké	block
lou	blood
fúl fuça	bloom
hamla goron	blow
boíyar bon	blow
asmani rong	blue
búta	blunt
búdh	board
buth	boat
jisím	body
híñza	boil
hímmot óla	bold
bañda	bond
áñdhdhí	bone
kítab	book
coktí baron	boost
bústhar	booster
buth zuta	boot
buth zuta	boots
boóudhár	border
bezar gora	bore
bezar oiye	bored
bezar douya	boring
zormo oíye	born
údar gora	borrow
boós	boss
dunu gan	both
dunu jon	both
bezar gora	bother
botol	bottle
níse	bottom
kínnil	bought
waapes fáldai uçé	bounce
toíyar	bound
bañda	bound
címana	boundaries
niyu re	bow
gaála	bowl
kuththa	box
morot fua	boy
morot fuwa dusto	boyfriend
átor háru	bracelet
demak	brain
hissa	branch
márha	brand
hímmot óla	brave
nomana	breach
rutí	bread
bañgon	break
bínnar nasta	breakfast
dut	breast
niáñc	breath
niáñclo	breathe
zormi díya	breed
ith	brick
bou	bride
ful	bridge
muktosor	brief
foór	bright
zóhin	brilliant
aná	bring
baí	bro
boro	broad
fataírja	broad
hóbor ho	broadcast
bañígilde	broke
bañgga	broken
zañdha	broom
báí	brother
boín zamaí	brother in law
talto baí	brother in law
aínne	brought
badami rong	brown
brac	brush
balti	bucket
dusto	buddy
bajéth	budget
lok fuk	bug
ahám manuíc	bug
