veháš	a little
olu	a lot
olu	a lot of
hilgut	abandon
hilgojuvvon	abandoned
gierdat	abide
máhttu	ability
sáhtteš	able
bajábealde	above
olgoriikkas	abroad
eretorrun	absence
eretorru	absent
eandalii	absolutely
njammásit	absorb
abstrákta	abstract
mielaheapme	absurd
vallji	abundance
vallji	abundant
illastit	abuse
akseanta	accent
dohkkehit	accept
geavahit	access
geavaheapmi	access
lihkohisvuohta	accident
orrun	accommodation
čađahit	accomplish
čađahuvvon	accomplished
mielde	according
konto	account
dárkivuohta	accuracy
dárki	accurate
áššáiduhtton	accused
bávččagit	ache
bávččas	ache
juksat	achieve
olahus	achievement
dovddastit	acknowledge
oahpis	acquaintance
háhkat	acquire
háhkkon	acquired
háhkan	acquisition
rastá	across
láhka	act
doaibma	act
doaibmat	act
doaibma	action
aktiivvalaš	active
doaimmat	activities
doaibman	activity
neavttir	actor
aitosaš	actual
iešalddes	actually
akuhta	acute
sajáiduvvat	adapt
lasihit	add
sorjavaš	addicted
lasáhus	addition
lasse-	additional
čujuhus	address
čujuhit	address
gelbbolaš	adequate
doarvái	adequate
bálddas	adjacent
adjektiiva	adjective
vuogáiduvvat	adjust
hervvošit	admire
mieđihit	admit
adopteret	adopt
sulolaš	adorable
ovdánit	advance
ovdáneapmi	advance
čiekŋudeaddji	advanced
ovdamunni	advantage
fearán	adventure
advearba	adverb
máinnus	advertisement
máinnusteapmi	advertising
ráva	advice
rávvet	advise
doarjaleaddji	advocate
doarjalit	advocate
estehtalaš	aesthetic
gaskavuohta	affair
váikkuhit	affect
gierisvuohta	affection
suitit	afford
hálbi	affordable
balus	afraid
maŋŋá	after
eahketbeaivi	afternoon
maŋŋá	afterwards
ođđasit	again
vuostá	against
ahki	age
doaimmahat	agency
virgeolmmoš	agent
spiovdna	agent
aggressiiva	aggressive
lášmat	agile
dassá	ago
leahkit ovttaoaivilis	agree
soahpamuš	agreement
eanadoallu	agriculture
ovddos	ahead
veahkki	aid
ulbmil	aim
áibmu	air
girdingieddi	airport
manahat	aisle
alárbma	alarm
alkohola	alcohol
vitmat	alert
ealli	alive
buot	all
heive	all right
buot buorit	all the best
diktit	allow
lobálaš	allowed
masá	almost
okto	alone
badjel	along
mielde	along
jo	already
čielggas	Alright
maiddái	also
molssaeaktu	alternative
vaikko	although
álo	always
lean	am
imašlaš	amazing
máŋggačilggolaš	ambiguous
gudneáŋgirvuohta	ambition
gudneáŋgir	ambitious
divodit	amend
siste	amid
gaskkas	among
min gaskkas	among us
mearri	amount
hearvái	amusing
analysa	analysis
máttut	ancestors
áŋkor	anchor
dološ	ancient
ja	and
naba don	and you
eŋgel	angel
suhttu	anger
čiehka	angle
suhtas	angry
ealli	animal
juolgeruohtas	ankle
mearkabeaivi	anniversary
almmuhus	announcement
hárdit	annoy
erdon	annoyed
givssálaš	annoying
jahkásaš	annual
namaheapmi	anonymous
nubbi	another
vástidit	answer
vástádus	answer
vuordit	anticipate
fuolla	anxiety
fuolas	anxious
mii beare	any
ii šat	anymore
gii beare	anyone
mii beare	anything
juohke dáhpáhusas	anyway
juohke dáhpáhusas	anyways
duohken	apart
bođuid	apart
visti	apartment
átnut ándagassii	apologize
oinnolaš	apparent
boasttooinnolaš	apparent
várra	apparently
doarjalit	appeal
ihtit	appear
bajiloaidnu	appearance
iđii	appeared
borranmiella	appetite
eppel	apple
ohcamuš	application
ohcat	apply
deaivvadeapmi	appointment
árvvoštit	appreciate
árvu	appreciation
lahkonit	approach
lahkonanvuohki	approach
vuogas	appropriate
dohkkeheapmi	approval
dohkkehit	approve
dohkkehuvvon	approved
sullii	approximately
cuoŋománnu	april
goanstadahkkon	arbitrary
arkiteakta	architect
arkitektuvra	architecture
arkiiva	archive
leat	are
leatgo don	are you
leago dus hoahppu	are you busy
leatgo náitalan	are you married
leatgo náitalan vai	are you married or single
Leatgo ain dieppe?	Are you still there?
leatgo dieppe	are you there
guovlu	area
ákkastallat	argue
digaštallat	argue
ágga	argument
riidu	argument
badjánit	arise
giehtaruohtas	arm
soahteveahka	army
birra	around
lágidit	arrange
ordnedeapmi	arrangement
joavdan	arrival
joavdat	arrive
joavddai	arrived
čeavlái	arrogant
njuolla	arrow
dáidda	art
artihkkal	article
geinnolaš	artificial
dáiddar	artist
artista	artist
go	as
nu guhká go	as long as
maiddái	as well
dego maiddái	as well as
gutna	ash
heahpanan	ashamed
jearrat	ask
jearai	asked
oađđimin	asleep
oaidninvuohki	aspect
assamagiella	Assamese
falleheapmi	assault
fallehit	assault
čoahkkin	assembly
iešsihkkar	assertive
árvvoštallat	assess
árvvoštallan	assessment
ovdu	asset
opmodat	assets
namahit	assign
bargogohčus	assignment
veahkehit	assist
veahkki	assistant
bargoskibir	associate
ovttastahttit	associate
laktáseaddji	associated
searvi	association
jurdit	assume
navddus	assumption
unnimustá	at least
borai	ate
valástalli	athlete
laktit	attach
čuovvusin	attached
mielddus	attachment
falleheapmi	attack
fallehit	attack
viggamuš	attempt
figgat	attempt
oassálastit	attend
oassálastin	attendance
fuomášupmi	attention
doaladupmi	attitude
geasuhit	attract
geasuhus	attraction
geasuheaddji	attractive
attribuhtta	attribute
geahččit	audience
guldaleaddjit	audience
borgemánnu	august
siessá	aunt
siessá	aunty
eakti	authentic
čálli	author
eiseváldi	authority
čakča	autumn
oažžumis	available
gaskaárvu	average
vealtit	avoid
gozuid alde	awake
bálkkašupmi	award
diđolaš	aware
diđolašvuohta	awareness
eret	away
hirbmat buorre	awesome
gáfat	awful
gággat	awkward
aimáragiella	Aymara
vávvá	baby
bárdneolmmoš	bachelor
ruovttoluotta	back
duogáš	background
fuotni	bad
lávka	bag
seakti	bait
láibut	bake
láibbohat	bakery
láibunbulvarat	baking soda
dásset	balance
dássedeaddu	balance
spábba	ball
bambaragiella	Bambara
banana	banana
joavku	band
dearpat	bang
báŋku	bank
bára	bar
illá	barely
soahpamuš	bargain
cielahit	bark
ciellan	bark
bivgi	barley
árru	barrier
vuođđu	base
leahkki	based
keallir	basement
vuođđo-	basic
oktageardán	basic
iešalddes	basically
basilikumma	basil
luovosmánná	bastard
earri	batch
lávgu	bath
basadanlatnja	bathroom
