with	a
chuku	a little
gbin	a lot
akaa ngee	a lot of
takera	abandon
hungurami	abandoned
dondu	abide
mdam	ability
fatyo	able
sha kwagh u	about
Taven Sha	above
tar u ke won	abroad
kera lu ga	absence
undu	absence
bunde	absent
her ga	absent
voogh	absolutely
nyôr	absorb
ityokyaangi ga	abstract
byumekwagh	absurd
gbin	abundance
kpishi	abundant
wuee	abundant
ngee	abundant
tuhwa	abuse
lamen	accent
rumun	accept
hunda	access
aaikyor	accident
ijiir I tsan	accommodation
kule	accomplish
er ishima	accomplished
er i tese	according
akauntu	account
shami voughur	accuracy
voogh	accurate
ikor	accused
mnyion	ache
kôrcio	achieve
akaa adzuan ami	achievement
lumun ami	acknowledge
orwam kpookpoo	acquaintance
yamen	acquire
yam	acquired
kwagh yamen	acquisition
across	across
er	act
er kwagh	action
eren tom her	active
akaa aeren	activities
tom	activity
or eren fiim	actor
kpôr kpôr	actual
sha kpôô	actually
taveraa	acute
gema gbenda	adapt
seer	add
isharen	addicted
seer	addition
seer	additional
adereshi	address
shamin voughur	adequate
ikyua	adjacent
mpase u akaa	adjective
sor	adjust
kenger	admire
lumun	admit
lumun	adopt
dondo	adopt
ngohol	adopt
dooshima	adorable
zahemen	advance
waa taver	advanced
Kôrcio	advantage
kwaghfan uhe	adventure
kwagh	adverb
kwagh yoon	advertisement
kasua u yôôn	advertising
Kwagh wan	advice
wa kwagh	advise
suen	advocate
iwuese ii mdoom	aesthetic
akaa eren	affair
bende	affect
dooshima	affection
doo	affection
fatyô u yahem	afford
inyaregh kuma	affordable
fatyô	affordable
cia	afraid
Sha	after
atetan	afternoon
Shighe kar yô	afterwards
kimbir	again
hwande	against
ayom	age
mzough	agency
orkuren	agent
sha utaha	aggressive
taver yol	agile
anyom kar	ago
rumun	agree
lumun	agreement
zwa mô	agreement
tomsule	agriculture
ken hemen	ahead
iwasen	aid
wase	aid
Úna	aim
awashima	aim
ahumbe	air
tashan u igirgi	airport
gbenda	aisle
cier yol	alarm
Ikyôhô	alcohol
luper	alert
tsevaa	alert
uma	alive
Cii	all
kashami	all right
kwagh a za i doo	all the best
na ian	allow
ian nan	allowed
ikyua ikyua	almost
tswen	alone
Vea	along
Ashen	already
ka sha mi	Alright
man shi	also
gbenda ugenegh	alternative
er	although
Hanma shie	always
ngu	am
cieryol	amazing
Kpiligh yol	amazing
atokyaa ngee	ambiguous
mhange	ambition
hange iyol	ambitious
sôr	amend
nahan	amid
ken	among
ken ato wase	among us
cica	amount
hom	amusing
un	an
mpase u kwagh	analysis
uter mbatsev	ancestors
amise	anchor
imande tso	anchor
tsev	ancient
Man	and
kua we	and you
ortyom	angel
yuwen	anger
ihshimayôôn	anger
vesegh u	angle
ishima-nyion	angry
inyam	animal
nguhar	ankle
mumbur	anniversary
kwagh yôôn	announcement
vihi ishima	annoy
ishima vihin	annoyed
nyion shima	annoying
haanma inyon	annual
ken myer	anonymous
igen	another
amsa	answer
mrumun	answer
ver ashe	anticipate
ishima nyian	anxiety
tsegher	anxious
hanma	any
mayange ga	anymore
hanma or	anyone
ma kwagh	anything
nahan cii	anyway
er i lu cii	anyways
kposo	apart
shio	apart
ya	apartment
you	apartment
anyi a yan	apologize
alaghga tsô	apparent
gadiyo	apparently
culecule	appeal
apii	appeal
Sôn	appeal
ande	appear
mluashe	appearance
ande	appeared
isharen	appetite
apple	apple
aplekeshen	application
sugh	application
er	apply
tom	appointment
Wuese	appreciate
iwuese	appreciation
mgbôghom	approach
