nnye	a little
thata	a lot
ntsi	a lot
tse dintsi	a lot of
tlogela	abandon
tlogela	abandoned
ikokobeletsa	abide
nna	abide
bokgoni	ability
kgona	able
ka ga	about
fa godimo	above
mosega	abroad
bo sa nneng teng	absence
tlhokafalo	absent
tota	absolutely
monyela	absorb
tshobokanyo	abstract
mo go se nang tlhaloganyo	absurd
motlele	abundance
go nna motlele	abundant
tshotlakako	abuse
sotlakaka	abuse
tsela ya go bua	accent
amogela	accept
fitlhelela	access
kotsi	accident
madulo	accommodation
fitlhelela	accomplish
fitlheletse	accomplished
go ya ka	according
akhaonte	account
ikarabela	account
nepo	accuracy
nepile	accurate
latofadiwa	accused
opa	ache
fitlhelela	achieve
phitlhelelo	achievement
amogela	acknowledge
motho yo o tlwaetsweng	acquaintance
fitlhelela	acquire
bone	acquired
pono	acquisition
kgabaganya	across
dira	act
tiragalo	action
matlhagatlhaga	active
ditiro	activities
tiro	activity
modiragatsi	actor
tota	actual
tota	actually
bogale	acute
go tlwaela	adapt
oketsa	add
tlwaetse	addicted
tlaleletso	addition
tsa tlaleletso	additional
aterese	address
bua le	address
lekane	adequate
mabapi	adjacent
letlhalosi	adjective
siamisa	adjust
kgatlhwa	admire
amogela	admit
amogela	adopt
ratega	adorable
tuelelopele	advance
pele	advance
tsweletse pele	advanced
molemo	advantage
tekelelo	adventure
letlhalosi	adverb
papatso	advertisement
papatso	advertising
kgakololo	advice
gakolola	advise
mmueledi	advocate
temogo ya bontle	aesthetic
morero	affair
maikutlo	affect
ama	affect
lerato	affection
kgona	afford
kgonega	affordable
tshogile	afraid
morago	after
motshegare	afternoon
morago ga moo	afterwards
gape	again
kgatlhanong	against
dingwaga	age
tsofala	age
mokgatlho	agency
modiredi	agent
dikgoka	aggressive
matšato	agile
fetileng	ago
dumelana	agree
tumelano	agreement
temothuo	agriculture
kwa pele	ahead
thuso	aid
maikaelelo	aim
mowa	air
boemelafofane	airport
aele	aisle
alamo	alarm
mokgosi	alarm
bojalwa	alcohol
ntlha	alert
tshela	alive
otlhe	all
go siame	all right
masego ke ao	all the best
letla	allow
letleletswe	allowed
batlile	almost
nosi	alone
bapa le	along
setse	already
go siame	Alright
gape	also
e nngwe	alternative
le fa	although
ka metlha	always
a	am
gakgamatsang	amazing
bokaopedi	ambiguous
keletso	ambition
lelela borena	ambitious
tlhabolola	amend
magareng ga	amid
ma gareng ga	among
magareng ga rona	among us
palo	amount
tshegisa	amusing
tshekatsheko	analysis
badimo	ancestors
maitsepelo	anchor
kgologolo	ancient
le	and
le wena	and you
moengele	angel
kgalefo	anger
khutlo	angle
galefa	angry
phologolo	animal
lengenana	ankle
letsatsi lamorago ga ngwaga la segopotso sa tiragalo nngwe	anniversary
kitsiso	announcement
tena	annoy
tenegile	annoyed
tena	annoying
ngwaga le ngwaga	annual
tlhokaina	anonymous
o mongwe	another
karabo	answer
solofela	anticipate
tlhobaelo	anxiety
tlhobaela	anxious
nngwe	any
se tlhole	anymore
mongwe le mongwe	anyone
sengwe le sengwe	anything
le gale	anyway
le gale	anyways
aroganeng	apart
folete	apartment
kopa maitshwarelo	apologize
bonagala	apparent
ekare	apparently
boikuelo	appeal
tlhagelela	appear
tebego	appearance
tlhageletse	appeared
keletso ya dijo	appetite
apole	apple
kopo	application
go kopa phatlha	apply
lebaka	appointment
itumelela	appreciate
itumelela	appreciation
tsela	approach
atamela	approach
matshwanedi	appropriate
tetlelelo	approval
letla	approve
letleletse	approved
e ka nna	approximately
moranang	april
ka boithatelo	arbitrary
moagiteke	architect
boagi	architecture
akhaefe	archive
o	are
a o	are you
a o tshwaregile	are you busy
a o nyetse	are you married
a o nyetse kgotsa ga o a nyala	are you married or single
A o santse o le foo?	Are you still there?
A o santse o le teng?	Are you still there?
a o teng	are you there
lefelo	area
ngangisana	argue
kganetsano	argument
nanoga	arise
letsogo	arm
sesole	army
dikologa	around
rulaganya	arrange
thulaganyo	arrangement
kgorogo	arrival
goroga	arrive
gorogile	arrived
ikgogomosa	arrogant
motsu	arrow
botsweretshi	art
letlhatlhelelo	article
e seng ya nnete	artificial
motsweretshi	artist
jaaka	as
fa fela	as long as
le	as well
gape le	as well as
molora	ash
swabile	ashamed
botsa	ask
boditse	asked
robetse	asleep
tebo	aspect
Assamese	Assamese
tlhaselo	assault
tlhasela	assault
kopano	assembly
itshola ka boitshepo	assertive
kgethisa	assess
sekaseka	assess
tshekatsheko	assessment
letlotlo	asset
asete	asset
letlotlo	assets
aba	assign
asaenemente	assignment
thuso	assist
mothusi	assistant
amana	associate
amangwa	associated
kamano	association
mokgatlho	association
tsaya	assume
go tsaya gore	assumption
kwa	at
bonnye	at least
jele	ate
moatelete	athlete
pataganya	attach
patagantswe	attached
patagano	attachment
tlhasela	attack
leka	attempt
sekegela tsebe	attend
tsena	attend
tseno	attendance
tshekegelo tsebe	attention
mokgwaselebo	attitude
gogela	attract
kgogedi	attraction
gogela	attractive
setlhaodi	attribute
boleng	attribute
balebeledi	audience
phatwe	august
rakgadi	aunt
mmangwane	aunty
ya nnete	authentic
mokwadi	author
bothati	authority
thata	authority
letlhabula	autumn
go gone	available
tlwaelesego	average
tila	avoid
tsogile	awake
kabelo	award
lemoga	aware
temogo	awareness
kwa kgakala	away
