kaisa	a
Khoroksa	a
masa	a
kisasa	a little
kwbangma	a lot
kwbangma	a lot of
yakarwi thangmani	abandon
khibi kwlangjak	abandoned
kok khwnai tongmani	abide
chukmung	ability
chukjak	able
no twiwi	about
sakao	above
phatar hathai	abroad
manjagwiya	absence
kwrwi wngmani	absence
manjakphailya	absent
kwrwi	absent
Ahaino	absolutely
bisingo kusubuisio	absorb
abstract	abstract
mwnwikothok	absurd
khurumpui	abundance
nangmani saibo bkwbang	abundant
satokmung	abuse
kok samani goron	accent
gosimani	accept
hablam	access
lahar patimung	accident
tongjaknai thiti khlaimani	accommodation
mungsaswk khlaimanmung	accomplish
accomplished	accomplished
hainohai	according
lekhama	account
kwkwrwk	accuracy
kosol	accurate
majra berjak	accused
samani	ache
manmung	achieve
manmung	achievement
gosimung rwmani	acknowledge
sinilaimani	acquaintance
manmani	acquire
manjak	acquired
paijak manwi	acquisition
gwnangwi	across
toke mwsamani	act
yapri	action
kwsrang	active
samung bwtangrok	activities
samung khlaimanirok	activity
toke mwsanaisa	actor
kubuio	actual
kubui sana thangkhe	actually
belaikheno	acute
gwdalwi namani	adapt
thepamani	add
loi yakarmaya wngmani	addicted
kwtharwmani	addition
teibo	additional
nikuma	address
kulokmani	adequate
nanglaijak	adjacent
adjective	adjective
jora bai gwdalwi tongma	adjust
naithokjakmani	admire
damani	admit
dottok naharmani	adopt
maya mannani chukjak	adorable
swkang bariya	advance
swkangjak	advanced
sep kaham	advantage
adventure	adventure
Samungni dal	adverb
awaimung	advertisement
awai khlaimung	advertising
dagimung	advice
kokbiti	advise
advocate	advocate
naithothok	aesthetic
patimung	affair
mari kwlaimani	affect
maya	affection
rang kwrwini bagwi mungsaswk paimaya wngmani	afford
pai manthokmani	affordable
kirijak	afraid
ulo	after
dipor	afternoon
yagulo	afterwards
teisa	again
kebengwi	against
umor	age
khajak kaisa motha eba baniya	agency
agent	agent
jolikwrak	aggressive
Kwsrang	agile
swkango	ago
gosimani	agree
gosimung bwlai	agreement
hukbar	agriculture
bwskango	ahead
chubachu	aid
naharmung	aim
nobar	air
Birkhungkhola	airport
doglam	aisle
Sakhlaimung	alarm
chuwak	alcohol
hojak	alert
kwthang	alive
joto	all
doh ako	all right
kwplai wngdi	all the best
gosimung rwmani	allow
gosimung manjak	allowed
paitwtwi	almost
saichung	alone
bai baksa	along
swkang bariyano	already
Ako	Alright
bo	also
kubuni lama	alternative
haitwtwi phano	although
molbrum	always
wngkha	am
Belai naithok	amazing
thiti wngjakya	ambiguous
