一	a
少少	a little
好多	a lot
好多嘅	a lot of
遺棄	abandon
遺棄咗	abandoned
遵守	abide
能力	ability
可以	able
大概	about
關於	about
上面	above
海外	abroad
缺席	absence
缺席	absent
絕對係	absolutely
吸收	absorb
抽象	abstract
荒謬	absurd
充裕	abundance
充裕	abundant
濫用	abuse
口音	accent
同意	accept
接受	accept
通道	access
進入	access
意外	accident
住宿	accommodation
完成	accomplish
完成咗	accomplished
根據	according
戶口	account
準確度	accuracy
準確	accurate
俾人指控	accused
痛	ache
達成	achieve
成就	achievement
已經收倒	acknowledge
承認	acknowledge
泛泛之交	acquaintance
攞倒	acquire
攞倒咗	acquired
攞倒嘅嘢	acquisition
收購	acquisition
橫過	across
做嘢	act
法例	act
扮演	act
行動	action
主動	active
積極	active
多個活動	activities
一個活動	activity
行動嘅人	actor
演員	actor
實際嘅	actual
實際上	actually
尖嘅	acute
嚴重嘅	acute
適應	adapt
加	add
上咗癮	addicted
附加	addition
附加嘅	additional
地址	address
足夠	adequate
旁邊嘅	adjacent
形容詞	adjective
調教	adjust
欣賞	admire
承認	admit
採用	adopt
收養	adopt
可愛嘅	adorable
進階	advance
預先	advance
進階嘅	advanced
預先嘅	advanced
好處	advantage
歷險	adventure
助詞	adverb
廣告	advertisement
廣告業	advertising
意見	advice
咨詢	advise
提倡	advocate
美學嘅	aesthetic
事件	affair
婚外情	affair
影響	affect
鍾愛	affection
負擔	afford
負擔倒嘅	affordable
怕	afraid
後來	after
之後	after
晏晝	afternoon
然後	afterwards
再嚟	again
反對	against
歲數	age
年齡	age
代理公司	agency
代理人	agent
進取嘅	aggressive
挑釁嘅	aggressive
敏捷嘅	agile
之前	ago
同意	agree
合約	agreement
同意書	agreement
農業	agriculture
喺前面	ahead
協助	aid
目標	aim
空氣	air
飛機場	airport
通道	aisle
鬧鐘	alarm
警報	alarm
酒精	alcohol
機警	alert
生存	alive
一律	all
全部	all
冇問題	all right
祝福你	all the best
可以	allow
准許	allow
可以嘅	allowed
差唔多	almost
單獨	alone
沿途	along
已經	already
好呀	Alright
都係	also
另類	alternative
另一個選擇	alternative
雖則	although
雖然	although
經常	always
係	am
驚訝	amazing
唔清唔楚嘅	ambiguous
野心	ambition
有野心嘅	ambitious
修補	amend
喺.中間	amid
當中	among
喺我哋當中	among us
數量	amount
有娛樂性嘅	amusing
一	an
分析	analysis
袓先	ancestors
電視主播	anchor
船錨	anchor
遠古	ancient
同	and
同埋	and
咁你呢	and you
天使	angel
嬲	anger
角度	angle
嬲	angry
動物	animal
腳踭	ankle
週年紀念	anniversary
公告	announcement
煩擾	annoy
煩擾嘅	annoyed
好麻煩	annoying
年度	annual
匿名嘅	anonymous
另外	another
另一個	another
回答	answer
預測	anticipate
焦慮不安	anxiety
擔心	anxious
任何	any
仲有冇	anymore
任何人	anyone
任何嘢	anything
無論點都好	anyway
無論點都好	anyways
分開	apart
大廈	apartment
套房	apartment
道歉	apologize
表面	apparent
表面上	apparently
上訴	appeal
懇求	appeal
出現	appear
外貌	appearance
外表	appearance
出現咗	appeared
胃口	appetite
慾望	appetite
蘋果	apple
申請書	application
申請	apply
採用	apply
預約	appointment
感激	appreciate
感謝	appreciate
欣賞	appreciation
感謝	appreciation
方式	approach
適當	appropriate
批准	approval
批准	approve
批准咗	approved
大概	approximately
四月	april
仲裁	arbitrary
建築師	architect
建築學	architecture
檔案室	archive
係	are
你係唔係	are you
你忙唔忙呀	are you busy
你結咗婚未	are you married
你結咗婚定係單身	are you married or single
你仲喺唔喺嗰度呀？	Are you still there?
你喺嗰度	are you there
地區	area
爭論	argue
爭論點	argument
引起	arise
手臂	arm
軍隊	army
四周圍	around
安排	arrange
安排情況	arrangement
到達地	arrival
到達	arrive
到咗	arrived
傲慢嘅	arrogant
箭咀	arrow
箭	arrow
藝術	art
文章	article
人造嘅	artificial
藝術家	artist
好似一樣	as
一樣咁長	as long as
一樣	as well
一樣咁	as well as
煙灰	ash
難為情嘅	ashamed
問	ask
問咗	asked
瞓咗	asleep
層面	aspect
亞莎敏斯	Assamese
襲擊	assault
集會	assembly
堅定嘅	assertive
評核	assess
評核試	assessment
資產	asset
資產	assets
分配	assign
分配部分	assignment
功課	assignment
協助	assist
助手	assistant
聯合	associate
副手	associate
聯合嘅	associated
副	associated
聯會	association
假設	assume
.嘅假設	assumption
喺	at
最少	at least
食咗	ate
運動員	athlete
依附	attach
依附住	attached
附件	attachment
攻擊	attack
嘗試	attempt
參加	attend
出席率	attendance
注意	attention
態度	attitude
吸引	attract
吸引力	attraction
吸引嘅	attractive
屬性	attribute
觀眾	audience
八月	august
姨媽	aunt
姨姨	aunt
嬸嬸	aunt
姨媽	aunty
姨姨	aunty
嬸嬸	aunty
真嘅	authentic
作家	author
權力機構	authority
秋天	autumn
有時間	available
有喺度	available
平均	average
避免	avoid
醒咗	awake
獎勵	award
獎項	award
意識到	aware
意識	awareness
離開	away
勁呀	awesome
厲害	awesome
核突	awful
奇怪	awkward
亞瑪娜	Aymara
BB仔	baby
學士	bachelor
單身漢	bachelor
後	back
背景	background
唔好	bad
差	bad
袋	bag
餌	bait
焗	bake
麵包舖	bakery
蘇打粉	baking soda
平衡	balance
波	ball
芭芭拉	Bambara
香蕉	banana
繩帶	band
樂隊	band
重擊	bang
嘭嘭	bang
銀行	bank
酒吧	bar
幾乎冇	barely
特價品	bargain
討價還價	bargain
狗吠聲	bark
大麥	barley
薏米	barley
障礙	barrier
基地	base
駐	based
地庫	basement
基本	basic
基本上	basically
羅勒	basil
雜種	bastard
批	batch
浸浴	bath
浴室	bathroom
電池	battery
戰事	battle
對決	battle
海灣	bay
要	be
要小心	be careful
海灘	beach
光線	beam
屋樑	beam
豆	beans
熊人	bear
鬍鬚	beard
風度	bearing
軸	bearing
野獸	beast
贏咗	beat
打	beat
好靚	beautiful
美麗	beauty
美女	beauty
變成咗	became
因為	because
變成	become
床	bed
睡房	bedroom
蜜蜂	bee
牛肉	beef
到過	been
啤酒	beer
前面	before
之前	before
開始咗	began
開始	begin
開始緊	beginning
代表	behalf
行為	behave
行為	behavior
行為	behaviour
後面	behind
作為	being
相信	belief
相信	believe
肚皮	belly
屬於	belong
愛嘅	beloved
底下	below
下面	below
腰帶	belt
長凳	bench
整彎	bend
下低	beneath
好處	benefit
好處	benefits
旁邊	beside
除了	besides
最正	best
最好	best
祝你好運	best of luck
此致	best regards
好啲	better
之間	between
中間	between
飲品	beverage
之後	beyond
博佩玲	Bhojpuri
偏見	bias
有偏見	biased
單車	bicycle
出價	bid
大	big
單車	bike
帳單	bill
釘裝	bind
雀仔	bird
生日	birthday
少量	bit
咬	bite
苦	bitter
黑色	black
尖銳	blade
刀片	blade
責怪	blame
空白	blank
毛氈	blanket
爆炸	blast
漂白水	bleach
混合	blend
祝福	bless
祝福	blessed
盲	blind
開心	bliss
小區	block
一大塊	block
血	blood
開花	bloom
吹	blow
藍色	blue
鈍	blunt
板	board
董事會	board
艇仔	boat
身體	body
滾	boil
大膽	bold
債券	bond
黏住	bond
骨	bone
書	book
增強	boost
加強劑	booster
靴	boot
靴	boots
邊界	border
悶	bore
悶	bored
悶	boring
出世	born
惜	borrow
老闆	boss
都係	both
理	bother
麻煩	bother
樽	bottle
底下	bottom
底部	bottom
買咗	bought
彈	bounce
註定嘅	bound
邊界	boundaries
蝴蝶結	bow
碗	bowl
盒	box
男仔	boy
男朋友	boyfriend
手鏈	bracelet
腦	brain
分行	branch
牌子	brand
勇敢	brave
違反	breach
麵包	bread
打碎	break
小息	break
早餐	breakfast
胸	breast
呼吸	breath
呼吸	breathe
飼養	breed
磚頭	brick
新娘	bride
橋	bridge
簡略	brief
簡報	brief
好光	bright
聰穎嘅	brilliant
帶埋	bring
兄弟	bro
廣闊	broad
廣播	broadcast
打爛咗	broke
打爛咗	broken
掃把	broom
弟弟	brother
哥哥	brother
兄弟	brother
叔仔	brother in law
妹夫	brother in law
姐夫	brother in law
帶咗	brought
咖啡色	brown
畫筆	brush
刷	brush
桶	bucket
死黨	buddy
預算	budget
蟲	bug
起	build
建	build
建築物	building
建好咗	built
大量	bulk
公牛	bull
欺凌	bully
撞倒	bump
串	bunch
紮	bunch
捆	bundle
負擔	burden
埋葬咗	buried
火燒	burn
爆開	burst
埋葬	bury
巴士	bus
灌木林	bush
生意	business
商業	business
搜捕	bust
繁忙	busy
忙	busy
忙碌	busy
但係	but
牛油	butter
蝴蝶	butterfly
鈕	button
買	buy
乘坐	by
在旁邊	by
但係	by the way
拜拜	bye
椰菜	cabbage
櫃	cabinet
內閣	cabinet
籠	cage
蛋糕	cake
牛仔	calf
上五吋下五吋位置	calf
叫	call
叫我	call me
叫咗	called
平靜	calm
嚟咗	came
活動	campaign
可以	can
唔可以	can't
取消	Cancel
癌症	cancer
廣東話	Cantonese
有能力嘅	capable
容量	capacity
資本	capital
首都	capital
標題	caption
捉住	capture
奪取	capture
車	car
事業	career
小心	careful
小心啲	carefully
唔小心	careless
關心	caring
木匠	carpenter
地毯	carpet
紅蘿蔔	carrot
攞	carry
繼續	carry on
實行	carry out
個案	case
現金	cash
石膏	cast
堡壘	castle
休閒	casual
貓	cat
捉住	catch
類別	category
牛	cattle
捉住	caught
捉咗	caught
原因	cause
警告	caution
小心啲	cautious
山洞	cave
停止	cease
天花	ceiling
慶祝	celebrate
電池	cell
細胞	cell
中心	center
世紀	century
殼物	cereal
儀式	ceremony
特定嘅	certain
一啲	certain
當然啦	certainly
證書	certificate
鐵錬	chain
連鎖	chain
椅	chair
挑戰	challenge
機會	chance
更換	change
混亂	chaos
性格	character
特點	characteristics
收取	charge
充值	charge
慈善	charity
有魅力嘅	charming
圖	chart
追	chase
傾計	chat
平價	cheap
欺騙	cheat
作弊	cheating
檢查	check
面珠墩	cheek
歡呼	cheer
開心嘅	cheerful
乾杯	cheers
芝士	cheese
化學	chemistry
珍藏	cherish
鍾愛	cherish
象棋	chess
胸口	chest
𡁻	chew
雞仔	chicken
最主要嘅	chief
細路	child
童年	childhood
一班細路	children
冷	chill
凍	chill
煙通	chimneys
下巴	chin
朱古力	chocolate
選擇	choice
選擇	choose
劈	chop
印	chop
雜務	chores
肥嘟嘟	chubby
教會	church
教堂	church
肉桂	cinnamon
圖形	circle
情況	circumstances
市民	citizen
城市	city
賠償	claim
攪清楚	clarify
班級	class
陶土	clay
黏土	clay
清潔	clean
乾淨	clean
清晰	clear
文員	clerk
聰明	clever
客戶	client
山崖	cliff
天氣	climate
爬	climb
依賴性強	clingy
鐘	clock
關閉	close
衣帽間	closet
布	cloth
衫褲	clothes
衣服	clothes
雲	cloud
天陰	cloudy
小丑	clown
提示	clue
吝盡	clumsy
笨手笨腳	clumsy
群	cluster
教練	coach
煤炭	coal
海邊	coast
沿海	coast
大褸	coat
咖啡	coffee
認知	cognitive
巧合	coincidence
冷	cold
寒	cold
凍	cold
崩塌	collapse
領口	collar
同事	colleague
一班同事	colleagues
收集	collect
收集	collection
學院	college
顏色	color
透明綠個概念怪怪哋	colorless green ideas slept furiously
顏色	colour
欄	column
梳	comb
混合	combination
組合	combination
混合	combine
嚟啦	come
嚟呢度啦	come here
快啲啦	come on
加油呀	come on
安慰	comfort
舒服	comfort
舒服	comfortable
嚟緊	coming
就快嚟到	coming soon
指令	command
意見	comment
商業嘅	commercial
佣金	commission
犯咗	commit
投入	commit
承諾	commitment
好投入	committed
商品	commodity
普遍	common
溝通	communicate
溝通	communication
社區	community
返工放工嘅路上	commute
伴侶	companion
公司	company
比較	compare
比較	comparison
同情心	compassion
好有同情心	compassionate
可共存嘅	compatible
競爭	compete
有能力嘅	competent
比賽	competition
有競爭力	competitive
投訴	complain
投訴	complaint
補充	complement
完成	complete
完全嘅	completely
複雜	complex
服從	compliance
複雜	complicated
奉承嘅話	compliment
服從	comply
作曲	composition
屋院	compound
混合物	compound
領悟力	comprehension
全面嘅	comprehensive
讓步	compromise
強制性嘅	compulsory
電腦	computer
集中	concentrate
概念	concept
關心	concern
關注	concern
關注咗	concerned
演唱會	concert
結論	conclusion
混凝土	concrete
情況	condition
一啲情況	conditions
操守	conduct
會議	conference
坦白	confess
信心	confidence
信心	confident
確定	confirm
矛盾	conflict
好混亂	confused
混亂	confusion
恭喜哂	congrats
恭喜哂	congratulation
恭喜哂	congratulations
連詞	conjunction
連接	connect
征服	conquer
意識	conscious
意識	consciousness
同意	consent
後果	consequences
保育	conservation
保守	conservative
考慮	consider
諗吓	consider
考慮咗	considered
包含	consist
一致	consistency
一致	consistent
不變	constant
經常係	constantly
便秘	constipation
建築	construction
消耗	consume
消費	consumption
聯絡	contact
可傳染嘅	contagious
包含	contain
包含	contains
當代	contemporary
蔑視	contempt
內容	content
滿足	content
比賽	contest
語境	context
大洲	continent
繼續	continue
合約	contract
對比	contrast
貢獻	contribute
貢獻	contribution
控制	control
有爭議性嘅	controversial
方便	convenience
方便	convenient
便利	convenient
對話	conversation
轉變	convert
傳達	convey
說服	convince
俾佢說服咗	convinced
煮	cook
煮緊嘢	cooking
涼	cool
好型	cool
合作	cooperation
應付	cope
銅	copper
核心	core
粟米	corn
角落	corner
改正	correct
正確	correct
成本	cost
代價	cost
戲服	costume
郊外屋仔	cottage
棉	cotton
梳化	couch
咳	cough
可以	could
